,0
0,"add, this, my, brother, has, tested, positive, omicron, he, ’, s, boostered, but, can, go, into, all, these, places, that, unvaccinated, cannot, go, into, ."
1,"looks, like, you, have, not, gotten, rather, important, memo, yet, stating, that, vaccinated, can, transmit, as, much, as, unvaccinated, who, don, ', t, have, natural, immunity, ."
2,"they, include, unknown, partially, vaccinated, unvaccinated, group, high, basically, narrowing, down, group, hospitalized, ., there, ’, s, minimal, difference, between, single, dose, double, dose, ., also, unknown, could, be, half, we, don, ’, t, know, because, they, don, ’, t, release, it, ."
3,"biden, :, "", it, ', s, pandemic, unvaccinated, "", every, single, cnn, talking, head, now, repeat, after, me, :, "", it, ', s, pandemic, unvaccinated, ""., face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy, as, luck, would, have, it, ,, i, just, saw, video, ,, it, ', s, hilarious, ,, reminded, me, you, .., awwww, ., cnn, ..., they, say, darndest, things, ."
4,"yes, ,, but, very, ,, very, few, are, hospitalized, vaccine, adverse, event, ., most, resolve, within, 2, days, w, minimal, treatment, ,, unlike, very, high, incidence, hospitalization, among, unvaccinated, ,, including, 33, %, who, struggle, with, long, covid, after, recovering, ,, some, w, organ, damage, ."
5,"did, it, ever, occurred, you, ,, that, unvaccinated, people, without, previous, infections, ,, are, those, who, never, got, sick, last, 2yrs, being, exposed, virus, most, us, live, very, active, /, social, live, styles, …, and, most, do, not, wear, masks, thinking_face, talk, about, strong, immune, system, response, ."
6,"data, is, flawed, ., you, can, ’, t, even, define, ‘, unvaccinated, ’, anymore, because, there, ’, s, new, booster, every, month, ."
7,"how, about, considering, people, o2, not, because, covid, are, limited, their, weekly, allotment, because, hospitals, are, running, low, because, unvaccinated, covid, patients, shouldn, ’, t, that, be, consideration, diskussed"
8,"amen, gift, healing, ., some, idiot, facebook, told, me, that, couldn, ', t, be, real, christian, i, am, if, i, put, my, faith, vaccine, instead, god, ., i, have, faith, both, ., some, family, friends, unvaccinated, were, counting, god, keep, them, covid, free, ., now, they, ', re, very, ill, ."
9,"or, last, 2, months, where, "", vaccinated, "", get, do, whatever, ,, so, you, see, dozens, vaccinated, hacking, up, lung, everywhere, ., but, we, are, safe, get, with, it, ., let, unvaccinated, take, risk, clearly, transmission, is, not, affected, ., increase, health, capacity, ,, look, real, cures"
