,0
0,"it, ', i, wild, that, couid, has, killed, eighteen, ,, zero, mostly, -, vaccinated, americans, last, week, they, don, ', i, seem, care, at, all"
1,"remember, when, kyrie, being, vaccinated, made, james, harden, do, this, somehow, yeah, ,, let, i, i, talk, about, it, brooklyn, ."
2,"please, show, me, where, i, said, all, republicans, are, vaccinated, ., oh, wait, you, can, i, i, ,, because, i, didn, i, i, ., maybe, work, some, comprehension, skills, buddy, ., they, i, re, important, ."
3,"this, is, what, someone, does, when, they, know, they, i, ve, been, dominated, ., thanks, confirming, bud, ., excited, vaccinated, i, i, i, continue, oh, so, tragically, pass, be, people, like, you, keep, up, fight, loser"
4,"it, i, i, basically, bunch, vaccinated, whiners"
5,"they, were, saying, i, the, delicious, irony, someone, saying, i, i, i, i, upset, that, us, won, i, i, allow, me, because, i, i, i, vaccinated, ,, so, i, i, i, going, throw, temper, tantrum, ,, participate, illegal, actions, ,, which, when, charged, will, now, prevent, me, entering, us, permanently, .’”"
6,"agreement, will, let, vaccinated, educators, continue, teaching, while, submitting, regular, testing, during, periods, low, virus, transmission, rates, ."
7,"when, it, comes, homeless, situation, la, ,, i, i, i, so, ashamed, my, city, ., it, i, i, worse, than, third, world, countries, ."
8,"one, /, u, wanted, address, some, exaggerations, recent, paper, co, -, authored, by, martin, maary, ., "", prevalence, durability, sars, -, cov, -, two, antibodies, among, vaccinated, us, adults, by, history, couid, -, nineteen, """
9,"tell, him, overwhelming, amount, them, would, have, voted, republican, but, they, chose, vaccinated, route, now, they, i, re, dead, person_shruggingmedium, -, light_skin_tone, i, male_sign, i"
10,"would, you, feel, comfortable, going, see, vaccinated, artists, now, that, restriction, exemption, program, is, lifted"
11,"well, they, took, theirselves, down, ,, one, guy, hurt, ,, one, guy, vaccinated, one, guy, traded, away, ., so, much, this, homie, stuff, ., they, played, sixteen, games, together, two, seasons, ."
12,"i, don, i, i, trust, general, population, enough, be, comfortable, with, this, mask, mandate, lift, ., at, least, los, angeles, is, still, requiring, it, now, &, amp, ;, ca, will, still, require, masks, vaccinated, ."
13,"""..., vaccinated, are, guardians, humanity, .."""
14,"you, know, james, harden, gon, be, at, delilah, ', i, tonight, #, sixers"
15,"my, brain, read, this, quickly, as, i, ny, sets, fire, three thousand, vaccinated, workers, i, i, did, double, take, ., clearly, my, priors, political, polarization, are, too, high, ."
16,"i, don, i, i, understand, how, can, take, away, rights, very, people, he, claims, protect, -, bio, ,, women, ,, muslims, lgby, are, currently, not, allowed, travel, out, canada, if, they, are, vaccinated, ., #, bio, #, women, #, islam, #, lgby, #, hypocrisy, #, trudeau"
17,"didn, i, i, know, kids, below, five, could, get, vaccinated, ., since, it, i, i, only, vaccinated, that, are, dying, it, shouldn, i, i, be, problem, ,, right"
