,0
0,"our, state, has, some, highest, case, rates, nation, ., we, are, at, center, global, covid, surge, ., our, hospitals, are, being, overwhelmed, with, unvaccinated, covid, patients, ,, it, ’, s, entirely, unnecessary, ."
1,"it, feels, extra, twisted, when, we, can, ’, t, get, them, as, healthcare, workers, especially, after, intubating, unvaccinated, patients, all, day, shift"
2,"you, poor, thing, that, you, don, ’, t, know, how, read, reports, is, really, sad, ., 97, %, covid, deaths, are, among, unvaccinated, ., google, works, ,, go, check, it, out, ."
3,"200k, deaths, covid, last, 6, months, were, unvaccinated, people, ., y, ’, all, keep, playing, politics, with, your, lives, if, y, ’, all, want, ., everyone, i, know, who, is, vaccinated, getting, covid, recently, barely, getting, sick, ,, their, either, asymptomatic, or, have, cold, symptoms, ."
4,"but, also, probably, more, getting, it, since, more, public, places, are, open, get, it, from, ,, along, with, it, causing, infections, with, both, vaccinated, unvaccinated, now, ."
5,"it, ', s, no, longer, private, when, unvaccinated, fill, up, hospitals, keep, other, people, getting, treatment, -, lying, ted"
6,"so, can, we, stop, with, unvaccinated, talk, or, are, we, going, pretend, this, isn, ’, t, happening, gone, all, way, fringe, how, to, ., clown_faceclown_face"
7,"you, can, ’, t, dine, or, do, anything, indoors, either, person_shrugginglight_skin_tone, ‍, male_sign, ️, it, ’, s, ridiculous, how, people, keep, blaming, unvaccinated, ., top, la, having, crazy, restrictions, yet, so, many, cases, …"
8,"my, cousins, ruined, christmas, by, being, unvaccinated, ,, selfish, pieces, sh, *, t, so, wishing, them, nothhhhhing, but, big, coal, energy, bye, smiling_face_with_heartssmiling_face_with_heartssmiling_face_with_hearts"
9,"it, ’, s, not, enough, people, i, know, unmasked, are, also, probably, unvaccinated, ,, but, it, ’, s, something, ."
10,"perhaps, ,, people, are, avoiding, your, unvaccinated, family, members, ., ask, yourself, ,, are, unvaccinated, members, your, family, ones, people, like, ,, or, are, they, ones, that, people, do, not, want, sit, by, during, holidays, ..."
11,"jok, doing, some, whack, kinda, diet, jok, also, has, heart, condition, never, any, that, reporting, does, it, say, jok, is, unvaccinated, who, cares, ..., kid, can, play, ., go, drink, some, egg, nog"
12,"behalf, unvaccinated, people, everywhere, ,, we, don, ’, t, want, know, her, either, ., we, especially, don, ’, t, want, be, behind, her, buffet, line, ."
13,"wow, i, wonder, how, many, these, cases, are, unvaccinated, ."
14,"one, unvaccinated, player, now, everyone, so, deep, protocols, ,, it, ', s, like, there, ', s, almost, global, pandemic, out, there, now, we, have, more, 10, -, day, contracts, than, boban, has, average, minutes, ., get, vaccinated, ,, go, mavs, ,, boban, is, life"
15,"it, ', s, same, at, my, workplace, ,, residential, college, with, 700, +, faculty, staff, 2200, +, students, ., i, think, positive, cases, are, going, balloon, ., we, had, xmas, parties, last, monday, evening, tuesday, afternoon, ., we, ', ve, been, requiring, weekly, tests, unvaccinated, all, year, ."
16,"i, am, expecting, get, covid, again, yes, i, have, had, it, before, so, i, will, get, it, again, not, be, hospitalized, my, thoughts, will, be, with, unvaccinated, with, breathing, tube, stuck, down, their, throats"
17,"vast, majority, deaths, 2021, are, unvaccinated, ., you, can, ’, t, blame, biden, deaths, people, who, refused, help, themselves, ."
18,"yes, because, you, can, be, asymptomatic, ., carrier, can, be, oblivious, but, unvaccinated, are, more, peril, ., but, hey, person_shruggingmedium_skin_tone, ‍, female_sign, ️"
19,"he, done, made, ya, ’, ll, unvaccinated, folks, look, stupid, damn, what, surprise"
20,"it, ’, s, heartbreaking, watching, deniers, suffer, when, they, get, sick, ., it, ’, s, also, heartbreaking, hear, fanatics, say, unvaccinated, should, be, denied, care, ,, etc, ., that, ’, s, unethical, ., we, don, ’, t, deny, medical, care, moral, reasons, ."
21,"i, keep, hearing, presstitutes, tv, that, unvaccinated, are, overwhelming, hospitals, mortuaries, due, their, covid19, deaths, but, i, dont, know, single, unvaxxed, person, who, has, died, due, covid19, ., do, any, you, #, covid19, #, omicronvariant"
22,"trump, himself, “, came, up, with, three, very, ,, very, good, vaccines, less, than, nine, months, …”, like, al, gore, invented, internet, ., nevertheless, ,, proverbial, broken, clock, is, right, twice, day, ., vaccines, work, ;, unvaccinated, are, hardest, hit, ., get, vaccinated, ."
23,"sorry, but, unvaccinated, should, not, get, priority, anything, ., you, had, your, chance, you, refused, ., live, with, consequences, your, actions, ,, or, lack, there, of, ."
24,"that, is, ones, that, are, getting, virus, then, unvaccinated, go, figure, lol"
25,"as, i, if, you, are, vaccinated, why, would, you, be, scared, unvaccinated, person, does, vaccine, not, work, or, something"
26,"tweeted, article, high, positivity, rate, northern, health, region, ., ., 19, %, **, population, 288, ,, 000, spread, over, 2, /, 3, ’, rds, provincial, lands, ., unvaccinated, ."
27,"i, will, not, invite, unvaccinated, into, my, house"
