,0
0,"i, ', d, say, that, even, more, ., fully, vaccination, doesn, ', t, prevent, infection, as, efficiently, as, wearing, n95, ;, latter, ,, regardless, variant, ."
1,"happy, as, hell, i, figured, out, how, add, my, vaccination, my, apple, wallet, i, was, tired, losing, damn, card"
2,"by, post, pandemic, they, mean, vaccination, i, presume"
3,"i, ’, m, not, gonna, watch, guy, who, made, fun, someone, ’, s, alcoholism, ,, cooper, ., or, someone, who, bodyshamed, nia, jax, ,, regardless, what, she, said, about, vaccination, cards, ,, which, is, stupid, as, fuck, ."
4,"measles, outbreak, afghanistan, has, killed, 74, kids, so, far, ., vaccination, rates, afghanistan, are, 60, %;, 95, %, is, required, herd, immunity, ., colorado, ,, kansas, ,, idaho, have, dropped, below, 90, %, coverage, ."
5,"immune, response, prior, infection, was, more, potent, than, vaccination, alone, against, delta, variant, ,, yes, ., this, is, not, true, omicron, though, ., but, it, ’, s, better, be, vaccinated, than, risk, death, infection, ."
6,""", proposed, georgia, law, get, rid, child, vaccination, requirements, """
7,"bro, who, asked, loudly_crying_face, not, once, did, i, bring, up, last, season, lmfao, but, now, that, you, mention, it, ,, y, ’, all, will, probably, use, kyrie, ’, s, vaccination, status, as, your, new, excuse, next, 5, seasons, skull"
8,"except, all, diseases, that, have, been, eradicated, by, vaccination, ."
9,"as, reminder, today, ', s, 2, /, 6, game, ,, fans, 12, +, are, required, either, show, proof, vaccination, or, negative, covid, -, 19, test, within, 72, hours, game, time, medical, professional, ., at, -, home, tests, are, not, accepted, ., more, info, can, be, found, here, :"
10,"deadlines, healthcare, workers, be, fully, vaccinated, against, covid, -, 19, depend, whether, their, state, challenged, cms, vaccination, rule, court, ., read, our, article, learn, more, about, deadlines, ., #, covid19, #, healthcare, #, healthcaremanagement"
11,"alternatively, ,, allow, cbsa, employee, who, had, look, at, each, kid, ’, s, vaccination, proof, record, it, additional, system, that, you, are, calling, us, about, ."
12,"it, ’, s, really, not, presidents, fault, ., it, ’, s, fault, scientists, not, coming, up, with, vaccination, that, actually, does, job, it, is, supposed, do, –, same, as, immunizations, we, get, that, are, required, school, children, ."
13,"nice, ., i, think, our, culture, has, become, entirely, too, casual, manner, dress, ., there, are, many, things, that, could, /, should, be, done, ballgowns, tiaras, ., fact, ,, i, wore, them, my, first, vaccination, ."
14,"police_car_lightit, ’, s, game, day, police_car_light, rockies, host, golden, at, 2Happy_face_smiley0pm, today, admission, is, by, donation, food, bank, wvma, players, wearing, their, jerseys, with, parent, will, also, get, free, ., all, pho, guidelines, strictly, adhered, to, ., must, provide, proof, double, vaccination, id, ."
15,"how, did, that, mass, vaccination, program, israel, work, out"
16,"consequences, ., right, start, ,, experts, told, us, way, out, this, pandemic, was, through, herd, immunity, ., quickest, way, herd, immunity, was, through, vaccination, ., look, mirror, take, responsibility, your, actions, instead, laying, blame, others, ."
17,"point, article, seems, be, that, support, protest, is, coming, conservative, /, right, wing, circles, ., that, ', s, not, crime, ., fact, most, truckers, are, vaxxed, is, irrelevant, ., they, are, protesting, travel, regs, ,, not, vaccination, ."
18,"people, who, definitely, wear, mask, while, shopping, ,, yet, still, go, restaurants, take, their, mask, off, …, create, total, diskonnect, my, mind, ., maybe, makes, sense, if, restaurants, all, require, proof, vaccination, but, most, places, those, are, exceptions, …"
19,"sure, ., that, paper, makes, correlation, between, excess, deaths, vaccination, ,, but, nothing, more, ., so, how, find, causation, they, should, look, at, matched, groups, between, vaccinated, unvaccinated, which, they, have, ,, several, studies, ., no, causation, found, ., it, ’, s, paper, noise, ."
20,"well, ,, be, honest, 800, ,, 000, those, names, would, have, died, under, trump, most, deaths, since, were, folks, refusing, vaccination, thanks, deliberate, misinformation, campaign, coordinated, by, gop, its, media, ."
21,"we, meed, more, speaking, out, moving, against, continued, vaccination, people, my, 27, year, old, so, had, covid, dec2019, ., now, he, has, been, forced, be, double, vaxxed, was, told, after, 5, months, he, must, be, boosted, or, he, will, be, locked, out, his, graduate, program, i, worry"
22,"walmart, usa, has, no, restrictions, ., no, mask, or, vaccination, required, ., trudeau, only, wants, continue, spending, kill, businesses, ."
23,"comment, about, how, vaccination, reduces, likelihood, is, true, ,, has, only, gotten, less, true, with, omicron, variant, ,, which, is, more, contagious, ., other, words, ,, science, was, right, until, new, variant, appeared, ."
24,""", pandemic, unvaccinated, "", is, just, pandemic, ., if, even, moderately, effective, vaccination, exists, unvaccinated, will, be, hit, harder, because, they, lack, it, but, pretending, it, ', s, focused, them, or, their, fault, is, propaganda, pure, simple, ."
25,"here, ', s, thing, ,, millions, people, it, already, is, requirement, ., join, military, ,, vaccination, isn, ', t, optional, ., same, with, many, medical, workers, long, before, covid, ., you, are, still, free, get, different, job, ., see, how, that, works"
26,"you, do, usa, ., no, mask, required, ., no, vaccination, required, ., they, only, have, sign, saying, “, we, ‘, ask, ’, that, you, wear, mask, ”."
27,"not, sure, what, other, venue, site, ’, s, policies, are, but, proof, vaccination, or, recent, negative, test, is, factor, impact, attendance, fresno, state, ., if, that, wasn, ’, t, place, ,, guaranteed, place, would, be, packed, this, team, right, now, ."
28,"outside, my, job, or, getting, it, updated, i, ’, ve, been, asked, show, my, vaccination, card, once, ."
29,"mandates, vaccination, it, is, possible, that, they, might, not, end, travel, ,, after, all, ,, there, are, countries, which, we, must, have, specific, vaccinations, enter, ., they, will, end, public, gatherings, ,, restaurants, ,, etc, canada, ., relatively, soon, but, nothing, do, with, protests, ."
30,"center, disease, control, foundation, announced, december, 2021, that, it, was, granting, studio, two, three, $, 75, ,, 000, utilize, printmaking, promote, vaccination, within, richmond, community, ."
31,"you, can, diskuss, differing, points, view, without, being, ignorant, ., you, chose, not, get, vaxxed, ,, that, is, your, freedom, choice, ., other, than, some, places, work, requiring, vaccination, ,, your, freedom, movement, carry, with, life, with, some, modifications, protect, collective, ,"
32,"i, am, possession, my, entire, vaccination, record, childhood, now, ,, i, ', ve, never, received, any, vaccination, against, hepatitis, other, than, hep, b, series, middle, school, late, 90s, ., again, ,, uneven, enforcement, ."
33,"it, takes, 2, seconds, ,, makes, you, more, safe, ,, makes, other, people, more, safe, that, is, good, everyone, reason, that, "", the, rest, world, "", is, at, that, place, because, they, actually, enforced, their, rules, get, this, shit, over, with, get, clue, ,, get, vaccination"
34,"this, theory, ,, put, together, by, dr, ., nathan, thompson, ,, provides, explanation, phenomenon, “, breakthrough, infections, ”, among, those, who, have, taken, vaccine, ,, which, is, when, individuals, contract, virus, even, after, full, vaccination, ."
35,"so, enter, us, international, flight, demands, covid, negative, test, 24hrs, prior, abs, proof, vaccination, ., but, course, we, land, texas, ,, connecting, houston, where, no, one, has, prove, anything, face_with_raised_eyebrow, #, wtf, #, dobetter, #, covidisairborneph"
36,"vaccination, shot, does, stop, people, dying, ., you, are, selfish, ,, you, are, passing, it, other, people, killing, them, ."
37,"this, is, right, ., special, session, focused, specific, bills, endure, education, can, recover, 2, years, covid, ., 1, ., resolve, tht, crisis, ., 2, ., approve, state, board, health, regulations, re, student, vaccination, ., 3, ., allocate, current, funds, programs, address, lost, academic, growth, ."
38,"state, lawmakers, south, carolina, want, make, it, misdemeanor, inquire, about, someone, ', s, vaccination, status, ., potential, $, 14, ,, 000, fine, year, prison, ., republicans, are, trying, as, hard, as, they, can, maximize, covid, deaths, ., it, ', s, wild, ."
39,"can, compare, usi, and, vaccination, ,, is, far, from, it"
40,"it, doesn, ', t, seem, like, us, public, health, really, even, anticipated, "", a, significant, minority, us, would, be, antivaxrs, "",, preventing, us, ending, pandemic, by, vaccination, ., it, ', s, not, failure, convince, everyone, ,, but, how, surprised, cdc, was, ,, that, ', s, failure, social, science"
41,"howard, stern, rags, rogan, daily, is, terrified, covid, believes, forced, vaccination, he, got, line, so, he, ’, ll, be, ok, …"
42,"i, think, issue, is, he, ’, s, crosshairs, his, vaccination, stance, spotify, stood, by, quietly, they, ’, re, trying, force, spotify, ’, s, hand"
43,"30, usi, and, a, better, vaccination, ...., denmark, can, afford, ,, not, us"
44,"childs, 2018, shielded, mox, construction, ,, after, feds, dropped, ax, ., december, 2021, ,, she, refused, block, covid, -, 19, vaccination, requirement, instated, by, srns, ,, longtime, srs, management, team, ., via, #, scotus"
45,"is, there, way, provide, direct, link, revised, vaccination, schedule, severely, immunocompromised, thank, you"
46,"they, have, high, vaccination, rate, ., we, don, ', t, ."
47,""", life, is, gift, ."", physical, distancing, is, wrapping, paper, ., vaccination, is, ribbon, ., masking, is, bow, ., testing, is, how, you, care, gift, ."
48,"problem, is, mass, killings, by, coerced, c19, vaccination, ., how, would, you, feel, if, loved, one, was, coerced, into, vaccine, died, because, it, stop, mass, murdering, right, now, ."
49,"are, polio, vaccinations, not, mandated, public, school, admission, ontario, we, never, needed, mandate, polio, vaccination, flying, or, admission, public, venues, ,, because, it, was, universally, mandated, early, childhood, ., nb, :, covid, vaccines, substantially, reduce, hospitalization, cdc"
50,"year, ago, ,, nurse, paula, richardson, set, out, her, toyota, camry, combat, covid, -, 19, testing, disparities, black, communities, ., since, then, ,, she, ', s, scaled, up, in, -, person, testing, vaccination, site, that, ', s, served, up, 300, people, single, day, ."
51,"vaccination, rates, shot, up, with, omicron, because, people, got, scared, by, unbelievable, case, numbers, ., james, thinks, people, are, walking, around, swayingly, convinced, by, their, media, ., james, does, not, live, any, real, world, ."
52,"imagine, putting, your, vaccination, status, as, your, name, twitter, clown_face"
53,"it, is, good, time, start, war, turn, attention, away, ., you, know, at, this, vaccination, infection, rate, ,, lot, russian, lives, are, being, lost, covid"
54,"i, may, disagree, with, howard, stern, ’, s, vaccination, take, ,, but, i, think, it, ’, s, reasonable, others, agree, ,, despite, fact, that, he, …, did, this, previously, his, career, :, 5, /"
55,"part, 1, :, children, vaccination, english, |, voice, science, solidarity, kannattaa, katsoa, tämä, ., thinking_facebackhand_index_pointing_down"
56,"vaccination, won, ’, t, end, pandemic, ., that, theory, was, effectively, shut, down, with, omicron, ."
57,"yes, feb, 6, :, doctors, against, hate, vaccination"
58,"if, being, hit, by, bus, makes, you, immune, being, hit, by, bus, next, 6, months, ,, would, you, rather, get, hit, by, bus, instead, watching, out, while, crossing, road, or, are, you, still, trying, deny, that, vaccination, lowers, hospitalization, rate, reduces, health, care, overload"
59,"there, are, so, many, truly, stupid, people, out, there, ..., vaccination, mandates, &, amp, ;, official, transcripts, have, been, around, decades, couldn, ', t, go, school, without, them, why, are, people, so, dumb, i, lost, "", friend, "", recently, over, this, issue, ., yeah, ..., she, ', s, pretty, stupid, ."
60,"truckers, need, get, vaccination, stop, acting, like, victims, ."
61,"not, best, example, ., can, ', t, shop, at, costco, without, vaccination, escort, pharmacy, next, is, all, shopping, requires, escort, ,, followed, by, not, allowed, anywhere, outside, your, house, without, vaccination, ., followed, by, forced, vaccination, ., it, ', s, not, fear, ;, it, ', s, history, repeating, ."
62,"jfc, did, you, even, read, this, “, in, closing, we, currently, have, no, data, assess, outcome, maternal, covid, -, 19, vaccination, offspring, health, ,, this, may, take, years, generate, ”"
63,"do, you, just, make, this, shit, up, ,, or, do, you, have, team, vaccination, immunization, are, not, always, same, thing, ."
64,"last, major, phase, covid, -, 19, vaccination, roll, -, out, :, children, under, 5, |, kff, -"
65,"myocarditis, pericarditis, after, covid, -, 19, vaccination, :, clinical, management, guidance, healthcare, professionals, -"
66,"no, valid, reason, mandate, vaccination, truckers, ."
67,"no, ,, not, at, all, ., thankfully, i, don, ', t, have, any, existing, conditions, ., i, did, it, protection, ,, also, being, able, travel, ., need, see, my, elderly, parents, china, ., wished, everyone, could, see, benefits, vaccination, ,, so, we, could, move, sooner, red_heart"
68,"shortage, workers, hospitals, due, vaccination, mandates, ., hospital, employees, are, hospitalized, with, covid, ., so, again, ,, who, is, clogging, healthcare, system, your, narrative, :, children, are, super, spreaders, that, will, kill, teachers, grandparents, ."
69,"they, are, few, number, compared, rest, us, terms, vaccination, ,, terms, sheer, size, force, that, police, have, ,, have, demonstrated, countless, times, pas, that, they, are, prepared, use, -, by, any, means, necessary, ."
70,"pain, shoulder, seemed, increase, duration, after, each, additional, vaccination, ., if, schedule, holds, ,, i, ', m, due, another, two, months, my, fourth, ."
71,"seems, that, countries, with, lowest, vaccination, rates, are, experiencing, lower, mortality, rates, ., several, countries, africa, are, approaching, endemicity, at, faster, pace, than, nations, with, high, vaccination, rates, ., observed, rationale, is, natural, immunity, among, younger, population, ."
72,"one, reason, we, are, not, good, at, vaccination, is, that, it, has, become, political, ., how, many, other, countries, have, had, that, happen"
73,"this, came, cdc, who, said, vaccination, was, significantly, better, than, natural, immunity, ,, which, was, obviously, wrong, when, they, said, it, ., so, you, gotta, distrust, this, number, ."
74,"to, be, a, player, who, really, wants, to, be, traded, ..., to, speak, against, this, vaccination, ., but, good, happy, not, to, be, a, fan, of, this, team, there"
75,"i, was, gonna, say, it, also, supports, that, it, doesn, ', t, save, lives, cuz, theres, just, as, many, deaths, per, capita, as, before, mass, vaccination, program, ,, no"
