,0
0,"no, i, keep, vaccinated, off, planes, ."
1,"i, lived, shasta, year, ,, i, ', i, bet, farm, that, they, have, very, high, rate, vaccinated, people, ."
2,"stop, just, listening, big, pharma, paid, resources, ., do, some, real, research, ., fall, winter, vaccinated, deaths, will, exceed, vaccinated, deaths, ."
3,"hearing, that, public, health, is, not, too, concerned, about, couid, situation, waskaganish, ,, they, feel, it, ', i, contained, ., two, three, cases, are, vaccinated, but, they, are, recovering, well, what, i, heard, ., one, case, with, two, doses, had, very, light, symptoms, ., good, news"
4,"great, i, but, vaccinated, should, not, be, allowed, commercial, airplanes"
5,"vaccinated, more, readily, get, couid, ,, spread, couid, ,, unfortunately, are, at, higher, risk, die, it, ."
6,"behind, stick, excited, be, back, wearing, mask, protect, all, vaccinated, jagoffs, to, :, judgment, day, drive, -, in, at, nine, @, rock, island, public, house, -, blue, island, ,, il"
7,"oh, yes, ., but, i, i, i, rather, vaccinated, stay, off, all, transit, ."
8,"900k, vaccinations, day, ,, is, better, but, it, isn, i, i, enough, ., many, us, will, be, getting, boosters, before, majority, vaccinated, have, had, est, shot, ."
9,"truly, thought, provoking, ., tragic, ,, frustrating, ,, terrifying, ., yet, these, are, comments, i, see, or, hear, loved, ones, ., all, while, ,, hospitals, are, seeing, surges, worse, than, two thousand and twenty, ., majority, those, new, patients, are, vaccinated, ."
10,"self, care, routine, #, ninety-four, :, turning, weepy, up, little, louder, than, usual, headphones, as, i, walk, i, into, hospital, care, vaccinated, couid, patients, ord, day, row, ., i, i, i, like, think, my, antibodies, are, getting, little, hyped, too, ., #, 6foot7foot8footbunch"
11,"should, i, ve, never, called, them, vaccine, passports, &, amp, ;, just, made, part, your, vaccine, record, ., some, international, travel, already, requires, proof, vaccineperson_shrugginglight_skin_tone, i, female_sign, i, i, i, ve, been, inconvenienced, seventeen, months, ..., i, really, don, i, i, care, about, i, rights, i, #, vaccinated, ., #, getvaccinated, #, wearamask"
12,"true, or, false, :, vaccinated, people, are, twentynine, times, more, likely, be, hospitalized, than, vaccinated, people, ."
13,"nope, ., vaccinated, nephew, wanted, sleep, over, he, was, working, late, shift, near, us, we, reluctantly, had, nix, it, ., it, i, i, confounding, me, that, folks, are, still, resisting, taking, perfectly, safe, vaccine, that, would, prevent, them, getting, hospitalized, with, couid, ."
14,"good, article, -, love, reminder, /, point, that, i, vaccinated, adults, have, been, more, likely, than, vaccinated, ones, wear, masks, public, settings, ,, refrain, unnecessary, travel, ,, avoid, large, group, settings, i, get, valued, or, refuse, get, refused, i"
