,0
0,"people, who, waste, time, deciding, between, covishield, covaxin, ,, often, meet, same, fate, as, buridan, ', s, ass, ., #, covid19vaccination"
1,"andhratharhi, phc, pin, code, 847401, mein, 18, +, covishield, vaccine, ka, appointment, book, karne, k, baad, bhi, sabka, appointment, cancel, kardiya, gaya, aur, aab, seat, full, bata, raha, hai, isme, jaanch, honi, chahiye, hamlog, ka, appointment, cancel, kaise, hogaya"
2,"i, got, fever, two, days, after, taking, jab, covishield, ., i, am, 60"
3,"dear, sir, ,, my, mother, took, 1st, dose, covishield, 6, /, 3, /, 21, guwahati, ,, assam, ., after, that, she, came, bangalore, ., we, are, unable, find, covishield, vaccine, anywhere, here, bangalore, ., please, help, ., is, there, no, stock, vaccine, karnataka, ."
4,"what, about, 2nd, doses, 80, +, covishield"
5,"my, mother, is, due, second, dose, covishield, vaccine, ,, since, last, week, i, have, been, trying, book, slot, over, arogya, setu, app, same, but, it, is, showing, slot, already, booked, dahisar, vacc, center, ., please, let, us, is, there, any, other, way, get, slots, booked"
6,"Baba, ,, who, tells, the, future, of, people, ,, is, also, asking, when, to, take, the, second, dose, of, corona, vaccine, ., –, mphw, #, mphw, #, healthworker, #, covishield, #, coronawarriors, #, covid19india"
7,"it, is, 15, days, trying, 2nd, dose, covishield, vaccine, my, mom, ., it, is, already, 2, months, 1st, dose, 09, /, 03, ., is, there, any, way, that, v, can, get, vaccine, sobo, or, 18, -, 45, is, now, ur, priority, ., many, r, not, able, get, 2nd, dose, ., &, amp, ;, what, if, 2nd, doze, not, taken, ."
8,"option, nhi, hota, hospital, me, ., waha, covishield, uplabdh, tha, ."
9,"yes, sir, ., i, already, completed, my, double, jab, covishield, ., folded_hands"
10,"first, consignment, 1lakh, does, #, covishield, vaccine, reached, at, bhubneswer, airport, ,, #, odisha, govt, has, been, received, serum, institute, ,, #, india, today, at, 2, pm, ."
11,"#, gotvaccinated, first, dose, #, covishield, at, cooper, hospital, mumbai, today, ., there, was, no, special, facility, physically, challenged, people, like, me, ., i, had, stand, 2, hours, sun, get, inside, ., volunteers, put, up, their, hands, saying, nothing, disabled, .., sad, ...."
12,"how, much, time, does, it, take, #, covishield, side, effects, die, down, i, have, been, fatigued, ,, running, fever, have, body, ache, ., last, night, was, miserable, too, ., extreme, headache, ., it, ’, s, been, 33, hours, since, i, got, jab, ."
