,0
0,"fully, vaccinated, ., covishield, 2nd, dose, ."
1,"1doss, covishield, vaccine, thanks, ji, rajan, balguhar, ji, ji, happy, birhaday, shri, ji"
2,"1st, dose, completed, #, covishield, #, vaccines, #, 1stdosecovid19vaccine"
3,"getting, #, vaccinated, today, ., covishield, it, is, ., managed, get, slot, first, dose, after, long, struggle, ., though, there, is, long, line, get, inside, center, ., thankfully, at, least, it, is, windy, today, ."
4,"this, #, covishield, approved, by, fda, but, not, #, covaxin, before, this, came, out, ,, if, somebody, has, taken, first, dose, covaxin, ,, he, will, not, be, taking, his, second, dose, covishield, right, ., please, do, something, about, it, else, those, who, are, already, vaccinated, cannot, go, abroad, ."
5,"first, dose, vaccination, donecheck_mark_button, ಮ, ೊ, ದಲ, ಡ, ೋ, ಸ, ್, ಲಸ, ಿ, ಕ, ೆ, ಆಯ, ್, ತ, ು, syringe, #, indiafightscorona, #, vaccinationdonecheck_mark, ️, #, covishield, #, staysafe, #, stayathome, #, stayhealthy, #, staystrong"
6,"covishield, vaccination, camp, at, kishore, bharati, stadium, ,, santoshpur, run, by, #, medicahospitals, is, very, nice, initiative, ., i, got, our, house, help, vaccinated, there, just, while, back, ., booking, slots, through, cowin, regn, is, mandatory, ., carry"
7,"#, covid_19, #, covishield"
8,"got, vaccinated, today, ., #, covishield"
9,"mega, special, vaccination, drive, june, 20th, sunday, ,, throughout, andhrapradesh, ., #, covishield, #, andhrapradesh, #, vizag, #, vizaginsight"
10,"if, any, person, above, 45, want, #, covishield, it, is, available, at, nmmc, school, ,, ghansoli, ., no, que, ., both, 1st, 2nd, dose, avaialble, ., thanks, you, nmmc, secondary, school, no, ., 105, ,, sector, 7, ,, behind, dmart, ,, ghansoli"
11,"respect, team, ,, requesting, update, 2nd, does, covishield, vaccine, option, register, after, 28th, days, those, who, see, traveling, abroad, asap, ., your, quick, response, is, highly, appreciated, ."
12,"covishield, lagwaao, virji"
13,"what, astrazeneca, chief, investigator, says, india, ', s, #, covishield, dose, plan, ."
14,"entire, family, sk, sons, is, now, vaccinated, with, 1st, dose, covishield, now, you, can, shop, your, favorite, cosmetics, sk, sons, without, any, fear, "", stay, safe, ,, shop, safe, "", ;, "", stay, well, ,, stay, blessed, "", blossomblossom, do, visit, sk, sonsbaby_angel"
15,"sir, ,, panchkula, ,, second, dose, covishield, after, 28, days, as, per, goi, instructions, being, denied, spouse, /, family, members, persons, who, intent, go, abroad, with, employment, permit, ., please, remove, this, ambiguity, ., regards, ."
16,"bihar, women, given, shots, both, covishield, covaxin, within, 5, minutes, interval, .., now, she, is, under, observation"
17,"i, received, sms, message, register, 4, d, 2nd, dose, covishield, ., when, i, try, ,, i, get, message, all, dates, ', not, available, ., when, i, open, link, ,, this, picture, appeared, ., none, tel, numbers, here, are, valid, ., why, disgrace, pm, country, like, this, by, bluffing, public"
18,"hello, ,, does, anybody, have, logical, &, amp, ;, scientific, leads, about, mixing, 1st, dose, covishield, with, 2nd, dose, pfizer, thanks, adv, ."
19,"#, awareness, #, covid19, #, coronavirus, #, covishield, #, coronavaccine"
20,"more, or, less, ., basically, ,, us, therefore, all, campuses, there, do, not, recognize, any, vax, who, does, not, recognize, yet, ,, so, covaxin, sputnik, are, ruled, out, totally, ., addition, some, campuses, are, not, recognizing, covishield, either, ., unclear, if, that, applies, a, -, z, elsewhere"
21,"here, ,, i, want, just, shared, experience, occurred, wid, me, during, vaccination, ,, today, ., i, asked, sister, show, me, d, small, bottle, covishield, vaccine, ,, &, amp, ;, she, refused, show, me, dat, ., y, so, what, has, d, secret, it, exclamation_question_mark, ️"
22,"yep, ., many, us, campuses, are, not, accepting, covishield, /, a, -, z, are, asking, those, foreign, students, revax, with, modern, ,, pfizer, or, j, &, amp, ;, j, ."
23,"got, 1st, dose, covishield, today, ., @, pune, ,, maharashtra"
24,"cvc, arrangement, 19, /, 06, /, 2021, ., saturday, #, pune, vaccine, :, #, covishield, paid, :, cross_mark, free, :, check_mark_button, age, group, :, 45, +, available, :, 1st, &, amp, ;, 2nd, dose, beneficiaries, online, :, 40, %, spot, /, fw, :, 60, %, people, who, have, taken, vaccine, before, :, 27th, march, 2021, online, slots, open, @, 8, :, 00am, 19, /, 06, /, 2021"
25,"cvc, arrangement, 19, /, 06, /, 2021, ., saturday, #, pune, vaccine, :, #, covishield, paid, :, cross_mark, free, :, check_mark_button, age, group, :, 30, -, 44, available, :, 1st, dose, beneficiaries, online, :, 60, %, spot, :, 40, %, online, slots, open, @, 8, :, 00am, #, vaccinefor18plus, #, punevaccination"
26,"took, my, first, dose, #, covishield, @, jnrm, vaccination, center, ., no, side, effects, as, such, ., would, appeal, everyone, take, their, vaccines, when, their, turn, come, help, fight, this, deadly, virus, ., thank, u, health, dept, ., #, districtadmin, providing, hassle, free, service, ."
27,"when, central, government, extended, covishield, dose, gap, 6, -, 8, weeks, 12, -, 16, weeks, may, 13, ,, government, had, claimed, that, decision, was, based, recommendation, ntagi, ., but, now, ,, three, members, ntagi, have, come, forward, deny, this, ."
28,"1st, dose, covishield, done, #, covieshield, #, covid_19, #, vaccinated, #, covidvacccine, #, firstdosedone"
29,"india, needs, shorten, covishield, dose, gave, :, health, experts, article, economic, times, kindly, look, into, it, ."
30,"documents, will, be, verified, only, those, who, are, eligible, as, per, guidelines, will, be, vaccinated, ., students, /, foreign, travelers, can, register, on, -, spot, ., #, foreigntravelers, #, vaccinationforstudents, #, getvaccinated, #, indiafightscorona, #, pune, #, covishield"
31,"people, who, are, traveling, abroad, can, get, vaccinated, their, nearby, cvc, having, vaccine, #, covishield, ., their, is, category, upgraded, #, cowin, portals, these, centers, name, “, special, ”, under, which, u, can, take, 2nd, dose, within, 28, days, 1st, dose, will, be, given, kamla, nehru, only"
32,"sir, covishield, kl, wala, kb, aayega"
33,"thank, you, with, your, initiative, offline, rural, area, vaccination, today, at, our, panchayat, vaccination, had, been, done, ., i, got, my, first, dose, covishield, vaccine, ."
34,"got, my, 1st, dose, today, ., thank, you, sir, ., got, everything, quick, ,, smooth, easy, ., #, covishield, #, igotvaccinated, #, angulfightscorona"
35,"hi, sir, ,, i, found, covid, 19, symptoms, 26th, march, 21, antigen, or, molecular, test, also, i, am, full, vaccinated, covishield, can, i, eligible, exempt, 3, days, hotel, quarantine, thanks"
36,"Took, the, first, dose, of, #, covishield, today, ., Vaccine, is, a, very, necessary, weapon, in, winning, the, war, against, #, Corona, ., All, of, you, are, also, requested, to, get, the, vaccine, done, as, soon, as, possible, ., #, vaccinated, #, indiafightscovid19together, #, indiafightscorona19"
