,0
0,"i, would, personally, not, advise, anyone, i, know, mix, vector, johnson, johnson, /, covishield, /, astrazeneca, mrna, pfizer, /, modern, i, i, jabs, ., i, think, ,, not, sure, that, coaxing, also, is, vector, vaccine"
1,"i, i, paul, ex, prof, neonatology, at, department, pediatrics, knows, vaccines, they, are, still, not, able, convince, who, recognize, coaxing, but, is, now, talking, about, mix, &, amp, ;, use, ., indian, life, is, dirt, cheap, ., #, covid19"
2,"they, should, feel, ashamed, ., even, if, they, recall, ten, %, their, statements, &, amp, ;, false, narrative, against, indigenous, vaccines, coaxing, &, amp, ;, covishield, ,, they, should, retire, public, life, atleast, year, ."
3,"that, is, point, ., even, if, they, recall, ten, %, their, statements, &, amp, ;, false, narrative, against, indigenous, vaccines, coaxing, &, amp, ;, covishield, ,, they, should, retire, public, life, atleast, year, ., very, few, %, age, eligible, population, was, ready, till, march, ., now, they, are, talking, hindsight, ."
4,"this, is, incredible, news, ,, had, got, my, mom, vaccinated, with, #, coaxing, ., what, i, do, not, comprehend, is, why, was, indian, medical, association, not, one, discovering, this, since, six hundred and seventeen, variant, is, causing, unprecedented, havoc, india, ,, earlier, discovery, rollout, could, have, saved, lives"
5,"i, think, $, on, is, track, two, bring, it, us, following, their, impressed, interim, analysis, phase, three, data, showed, it, is, seventy-eight, per, efficient, agnst, mild, one hundred, per, agnst, severe, ., they, apprchd, u, ., i, fda, era, #, coaxing, much, believe, shortly, they, will, get, approve, ."
6,"hi, is, it, that, you, are, taking, about, pal, vacated, us, because, if, it, is, india, we, already, have, coaxing, which, oxygen, has, partnered, with, ."
7,"i, i, i, not, even, sure, coaxing, does, job, properly, ."
8,"well, you, can, get, it, vaccine, if, virus, is, not, properly, activated, ., like, brazil, is, saying, about, coaxing, ., read, ., but, still, i, would, say, ., one, should, get, vaccinated, asap, ."
9,"this, can, happen, only, with, india, ., god, knows, who, who, they, we, are, paying, commissions, push, vaccine, crowd, which, was, adamant, that, they, will, only, have, coaxing, because, modi, had, that, ., people, get, easily, fooled, by, photo, ops"
10,"places, like, is, administrating, #, coaxing, unproven, vaccine, ., we, live, fools, paradise, ., #, covid19"
11,"even, pakistanis, are, getting, covishield, govt, is, pushing, coaxing, guinea, pigs, india, pakistan, get, forty-five, million, doses, made, india, couid, -, nineteen, vaccines, march, :, report"
12,"still, sounds, dodgy, me, ., #, coaxing"
13,"will, they, label, coaxing, india, when, govt, says, efficacy, is, proven"
14,"see, how, health, professionals, across, country, are, trying, talk, shit, ., talking, about, image, but, don, i, i, have, guts, mention, what, vaccine, was, used, ., if, they, really, say, indian, it, should, be, coaxing, which, i, i, i, dead, sure, won, i, i, be, used, ., do, arvind, says, efficacy, data, is, coming"
15,"you, don, i, i, have, choice, with, govt, hospital, /, free, vaccination, but, all, paid, jabs, put, sector, are, covishield, /, astrazeneca, british, /, swedish, vaccine, ., primarily, because, put, sector, refused, lift, shitty, coaxing, ."
16,"even, if, they, open, this, up, put, sector, they, will, force, them, use, coaxing, dodgy, vaccine, ., this, govt, is, vile, ., what, they, do, &, amp, ;, what, they, think, is, beyond, devil, too, ., serum, institute, is, sitting, seventy, mil, bosses, pile, but, govt, is, sitting, pretty, ., maybe, waiting"
17,"wah, coaxing, but, it, i, i, crime, now, talk, about, deadly, vaccine, india, ., what, times"
18,"oxford, vaccine, is, only, modi, earn, brownies, you, are, condemned, untested, coaxing, ., that, too, ehsan, ke, sat, ."
19,"yesterday, i, was, at, my, latest, blood, test, as, part, #, novavax, #, vaccine, #, trial, ., i, felt, very, lucky, ,, very, privileged, be, part, it, #, crushcovid, #, covidvaccine, #, novavaxvaccine, #, coaxing, #, covid19, #, couid, #, pandemic, #, thankyouscientists, #, brat, #, lockdown2021"
20,"no, one, is, going, buy, coaxing, ..., hence, export, coviedshield, oxford, -, astrazeneca, ..., let, people, india, risk, their, life, ..."
21,"thanks, raja, sharma, ..., news, channel, is, being, used, market, coaxing, ..., believe, news, anchor, but, this, new, anchors, order, be, good, books, modi, -, shah, have, become, propaganda, channel, ..."
22,"third, phase, result, coaxing"
23,"frankly, speaking, ,, though, ,, i, don, i, i, understand, what, emergency, use, clinical, trial, mode, means, ., also, ,, what, i, i, i, like, understand, is, ,, what, happens, if, coaxing, is, said, be, fifty-one, %, effective, when, they, publish, pa, data, ., would, people, take, it, ,, considering, it, is, above, fifty, %, threshold"
24,"fair, enough, ., but, as, science, journalists, seem, have, discovered, nuance, reportage, ,, here, i, i, one, :, do, ., says, she, would, participate, #, coaxing, clinical, trial, ., so, potentially, take, vaccine, ,, which, has, been, approved, only, emergency, use, clinical, trial, mode, anyway, ."
25,"#, thread, decisive, actions, guided, by, philosophy, science, rather, than, narrow, pedantry, ., applies, to, ,, both, ,, one, -, dose, vaccine, strategy, adopted, by, british, govt, ., restricted, emergency, use, approval, granted, coaxing, india"
26,"worn, mask, way, too, much, time, which, has, made, me, vulnerable, other, air, borne, diseases, which, upgrade, themselves, each, year, like, #, apple, iphone, ., loss, air, -, borne, diseases, immunity, ,, therefore, allergies, ., after, two, doses, #, covishield, another, #, precautiondose, can, we, unmask"
27,"date, -, eleven, /, two, /, two thousand and twenty-two, time, -, nine, ., am, five, ., 00pm, age, group, -, eighteen, +, spot, covishield, est, dose, -, twenty, and, dose, -, twenty, precaution, dose, -, sixty, age, group, -, fifteen, +, spot, coaxing, est, dose, -, forty, and, dose, -, twenty, precaution, dose, -, forty"
28,"all, who, took, covishield, vaccine, got, two, more, times, infection, so, what, are, you, ranting, about, grinning_face_with_smiling_eyes"
29,"this, is, less, safe, i, think, -, jansen, add, ., cove, ., i, it, is, adenovirus, vaccine, like, covishield, ., no, you, should, not, go, compulsion, ., it, is, counter, productive"
30,"this, is, less, safe, i, think, -, jansen, add, ., cove, ., i, it, is, adenovirus, vaccine, like, covishield"
31,"list, countries, released, today, which, allows, travel, without, it, -, per, test, does, not, have, norway, whereas, norway, recognizes, #, covishield, ., now, can, we, please, think, about, adding, this, list, make, people, ', i, life, easy, ., thank, you"
32,"Due, to, adequate, supply, of, Covishield, vaccine, from, the, state, government, ,, vaccination, of, all, citizens, in, the, age, group, of, fifteen, years, and, above, forty-five, years, will, be, carried, out, at, the, Government, Center, with, nagar, Municipal, Corporation, from, ten, am, to, four, am, tomorrow, ., #, vaccination, #, covishield, #, maharashtrian"
33,"*, The, first, ,, second, and, ord, pill, vaccine, covishield, of, limited, number, of, couid, nineteen, has, been, provided, to, all, the, residents, of, tea, gardens, above, the, age, of, eighteen, years, in, the, centers, located, in, the, tea, inhabited, areas, ., two, /, three"
34,"list, cac, eleven, /, two, /, two thousand and twenty-two, dibrugarh, district, ., Arrangements, have, been, made, to, provide, first, ,, second, and, ord, covishield, of, a, limited, number, of, couid, nineteen, vaccines, in, the, centers, mentioned, in, the, initiative, photo, of, Dibrugarh, District, Administration, dated, eleven, /, two, /, two thousand and twenty-two, ., one, /, three"
35,"#, Ministry, of, HealthInquiry, ,, may, God, make, you, happy, /, #, Ministry, of, Health, Is, the, Covishield, vaccine, one, of, the, approved, vaccines, in, Saudi, Arabia, ?, Who, took, it, outside, Saudi, Arabia, ?"
36,"Peace, be, upon, you, ,, is, the, covishield, vaccine, approved, for, the, entry, of, workers, from, India, to, Saudi, Arabia, ?"
37,"dear, coin, i, have, received, message, that, i, have, been, given, precautionary, covishield, dose, today, i, have, no, idea, how, is, that, possible, when, i, have, not, even, gone, vaccination, center, #, coin, #, covid19, #, covishield, did, someone, take, proxy, my, behalf"
38,"could, you, pal, inform, centers, covishield, ord, dose, with, i, with, feb, #, pcmcsmartsarathi"
39,"#, nagging, i, suggestion, names, nagging, backhand_index_pointing_down, one, :, coaxing, two, :, covishield"
40,"rotten, we, state, health, services, ,, no, discipline, except, corruption, ,, not, updated, maintained, by, fly, staff, banana, ghost, after, juma, rani, pal, got, covishield, and, dose, one, /, two, /, twenty-two, at, subaldaha, pic, east, bardhaman, we"
41,"study, highlighted, that, vaccinated, people, have, better, detectable, antibody, levels, ., among, those, who, took, coaxing, or, covishield, ,, more, than, eighty, percent, had, antibodies, ."
42,"save, people, life, coronavirus, ,, omicron, by, government, india, prime, minister, mahendra, modi, ever, ,, stay, at, home, ,, work, home, ,, save, children, ', i, life, coronavirus, ,, omicron, ever, ., give, dose, pfizer, covishield, ,, coaxing, people, ,, pray, god, home, ,, god, is, great, who, save, us"
43,"#, lifeaintover"
44,"what, discovery, ...., now, let, us, search, coaxing, covishield, ...."
45,"i, i, bringing, this, your, notice, #, britishairways, ,, is, this, creative, way, mask, their, disapproval, #, covishield"
46,"Vaccination, program, organized, in, altar, city, on, Thursday, ,, ten, February, two thousand and twenty-two, ., #, covishield, #, coaxing, #, vaccination"
47,"*, The, first, ,, second, and, ord, pill, vaccine, covishield, has, been, provided, to, all, the, residents, of, tea, gardens, above, the, age, of, eighteen, years, in, the, centers, located, in, the, tea, inhabited, areas, ., two, /, three"
