,0
0,"other, than, feeling, incredibly, fatigued, &, amp, ;, slightly, off, approximately, 24, hours, ,, had, no, serious, reaction, booster, ., my, reaction, 2nd, shot, back, march, was, much, more, extreme, ., all, phizer, ."
1,"day, 272, got, my, booster, shot, ., doing, my, part, help, community, @, walmart, albuquerque, -, san, mateo, blvd, se"
2,"me, too, i, got, 3rd, booster, shot"
3,"i, am, fully, vaccinated, even, got, booster, shot, ., i, am, also, willing, play, just, one, game, as, point, guard, or, become, sideline, reporter, if, they, are, looking, because, i, could, really, use, pay, upgrade, #, noiinteam, #, publichealth, #, crushcovidsyringe"
4,"by, all, means, ,, parents, know, what, ', s, best, regarding, booster, shots, &, amp, ;, vaccines, ., big, bad, government, doctors, know, zilch, ."
5,"flu, shot, acquired, ,, next, up, booster, shot"
6,"this, is, confirmation, that, people, need, get, recommended, booster, shot, ."
7,"yup, ,, got, both, vaccines, &, amp, ;, my, booster, shot, ., smiling_face_with_smiling_eyesthumbs_up, i, still, mask, up, ,, social, distance, ,, wash, my, hands, ., we, ', re, dealing, with, virus, ., covid, doesn, ', t, care, about, political, affiliations, ., just, be, smart, &, amp, ;, vaxx, &, amp, ;, mask, up"
8,"no, ,, this, is, more, proof, that, people, need, get, booster, shot, ."
9,"not, cvs, running, out, booster, shots, sneezing_face"
10,"i, ’, m, triple, &, amp, ;, not, gonna, lie, —, little, freaked, with, all, my, brain, buds, having, reoccurrences, showing, months, after, second, shot, ., i, was, stable, 6, months, after, my, second, covid, shot, …, but, i, ’, m, anxious, sure, ., got, booster, i, ’, m, human, experiment, ,, so, …, i, went, it, recently, ,, too, ., crossed_fingerslight_skin_tone"
11,"booster, shot, this, week, sure, ."
12,"fwiw, ,, powell, had, multiple, myeloma, ,, which, is, blood, plasma, cancer, that, affects, body, ', s, ability, fight, infections, damages, immune, system, ., i, think, lot, this, is, media, how, they, ', re, reporting, this, ., grimacing_face, but, lemme, go, schedule, my, booster, shot"
13,"going, down, this, morning, get, covid, booster, shot, ., pretty, sure, colletto, will, be, one, jabbing, me, ."
14,"wow, ,, i, can, ’, t, believe, how, easily, you, guys, fucked, up, process, get, booster, covid, shots, ., been, sitting, here, 45, minutes, everyone, has, their, head, up, their, ass, ."
15,"i, am, exact, same, position, as, col, ., powell, ., i, ’, ve, just, had, my, booster, shot, but, am, so, worried, about, what, my, body, will, do, if, i, survive, ., mm, is, no, joke, will, attack, your, immune, system, ways, you, don, ’, t, even, know, ."
16,"got, my, booster, shot, last, week, ,, going, flue, shot, next, week, ., no, reaction, booster, ."
17,"yes, but, virus, mutates, vaccination, will, not, be, enough, ., hence, you, need, booster, etc, ., flu, shot, example, provided, “, immunity, ”, most, common, strain, ,, but, that, doesn, ’, t, mean, it, ’, ll, protect, you, all, flu, ."
18,"if, general, powell, ,, did, had, 2, shots, covid, vaccines, ,, he, was, suffering, underlying, health, problems, ,, then, he, should, gotten, booster, shot, ,, which, may, have, saved, his, life, ."
19,"hugs, it, ’, s, brutal, virus, …, i, am, planning, getting, booster, shot"
