,0
0,"aap, churiye, hai, agar, -, bina, history, padhe, aapne, pro, #, israel, ya, #, palestine, support, kari, -, agar, post, pandemic, #, bjp, ko, support, kara, -, agar, #, congress, ko, support, kara, -, if, you, think, #, kejriwal, is, future, -, if, you, compare, #, moneyheist, got, -, if, you, are, not, trying, get, #, vaccinated"
1,"they, all, her, fully, vaccinated, ,, so, no, need, worry"
2,"#, laggayisuuisyringesyringe, *, check_mark_buttoncheck_mark_button, #, covid, -, 19, situation, is, getting, worse, india, people, are, having, hard, time, finding, beds, hospitals, ., there, is, also, shortage, oxygen, cylinders, ., at, this, time, ,, it, is, better, get, vaccinated, as, soon, as, possible, #, vaccinationdone, #, covid, #, covid19india"
3,"Maula, ,, you, have, rained, death, ,, let, Shifa, ', s, wind, also, blow, ...., pensive_facecrying_face, #, stayhomestaysafe, #, vaccinated"
4,"stay, at, home, ., wear, mask, ., get, vaccinated, ., #, covid19, #, meghalaya"
5,"biden, urges, parents, get, kids, vaccinated, after, cdc, panel, oks, pfizer, vaccine, #, sipgrab, #, unitingpeoplewiththepossibilities"
6,"risk, clot, is, still, extremely, higher, if, someone, gets, covid, as, compared, if, someone, gets, vaccinated, backhand_index_pointing_downbackhand_index_pointing_down, getting, vaccinated, is, only, logical, option, ."
7,"moneyist, :, is, it, ethical, cruise, lines, ,, schools, or, broadway, restrict, entry, people, not, vaccinated, against, covid, -, 19, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
8,"only, hope, is, that, most, them, are, vaccinated, at, least, elders, my, neighborhood, ., i, recommended, simha, kriya, sashtanga, but, they, wait, symptoms, show, up, then, they, start, ., i, can, just, hope, that, they, do, not, have, pay, huge, price, their, stupidity, ., #, csblog"
9,"it, would, be, great, if, govt, can, put, idea, ​​, one, day, last, days, election, people, state, ,, everyone, might, already, got, vaccinated, folded_hands, #, covid19, #, covid19vaccine"
10,"announcing, working, hours, examination, vaccination, centers, during, eid, al, -, fitr, holidays, ., #, eid, #, bahrain, #, vaccinated, #, vaccinate, #, commit4bahrain, #, vaccinateandstaysafe, #, بحرين"
11,"#, posting, #, photos, #, vaccination, #, does, not, meant, make, #, showoff, doing, it, but, to, .., make, #, people, more, #, enthusiastic, over, #, getting, #, vaccinated, clear, your, mind, from, .., those, shits, thoughts, against, posting, these, #, positive, #, approach, #, theyashoway, #, beingvdmyself, #, beingyasho"
12,"appointment, scheduled, vaccination, but, k, ', taka, govt, cancels, appointment, .., can, seafarer, ', s, show, dgs, circular, with, sid, &, amp, ;, get, vaccinated, ., kindly, help, seafarer, ', s"
