,0
0,"president, biden, calls, everyone, get, vaccinated, save, their, lives, ,, repulsicans, say, that, you, have, right, die, ., who, would, you, want, lead, you"
1,"no, ..., kids, are, going, suffer, because, 40, +%, ohio, adults, didn, ', t, get, vaccinated, didn, ', t, get, their, kids, vaccinated, ., not, because, vaccinated, adults, went, bars, ., you, ', re, not, very, good, at, constructing, coherent, arguments, ."
2,"every, adult, have, all, had, opportunity, get, vaccinated, if, they, are, worried, about, complications, ., as, far, as, spread, covid, ,, it, ’, s, going, spread, regardless"
3,"alot, people, i, know, have, vidddd, at, least, most, them, are, vaccinated, ., #, indiana"
4,"i, am, fully, vaccinated, boosted, ., as, soon, as, i, was, contacted, ,, went, upstairs, did, rapid, test, i, brought, home, case, ever, needed, ., it, was, negative, ., mask, is, only, protect, others, me, case, i, do, have, was, false, negative, ., still, doing, fine, ."
5,"scheduled, appointment, bailee, too, get, her, first, vaccine, shot, syringe, i, am, scared, am, i, doing, right, thing, as, parent, myself, chai, are, fully, vaccinated, ., no, linked, cases, children, dying, vaccine, i, think, that, calmed, my, nerves, down, just, little, ."
6,"vaccinated, ppl, are, having, breakthroughs, ., they, are, out, sick, driving, staffing, shortages, ., such, is, case, nyc, schools, where, all, staff, are, vaxxed, ."
7,"right, i, have, 3, ., 5yo, ., we, just, got, email, that, our, kiddo, may, have, been, exposed, by, another, kiddo, at, school, whose, nanny, almost, certainly, vaccinated, tested, positive, ., he, ’, s, been, back, two, days, school"
8,"yes, ,, it, ', s, nuts, ., i, love, going, movies, ., probably, too, soon, unless, you, can, rent, theater, just, vaccinated, family, friends, ., worth, checking, ."
9,"tonight, it, finally, hit, me, ., i, lost, my, first, friend, complications, covid, ., if, you, are, friend, mine, at, risk, please, go, get, vaccinated, ., love, all, you, would, give, anything, go, around, talk, one, more, time, ."
10,"i, don, ', t, think, vaccinated, boosted, adult, going, bar, full, other, adults, is, boogie, man, you, ', re, looking, here, ,, but, i, also, don, ', t, think, you, ', re, especially, interested, reasonable, position, here, so, whatever, ."
11,"have, couple, friends, who, got, it, ., one, without, booster, one, with, ,, both, vaccinated, ., both, said, they, were, bed, 36, -, 48, hours, felt, terrible, ."
12,"which, kids, over, 5, cannot, get, vaccinated"
13,"well, i, had, birthday, first, my, mother, baked, me, cake, that, i, didn, ', t, expect, then, she, got, sick, with, covid, -, 19, ., she, ', s, her, upper, 70, ', s, so, i, ', m, worried, ., i, think, she, ', s, list, treatment, ., she, was, vaccinated, ,, so, i, hope, she, ', s, strong, enough, fight, it, off, ."
