,0
80000,"i, i, i, valued, but, i, refuse, do, anything, that, requires, proof, vaccination, ., if, this, happens, ,, i, won, i, i, fly, out, principle, it, ., there, i, i, far, too, much, proof, now, that, vaccinated, can, get, spread, couid, so, doing, this, serves, no, real, purpose, other, than, punish, untaxed, ."
80001,"we, have, it, too, we, are, vaccinated, ., thankful, mild, symptoms"
80002,"it, i, i, yes, vote, until, it, isn, i, i, ,, they, might, change, i, fully, vaccinated, i, ny, mean, boosted, too, loudly_crying_face"
80003,"absolute, correct, thing, do, ., if, you, are, vaccinated, ,, not, symptomatic, ,, do, not, test, unless, you, are, planning, kiss, your, immune, compromised, parents, ."
80004,"shockingly, ,, same, family, members, who, brought, actively, sick, person, their, thanksgiving, last, year, have, now, exposed, my, nice, gram, another, couid, +, person, christmas, ., face_with_rolling_eyesgrimacing_face, thank, goodness, she, has, been, vaccinated, &, amp, ;, boosted, ,, but, i, will, be, nervous, wreck, next, two, weeks, ."
80005,"are, you, high, he, can, i, i, force, fake, i, patriots, i, get, vaccinated, ,, let, alone, wear, damn, mask, imagine, if, your, boy, forty-five, did, everything, biden, has, done, ,, beginning, ,, we, i, i, be, better, off, less, deaths, ., he, wouldn, i, i, even, promote, wearing, masks, person_shruggingmedium_skin_tone, i, female_sign, i"
80006,"way, ruin, not, just, christmas, but, new, year, i, i, eve, too, Frown_sad_andry_or_pouting, get, vaccinated, y, i, all, i, this, could, i, ve, been, lot, worse, ."
80007,"experts, say, vaccinated, people, with, health, problems, still, face, serious, couid, risks"
80008,"because, they, aren, ', i, getting, vaccinated, not, taking, precautions"
80009,"why, were, they, still, testing, players, who, were, vaccinated"
80010,"thumbs_upmask, ,, vaccinated, three, times, distancing, ,"
80011,"big, thanks, president, biden, this, will, help, raise, our, country, i, i, vaccinated, rate, percentage"
80012,"like, military, ,, they, should, be, required, be, vaccinated, ., that, mandate, worked, pretty, well, ., #, getvaccinated"
80013,"ninety-five, %, ifl, is, vaccinated, ,, if, it, worked, there, shouldn, i, i, be, problem, right, but, it, doesn, i, i, work, there, i, i, still, vaccinated, players, missing, games, weekly, rolling_on_the_floor_laughing"
80014,"compelling, data, about, vaccination, boosters, against, couid, -, nineteen, ., please, get, vaccinated, ,, then, boosted, you, ,, your, family, ,, your, neighbor, ., death, is, only, one, horrible, outcome, ., hospitalization, ,, long, -, couid, ,, myocarditis, ,, organ, impacts, ., lost, time, at, work, school, ."
80015,"you, i, re, taking, things, out, context, &, amp, ;, not, using, all, facts, ., he, has, done, well, getting, couid, under, control, ,, it, i, i, those, refusing, get, vaccinated, refusing, do, right, thing, ,, is, why, couid, is, not, under, control, ., if, this, country, was, eighty, %, or, more, vaccinated, it, would, be, better"
80016,"scared, get, vaccinated, y, i, all, wasn, i, i, scared, hop, that, dick, face_with_rolling_eyesface_with_rolling_eyesface_with_rolling_eyes"
80017,"please, get, vaccinated, ., it, ', i, going, be, long, winter, ."
80018,"i, i, i, guessing, fake, twitter, account, ., having, had, couid, twice, is, still, somewhat, rare, ., about, as, rare, as, vaccinated, infected, ., three, times, even, less, often, ., nine, times, infected, he, i, i, be, fox, news, every, night, ."
