,0
0,"even, after, being, fully, vaccinated, boosted, with, two, masks, everywhere, i, go, i, still, feel, uncomfortable, when, i, hear, someone, cough, ., coughing, is, sure, way, get, move, ."
1,"our, nurses, are, exhausted, ., if, you, i, re, not, vaccinated, ,, why, would, you, trust, medicine, at, that, point, not, judging, ., just, asking, ."
2,"they, will, not, get, vaccinated, ."
3,"omicron, is, very, contagious, &, amp, ;, can, still, be, deadly, ., data, shows, that, if, you, ', ve, been, vaccinated, ,, serious, illness, or, death, is, much, less, likely, ., i, continue, encourage, everyone, whose, conscience, &, amp, ;, personal, health, allows, get, couid, vaccine, ., #, yourvoice, #, personalresponsibility"
4,"i, just, saw, commercial, was, spokesperson, ., not, nothing, ,, but, should, insurance, company, have, spokesperson, who, wont, get, vaccinated, i, ', i, supposed, trust, that, guy"
5,"those, bitching, about, tweet, ,, government, tells, them, stay, home, off, roads, their, safety, &, amp, ;, they, do, ., but, tell, them, get, vaccinated, or, wear, mask, they, flip, out, ., reminds, me, bunch, sheep, i"
6,"you, need, be, vaccinated, enter, country, ., if, you, require, negative, test, top, it, then, why, require, vaccination, first, place, am, i, missing, something, here, you, should, get, vaccinated, anyway, ,, but, this, kind, shit, just, buries, safety, argument, ."
7,"provinces, don, ', i, have, resources, test, properly, but, we, ', re, still, wasting, tests, fully, vaccinated, travelers, this, makes, literally, zero, sense, at, this, point, we, ', re, handing, anti, -, baxters, their, arguments, fucking, plate, ., fucking, madness, ."
8,"i, life, ', i, most, persistent, urgent, question, is, ,, ', what, are, you, doing, others, i, -, martin, luther, king, or, ., more, relevant, than, ever, ., more, resonating, than, ever, ., more, ways, than, ever, ., keep, safe, by, staying, safe, being, vaccinated, -, you, ,, yours, others, ., #, midday"
9,"lol, plan, was, pal, get, vaccinated, ,, but, person_shrugging, i, female_sign, i, if, they, die, they, die, i, guess, at, this, point, ."
10,"absolutely, ., kill, your, own, by, refusing, get, vaccinated, ,, not, us, ."
11,"i, ', i, thinking, if, he, starts, losing, $$$,, he, ', all, get, vaccinated, ."
12,""", novak, djokovic, will, be, granted, special, entry, participate, australian, open, after, two thousand and twenty-three, "", it, will, be, allowed, two thousand and twenty-three, if, he, gets, vaccinated, ., as, it, stands, now, ,, he, won, ', i, be, allowed, into, australia, three, years, ."
13,"vaccine, does, keep, some, people, getting, sick, ., those, vaccinated, ,, that, do, get, sick, ,, have, less, virus, nasal, cavities, they, cough, less, ,, thus, they, infect, fewer, people, ., if, you, don, ', i, take, vaccine, how, do, you, slow, spread, disease"
14,"vaccinated, or, not, ,, you, miss, betty, white, ."
15,"today, ', i, thread, worth, reading, is, anyone, who, isn, ', i, vaccinated"
