,0
0,"well, this, is, no, surprise, ,, i, spoke, about, this, jounalist, back, september, as, what, was, coming, ., there, are, number, others, about, go, as, well, ., this, is, result, poor, pay, ,, conditions, ,, brexit, covid, stress, ., vaccine, issue, diversion, ,, though, no, doubt, has, had, impact, ."
1,"faqs, about, #, covid, #, vaccines"
2,"4, dose, vaccine, against, covid, thanks, doctor, thanks, deleopment, partners, @, Calmette, Hospital, General, 5"
3,"india, ', s, fight, against, covid, -, 19, is, getting, stronger, India, over, 4, crore, our, young, warriors, between, 15, -, 17, age, group, have, been, administered, with, 1st, dose, covid, -, 19, vaccine, ., #, indiafightscorona, #, unite2fightcorona"
4,"#, justasking, #, covid, #, precautiondose, is, there, any, scientific, confirmation, or, evidence, that, 3rd, booster, dose, same, #, covidvaccine, will, be, effective, against, #, omicron, covid, variants, -, or, does, modified, or, new, vaccine, have, be, formulated, prevent, newer, covid, variants, ..."
5,"After, I, took, the, third, dose, ,, new_moon_face_with_tears_of_joy, @, covid, -, 19, vaccine, center, riyadh"
6,"valid, point, ., but, voluntarily, inject, vaccine, that, can, lead, you, myocarditis, that, i, can, choose, avoid, .., surely, pales, possibility, contracting, covid, ,, where, risk, can, be, mitigated, by, ones, personal, habits, ., surely, ,, our, ability, choose, trumps, all, else, ."
7,"there, is, no, medicine, /, pill, treat, covid, ., vaccine, is, only, way, out, ,, that, stimulates, inner, defense, ."
8,"covid, -, 19, vaccine, :, why, are, some, athletes, so, reluctant, get, jab"
9,"One, crore, people, in, the, country, did, not, take, a, single, dose, of, vaccine, ,, more, than, 6, crore, people, did, not, take, the, second, dose, of, the, vaccine, ,, the, reminder, sent, by, the, government, also, did, not, affect, #, vaccine, #, covid19, #, covid_19, #, coronavirusupdates, #, coronaupdate, #, breakingnews, #, sonusharmajournalist, #, news"
10,"The, government, of, up, ', s, double, engine, is, working, so, fast, that, the, certificate, of, getting, both, doses, is, being, given, just, by, getting, the, single, dose, vaccine, of, covid, ..., development, is, at, it, is, peak, .."
11,"way, spread, cough, ,, fever, ,, cold, ,, headache, ..., on, lighter, note, ,, covid, -, 19, virus, coming, after, having, #, vaccinesideeffects, #, vaccine, ...., madness, ...., in, villages, .., its, spreading, like, fire, .., even, though, it, is, not, deadly, ,, people, are, experiencing, it"
12,"it, has, been, almost, 2, years, into, pandemic, ., we, must, know, that, :, -, masks, work, they, save, lives, -, vaccines, work, not, getting, one, can, kill, you, -, children, can, get, it, too, -, open, less, crowded, places, lower, your, risk, -, long, covid, exists, -, media, articles, are, not, references"
13,"took, sputnik, doses, yet, positive, smiling_face_with_tear, #, omicron, #, covidvaccine, #, #, indiafightscorona"
14,"face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_hand_over_mouth, #, covid19, #, covaxin, #, covidtesting, #, covishield, #, covidvaccine, #, omicronvarient"
15,"if, you, are, married, more, than, 5, years, have, 2, children, ,, trust, me, you, are, living, life, similar, isolation, .., no, big, difference, ., #, covid19, #, covidtesting, #, covid, #, covidvaccine"
16,"new, india, ,, new, records, with, over, 160, crore, vaccines, administered, so, far, ,, india, takes, yet, another, leap, it, is, fight, against, covid, -, 19, ., #, indiafightscorona, #, largestvaccinedrive"
17,"my, wife, resident, dubai, has, taken, covid, -, 19, vaccine, covisheild, 2, doses, india, ., can, she, take, pfizer, booster, dose, here, dubai"
18,"It, is, true, that, the, CDC, in, America, recommended, ,, but, the, World, Health, Organization, did, not, object, ., cdc, recommends, everyone, ages, 5, years, older, get, covid, -, 19, vaccine, help, protect, against, covid, -, 19, ."
19,"Not, only, the, government, alone, can, deal, with, such, a, very, sad, situation, ,, but, the, society, also, has, some, responsibility, ., With, as, much, dedication, as, you, have, made, videos, ,, could, not, you, explain, it, with, the, same, dedication, ,, both, the, government, and, society, failed, #, covid19, #, covidvaccine"
20,"covid, -, 19, vaccine, dose3check_mark_button"
21,"kerala, becomes, thirteenth, state, administer, 5, crore, covid, -, 19, vaccine, doses, ."
22,"right, pocket, -, covid, vaccine, certificate, left, pocket, -, paracetamol, 500, caller, tune, -, india, has, completed, 1, ., 5crs, vacc, ....., bwhaaahaaha"
23,"dpsg, faridabad, is, committed, wellbeing, it, is, parents, ,, students, community, ., get, vaccinated, ,, stay, safefolded_hands, #, dpsgschools, #, wearedpsg, #, getvaccinatedtobeprotected, #, vaccinatedandhappy, #, vaccinesbringuscloser, #, covid, #, covidvaccine, #, healthcare, #, healthcareworkers"
24,"swiss, researchers, launch, trial, covid, -, 19, ', patch, ', vaccine"
25,"not, sure, about, others, ,, but, i, do, not, think, vaccines, prevent, covid, infection, or, transmission, ., what, they, do, is, prevent, against, severity, that, may, lead, hospitalization, or, worse, ."
26,"now, that, both, vaccines, are, out, eua, ,, will, data, aefi, be, made, transparent, public, also, third, wave, ,, with, breakthrough, infections, ,, can, #, covidvaccine, still, qualify, as, vaccine, or, as, drug, lower, severity, covid, infection, ., #, covid19"
27,"by, same, logic, ,, people, become, healthy, immune, covid, without, vaccine, ...., as, they, expect, it, too, .."
28,"Total, number, of, Govt, -, 19, vaccine, installlments, paid, till, 7, pm, on, 19, -, 01, -, 2022, ., #, covidvaccine, #, largestvaccinedrive, #, vaccineforall"
29,"Details, of, Govt, -, 19, vaccine, installlments, paid, till, 7, pm, on, 19, ., 01, ., 2022, today, ., #, covidvaccine, #, largestvaccinedrive, #, vaccineforall"
30,"well, -, done, ,, young, india, clapping_handsmedium, -, light_skin_tone, over, 50, %, our, teens, between, 15, -, 17, years, have, received, their, first, dose, covid, -, 19, vaccine, ., let, us, practice, #, covidappropriatebehavior, defeat, pandemic, ., #, indiafightscorona"
31,"question, is, ,, would, he, take, cure, himself, if, he, is, against, vaccine, prevent, covid, ,, why, would, he, take, pill, cure, it"
32,"Alhamdulillah, ,, may, Allah, benefit, him, ., red_heart, ️, @, covid, -, 19, vaccine, center, riyadh, w, /"
33,"I, am, convinced, can, save, world, ., if, made, vaccine, ,, covid, would, have, already, be, gone, 2020, ., #, premierleague, #, bremun"
34,"#, covid_ls_a_strict_plan_fromallah, coronavirus, announcing, miracle, healing, without, vaccine, nor, medicine, imam, nasser, muhammad, al, -, yemeni, ~=-*--"
35,"he, is, humanist, ,, gentleman, investing, finding, treatment, ,, unlike, zionists, investing, vaccines, which, can, be, used, as, weapons, mass, destruction, ,, like, covid, vaccine, ."
