,0
0,"vaccinated, rainbow, #, vaccinated, #, covidvaccine"
1,"very, unfortunate, situation, ., following, stop, shipment, couid, vaccine, by, india, bangladesh, is, suffering, such, disaster, ."
2,"statement, by, stating, all, australians, can, be, vaccinated, is, complete, is, government, i, i, vaccine, policy, i, does, not, include, rollout, australian, citizens, overseas, i, just, lies, lies, where, are, our, couid, payments, scotty, #, strandedaussies, #, auspol"
3,"true, dat, ., but, also, chances, that, many, people, with, vaccines, give, much, worse, diseases, than, couid, itself, ., also, antibodies, generated, by, vaccines, do, not, start, more, than, four, months, ., ao, keep, getting, jabs, recommended, by, pharma, influencers, ."
4,"before, :, couid, -, nineteen, vaccines, got, microchip, now, :, ivermectin"
5,"very, unfortunate, note, that, one, my, close, friends, ,, both, wife, &, amp, ;, husband, tested, couid, positive, had, yesterday, though, his, wife, had, taken, est, dose, vaccine, please, do, not, be, under, false, impression, that, once, vaccinated, virus, will, not, attack, you, prevention, is, better, than, cure"
6,"thank, you, excellent, arrangements, couid, vaccine, ., done, with, est, dose, sinopharm, vaccine, ."
7,"members, parliament, malaysia, save, lives, by, passing, emergency, action, plan, use, i'm, compliment, couid, -, nineteen, vaccine, -, sign, petition, via"
8,"#, joyofgiving, #, blooddonation, with, time, donating, blooddrop_of_blood, ,, i, urge, everyone, please, donate, blood, before, and, dose, couid, -, nineteen, vaccine, ., because, shortage, blood, regular, needy, patients, ."
9,"i, liked, ur, valuable, inf, ., wherein, it, is, stated, that, goi, is, dialog, with, i, interested, companies, utilization, hel, chengalpattu, complex, ., all, has, invited, tenders, couid, -, nineteen, vaccine, manufacturers, hel, ', i, ., this, regard, ,, we, appreciate, ur, sincere, continue, efforts, ."
10,"The, important, thing, is, the, ivermectin, vaccine, ,, if, the, two, functions, can, reduce, the, symptoms, of, couid, ,, what, has, wrong, with, consuming, whichever, of, the, liver, ', i, choice, ., not, so, bang"
11,"please, do, not, open, school, colleges, till, couid, is, not, finished, if, govt, want, open, school, colleges, first, they, have, vaccine, all, students, teachers, only, they, have, open, ., school, college, ', i, country, it, is, my, request, govt, not, open, school, cog, ."
12,"couid, -, nineteen, came, to, attack, ,, without, the, involvement, of, the, enemy, struck, ;, the, whole, world, is, at, war, ,, the, terrible, test, of, mankind, ., ., ., #, vaccine, #, covid_19, #, astrazeneca"
13,"anger_symbol, who, can, get, couid, -, nineteen, vaccine, and, how, effective, is, any, vaccine, i, #, collected, #, collected, #, vaccine, #, covishield, #, modern, #, pfizer, #, oxford, #, astrazeneca, #, socialmediamanagement, #, digitalmarketing, #, health, #, disease, #, time, #, couid"
14,"assay, has, successfully, administered, over, one, ,, zero, ,, zero, ,, zero, doses, vaccines, ,, attaining, landmark, records, ., this, includes, ,, eighty-three, ,, ninety-six, ,, eight hundred and eighty-five, first, doses, eighteen, ,, forty-one, ,, two hundred and seventy-seven, second, doses, #, couid, #, covid_19, #, covidvaccine"
15,"dear, visas, polical, ,, congratulations, you, have, successfully, completed, schedule, all, doses, couid, -, nineteen, vaccine, ., thanks, all, frontline, workers, ., #, covidvaccine, #, largestvaccinedrive"
16,"eighty-two, ., nine, %, adult, population, slang, valley, have, received, their, est, dose, couid, -, nineteen, vaccine, smiling_face_with_hearts, #, roadtoherdimmunity"
17,"What, has, the, motive, for, poisoning, -, mass, murder, and, legitimizing, *, benefit, influence, *, under, all, the, couid, -, nineteen, vaccines, ..., rolling_on_the_floor_laughing"
18,"oh, ..., blame, the, people, who, did, not, get, the, couid, -, nineteen, vaccine, ..., so, those, who, blamed, it, ..., can, you, get, the, couid, -, nineteen, info, ..., do, you, know, what, couid, -, nineteen, is, ?, i, scientists, -, medical, of, the, whole, world, organization, are, being, deceived, by, information, released, by, ..."
19,"eam, mentions, following, :, afghanistan, indo, pacific, gulf, vaccines, couid, crisis, myanmar, unsc, reforms"
20,"Alhamdulillah, couid, -, nineteen, coronavirus, modern, vaccine, first, dose, Alhamdulillah, couid, -, nineteen, coronavirus, modern, vaccine, first, dose"
21,"#, covid19indiahelp, #, couid, #, covidvaccine, #, gap"
