,Text,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun
0,"took, my, est, dose, couid, nineteen, vaccine, today, #, maskupindia","[('took', 'VBD'), ('my', 'PRP$'), ('est', 'JJS'), ('dose', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('today', 'NN'), ('maskupindia', 'VBP')]","['took', 'est', 'dose', 'couid', 'nineteen', 'vaccine', 'today', 'maskupindia']","['take', 'est', 'dose', 'vaccine', 'today']","['est', 'dose', 'vaccine', 'today']"
1,"You, can, get, the, vaccine, by, booking, a, slot, on, the, Healthy, Bridge, app, or, the, #, coin, portal, ., Shows, slots, at, #, cowinportal, every, day, at, up, ., #, covidvaccine, #, odishacares, #, prabhanyuz, #, basudevpur, #, barak, #, paravanes, #, basudevpur, #, barak","[('you', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('the', 'DT'), ('vaccine', 'NN'), ('by', 'IN'), ('booking', 'VBG'), ('a', 'DT'), ('slot', 'NN'), ('on', 'IN'), ('the', 'DT'), ('healthy', 'JJ'), ('bridge', 'NN'), ('app', 'NN'), ('or', 'CC'), ('the', 'DT'), ('coin', 'NN'), ('portal', 'NN'), ('shows', 'VBZ'), ('slots', 'NNS'), ('at', 'IN'), ('cowinportal', 'JJ'), ('every', 'DT'), ('day', 'NN'), ('at', 'IN'), ('up', 'IN'), ('covidvaccine', 'NN'), ('odishacares', 'NNS'), ('prabhanyuz', 'VBP'), ('basudevpur', 'JJ'), ('barak', 'NN'), ('paravanes', 'NNS'), ('basudevpur', 'VBP'), ('barak', 'NN')]","['get', 'vaccine', 'booking', 'slot', 'healthy', 'bridge', 'app', 'coin', 'portal', 'show', 'slot', 'cowinportal', 'every', 'day', 'covidvaccine', 'odishacares', 'prabhanyuz', 'basudevpur', 'barak', 'paravanes', 'basudevpur', 'barak']","['get', 'vaccine', 'book', 'slot', 'healthy', 'bridge', 'app', 'coin', 'portal', 'show', 'slot', 'cowinportal', 'day', 'covidvaccine', 'odishacare']","['vaccine', 'slot', 'app', 'coin', 'portal', 'show', 'slot', 'day', 'covidvaccine', 'odishacare']"
2,"I, am, keep, trying, get, appointment, couid, vaccine, last, twenty, days, ,, but, no, luck, yet, ., jab, kinda, hi, nazi, revenge, toh, ration, ka, kya, avenge, ,, delhi, govt, ,, map, govt, ,, failed, us, ., shame, delhi, management, ., face_with_rolling_eyespensive_faceface_with_medical_maskface_with_thermometer","[('i', 'NN'), ('am', 'VBP'), ('keep', 'VB'), ('trying', 'VBG'), ('get', 'VB'), ('appointment', 'JJ'), ('couid', 'NN'), ('vaccine', 'NN'), ('last', 'JJ'), ('twenty', 'JJ'), ('days', 'NNS'), ('but', 'CC'), ('no', 'DT'), ('luck', 'NN'), ('yet', 'RB'), ('jab', 'JJ'), ('kinda', 'NN'), ('hi', 'NN'), ('nazi', 'JJ'), ('revenge', 'NN'), ('toh', 'NN'), ('ration', 'NN'), ('ka', 'FW'), ('kya', 'FW'), ('avenge', 'NN'), ('delhi', 'NN'), ('govt', 'NN'), ('map', 'NN'), ('govt', 'NN'), ('failed', 'VBD'), ('us', 'PRP'), ('shame', 'VB'), ('delhi', 'JJ'), ('management', 'NN')]","['keep', 'trying', 'get', 'appointment', 'couid', 'vaccine', 'last', 'twenty', 'day', 'luck', 'yet', 'jab', 'kinda', 'hi', 'nazi', 'revenge', 'toh', 'ration', 'ka', 'kya', 'avenge', 'delhi', 'govt', 'map', 'govt', 'failed', 'u', 'shame', 'delhi', 'management']","['keep', 'try', 'get', 'appointment', 'couid', 'vaccine', 'last', 'day', 'luck', 'yet', 'jab', 'kinda', 'revenge', 'toh', 'ration', 'ka', 'map', 'govt', 'fail', 'management']","['appointment', 'vaccine', 'day', 'luck', 'revenge', 'toh', 'ration', 'map', 'govt', 'management']"
3,"he, old, i, get, couid, vaccine, if, my, age, is, under, category, eighteen, yr, .","[('he', 'PRP'), ('old', 'JJ'), ('i', 'JJ'), ('get', 'VBP'), ('couid', 'JJ'), ('vaccine', 'NN'), ('if', 'IN'), ('my', 'PRP$'), ('age', 'NN'), ('is', 'VBZ'), ('under', 'IN'), ('category', 'NN'), ('eighteen', 'JJ'), ('yr', 'NN')]","['old', 'get', 'couid', 'vaccine', 'age', 'category', 'eighteen', 'yr']","['old', 'get', 'couid', 'vaccine', 'category', 'yr']","['vaccine', 'category', 'yr']"
4,"good, initiative, people, who, are, not, taking, vaccine, above, forty-five, under, unlock, guidelines, please, impose, penalty, congress, procession, then, only, general, public, will, also, adhere, couid, guidelines, nazi, ord, wave, door, nazi, hey, sane, sey","[('good', 'JJ'), ('initiative', 'JJ'), ('people', 'NNS'), ('who', 'WP'), ('are', 'VBP'), ('not', 'RB'), ('taking', 'VBG'), ('vaccine', 'NN'), ('above', 'IN'), ('under', 'IN'), ('unlock', 'NN'), ('guidelines', 'NNS'), ('please', 'VBP'), ('impose', 'VB'), ('penalty', 'NN'), ('congress', 'NN'), ('procession', 'NN'), ('then', 'RB'), ('only', 'RB'), ('general', 'JJ'), ('public', 'NN'), ('will', 'MD'), ('also', 'RB'), ('adhere', 'RB'), ('couid', 'JJ'), ('guidelines', 'NNS'), ('nazi', 'JJ'), ('ord', 'JJ'), ('wave', 'NN'), ('door', 'NN'), ('nazi', 'IN'), ('hey', 'NN'), ('sane', 'NN'), ('sey', 'NN')]","['good', 'initiative', 'people', 'not', 'taking', 'vaccine', 'unlock', 'guideline', 'please', 'impose', 'penalty', 'congress', 'procession', 'general', 'public', 'also', 'adhere', 'couid', 'guideline', 'nazi', 'ord_wave', 'door', 'nazi', 'hey', 'sane', 'sey']","['good', 'initiative', 'people', 'take', 'vaccine', 'unlock', 'guideline', 'impose', 'penalty', 'procession', 'general', 'public', 'also', 'adhere', 'couid', 'guideline', 'ord_wave', 'door', 'sane', 'sey']","['initiative', 'people', 'vaccine', 'guideline', 'penalty', 'procession', 'public', 'guideline', 'door', 'sane']"
5,"couid, -, nineteen, vaccine, #, vaccinate","[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('vaccinate', 'NN')]","['couid', 'nineteen', 'vaccine', 'vaccinate']","['couid', 'vaccine', 'vaccinate']","['vaccine', 'vaccinate']"
6,"نعم, اطعم, can, i, get, astrazeneca, now, pfizer, later, why, mixing, matching, couid, vaccines, could, help, solve, many, rollout, problems, -","[('can', 'MD'), ('i', 'VB'), ('get', 'VB'), ('astrazeneca', 'RB'), ('now', 'RB'), ('pfizer', 'VBP'), ('later', 'RB'), ('why', 'WRB'), ('mixing', 'VBG'), ('matching', 'VBG'), ('couid', 'NN'), ('vaccines', 'NNS'), ('could', 'MD'), ('help', 'VB'), ('solve', 'VB'), ('many', 'JJ'), ('rollout', 'NN'), ('problems', 'NNS')]","['get', 'astrazeneca', 'pfizer', 'later', 'mixing', 'matching', 'couid', 'vaccine', 'could', 'help', 'solve', 'many', 'rollout', 'problem']","['get', 'astrazeneca', 'pfizer', 'later', 'match', 'couid', 'vaccine', 'help', 'solve', 'many', 'rollout', 'problem']","['astrazeneca', 'pfizer', 'vaccine', 'rollout', 'problem']"
7,"us, lawmakers, push, biden, administration, more, couid, -, nineteen, vaccines, medical, aid, india, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities","[('us', 'PRP'), ('lawmakers', 'NNS'), ('push', 'VBP'), ('biden', 'JJ'), ('administration', 'NN'), ('more', 'RBR'), ('couid', 'JJ'), ('nineteen', 'JJ'), ('vaccines', 'NNS'), ('medical', 'JJ'), ('aid', 'NN'), ('india', 'NN'), ('nifty', 'JJ'), ('sipgrab', 'NN'), ('unitingpeoplewiththepossibilities', 'NNS')]","['u', 'lawmaker', 'push', 'biden', 'administration', 'couid', 'nineteen', 'vaccine', 'medical', 'aid', 'india', 'nifty_sipgrab', 'unitingpeoplewiththepossibilities']","['lawmaker', 'push', 'administration', 'couid', 'vaccine', 'medical', 'aid', 'unitingpeoplewiththepossibilitie']","['lawmaker', 'administration', 'vaccine', 'aid', 'unitingpeoplewiththepossibilitie']"
8,"i, i, ve, had, two, doses, chinese, vaccine, ., no, side, effects, ,, no, couid, touch, wood","[('i', 'NN'), ('i', 'VBP'), ('ve', 'NNS'), ('had', 'VBD'), ('two', 'CD'), ('doses', 'NNS'), ('chinese', 'JJ'), ('vaccine', 'VBP'), ('no', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('no', 'DT'), ('couid', 'NN'), ('touch', 'RB'), ('wood', 'NN')]","['two', 'dos', 'chinese', 'vaccine', 'side_effect', 'couid', 'touch', 'wood']","['dose', 'chinese', 'vaccine', 'side_effect', 'couid', 'touch', 'wood']","['vaccine', 'side_effect', 'touch', 'wood']"
9,"done, with, my, first, dose, vaccine, syringe, together, ,, let, us, make, india, couid, -, nineteen, free, folded_hands, #, covid19, #, covishield","[('done', 'VBN'), ('with', 'IN'), ('my', 'PRP$'), ('first', 'JJ'), ('dose', 'JJ'), ('vaccine', 'NN'), ('syringe', 'NN'), ('together', 'RB'), ('let', 'VBD'), ('us', 'PRP'), ('make', 'VB'), ('india', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('free', 'JJ'), ('covishield', 'NN')]","['done', 'first', 'dose', 'vaccine', 'syringe', 'together', 'let_us', 'make', 'india', 'couid', 'nineteen', 'free', 'covishield']","['do', 'first', 'dose', 'vaccine', 'syringe', 'together', 'let_us', 'make', 'couid', 'free', 'covishield']","['dose', 'vaccine', 'syringe', 'covishield']"
