,0
0,"vaccinated, rainbow, #, vaccinated, #, covidvaccine"
1,"very, unfortunate, situation, ., following, stop, shipment, covid, vaccine, by, india, bangladesh, is, suffering, such, disaster, ."
2,"statement, by, stating, all, australians, can, be, vaccinated, is, complete, bs, government, ’, s, vaccine, policy, “, does, not, include, rollout, australian, citizens, overseas, ”,, just, lies, lies, where, are, our, covid, payments, scotty, #, strandedaussies, #, auspol"
3,"true, dat, ., but, also, chances, that, many, people, with, vaccines, give, much, worse, diseases, than, covid, itself, ., also, antibodies, generated, by, vaccines, do, not, start, more, than, 4, months, ., ao, keep, getting, jabs, recommended, by, pharma, influencers, ."
4,"before, :, covid, -, 19, vaccines, got, microchip, now, :, ivermectin"
5,"very, unfortunate, note, that, one, my, close, friends, ,, both, wife, &, amp, ;, husband, tested, covid, positive, hyd, yesterday, though, his, wife, had, taken, 1st, dose, vaccine, please, do, not, be, under, false, impression, that, once, vaccinated, virus, will, not, attack, you, prevention, is, better, than, cure"
6,"thank, you, excellent, arrangements, covid, vaccine, ., done, with, 1st, dose, sinopharm, vaccine, ."
7,"members, parliament, malaysia, save, lives, by, passing, emergency, action, plan, use, ivm, compliment, covid, -, 19, vaccine, -, sign, petition, via"
8,"#, joyofgiving, #, blooddonation, 16th, time, donating, blooddrop_of_blood, ,, i, urge, everyone, please, donate, blood, before, 2nd, dose, covid, -, 19, vaccine, ., because, shortage, blood, regular, needy, patients, ."
9,"i, liked, ur, valuable, inf, ., wherein, it, is, stated, that, goi, is, dialog, with, d, interested, companies, utilization, hbl, chengalpattu, complex, ., hll, has, invited, tenders, covid, -, 19, vaccine, manufacturers, hbl, ', s, ., this, regard, ,, we, appreciate, ur, sincere, countinus, efforts, ."
10,"The, important, thing, is, the, ivermectin, vaccine, ,, if, the, two, functions, can, reduce, the, symptoms, of, covid, ,, what, has, wrong, with, consuming, whichever, of, the, liver, ', s, choice, ., not, so, bang"
11,"please, do, not, open, school, colleges, till, covid, is, not, finished, if, govt, want, open, school, colleges, first, they, have, vaccine, all, students, teachers, only, they, have, open, ., school, college, ', s, country, it, is, my, request, govt, not, open, school, clg, ."
12,"covid, -, 19, came, to, attack, ,, without, the, involvement, of, the, enemy, struck, ;, the, whole, world, is, at, war, ,, the, terrible, test, of, mankind, ., ., ., #, vaccine, #, covid_19, #, astrazeneca"
13,"anger_symbol, who, can, get, covid, -, 19, vaccine, and, how, effective, is, any, vaccine, .., #, collected, #, collected, #, vaccine, #, covishield, #, modera, #, pfizer, #, oxford, #, astrazeneca, #, socialmediamanagement, #, digitalmarketing, #, health, #, disease, #, time, #, covid"
14,"assam, has, successfully, administered, over, 1, ,, 00, ,, 00, ,, 000, doses, vaccines, ,, attaining, landmark, records, ., this, includes, ,, 83, ,, 96, ,, 885, first, doses, 18, ,, 41, ,, 277, second, doses, #, covid, #, covid_19, #, covidvaccine"
15,"dear, vikash, paliwal, ,, congratulations, you, have, successfully, completed, schedule, all, doses, covid, -, 19, vaccine, ., thanks, all, frontline, workers, ., #, covidvaccine, #, largestvaccinedrive"
16,"82, ., 9, %, adult, population, klang, valley, have, received, their, 1st, dose, covid, -, 19, vaccine, smiling_face_with_hearts, #, roadtoherdimmunity"
17,"What, has, the, motive, for, poisoning, -, mass, murder, and, legitimizing, *, benefit, influence, *, under, all, the, covid, -, 19, vaccines, ..., rolling_on_the_floor_laughing"
18,"oh, ..., blame, the, people, who, did, not, get, the, covid, -, 19, vaccine, ..., so, those, who, blamed, it, ..., can, you, get, the, covid, -, 19, info, ..., do, you, know, what, covid, -, 19, is, ?, .., scientists, -, medical, of, the, whole, world, organization, are, being, deceived, by, information, released, by, ..."
19,"eam, mentions, following, :, afghanistan, indo, pacific, gulf, vaccines, covid, crisis, myanmar, unsc, reforms"
20,"Alhamdulillah, covid, -, 19, coronavirus, modern, vaccine, first, dose, Alhamdulillah, covid, -, 19, coronavirus, modern, vaccine, first, dose"
21,"#, covid19indiahelp, #, covid, #, covidvaccine, #, gdp"
22,"lies, covid, deaths, vaccines, ., draconian, farm, laws, ,, citizenship, amendment, act, ,, curbing, press, freedom, ,, detention, custodial, deaths, humanrights, activists, ,, torture, killing, dalits, minorities, ..., religious, fundamentalism, ..."
23,"if, you, are, doctor, you, told, someone, that, they, ‘, don, ’, t, need, vaccine, ’, you, don, ’, t, deserve, be, doctor, ., #, covidvaccine, #, covid19sl, #, pleasegetvaccinated"
24,"#, unite2fightcorona, #, largestvaccinedrive, busting, myths, around, women, covid, -, 19, vaccine, ."
25,"2nd, dosage, #, astrazeneca, covid, -, 19, vaccine, done, thank, you, ,, #, saudiarabia, red_heart, ️, @, riyadh, ,, saudi, arabia"
26,"just, got, my, first, pfizer, jab, ., if, you, are, eligible, ,, do, get, your, covid, -, 19, vaccine, ., stay, safe, keep, other, safe, ., #, getvaccienated, ."
27,"For, the, first, time, in, India, ,, the, Hon, ', ble, Chief, Minister, of, Tamil, Nadu, has, launched, a, free, #, covidvaccine, payment, service, at, Kaveri, Hospital, through, the, #, csrfund, of, private, companies, and, private, hospitals, in, association, with, the, Confederation, of, Indian, Industry, and, private, hospitals, ."
28,"is, your, covid, vaccine, supplied, free, by, modi, government, ...., noooooooo"
29,"so, law, &, amp, ;, order, organized, crime, story, line, is, robbing, #, covid_19, vaccine, truck, ., interesting, .."
30,"trustrelieved_face, #, covidvaccine, #, covid_19"
