,0
0,"cdc, says, 28, blood, clot, cases, ,, 3, deaths, may, be, linked, j, &, amp, ;, j, covid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
1,"biden, urges, parents, get, kids, vaccinated, after, cdc, panel, endorses, pfizer, covid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
2,"u, ., s, ., cdc, panel, backs, covid, -, 19, vaccine, now, cleared, adolescents, #, sipgrab, #, unitingpeoplewiththepossibilities"
3,"cdc, panel, endorses, pfizer, ', s, covid, vaccine, use, adolescents, ,, clearing, way, shots, begin, thursday, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
4,"we, should, train, amazon, delivery, guys, give, vaccine, ., whole, country, would, be, vaccinated, by, saturday, ., thursday, if, you, have, prime, #, india, #, mumbai, #, maharashtragovernment, #, coronavaccination, #, covidvaccine, #, coronasecondwave, #, covishieldvaccine, #, indianeedsvaccines"
5,"bhaiya, bolti, band, nahi, kari, aapni, ignorance, dikhai, ., doesn, ', t, understands, patent, rights, ., hope, he, knows, covid, shield, is, owned, by, oxford, astrazeneca, &, amp, ;, serum, institute, is, only, manufacturer, ., all, those, who, invested, research, will, get, vaccine, first, ,, others, wd, have, wait"
6,"today, i, took, my, first, dose, covid, -, 19, vaccine"
7,"feeling, very, fortunate, get, first, dose, vaccine, today, ..., #, covid19india, #, covid19vaccines, #, covishield, #, covishieldvaccine, #, healthcare, #, covid"
8,"2nd, dose, covid, vaccine, victory_hand, ️, victory_hand, ️, fire"
9,"pfizer, seek, covid, -, 19, vaccine, approval, mexico, children, aged, 12, -, 15, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
10,"all, content, creators, ,, influencers, ig, reels, creators, stop, making, bullshit, content, ,, reels, ., please, start, creating, some, awareness, motivational, videos, #, covid19, #, covidvaccine"
11,"dear, tone, condition, covid, is, too, bad, india, ,, they, do, not, have, even, enough, vaccine, support, people, ,, i, am, your, follower, india"
12,"central, government, told, supreme, court, that, it, had, not, given, any, aid, or, grant, research, development, two, covid, -, 19, vaccines, being, used, country, ’, s, mass, immunization, program, ., totally, agree, that, vaccine, orders, should, have, been, placed, earlier, ."
13,"fda, authorizes, pfizer, -, biontech, covid, -, 19, vaccine, emergency, use, adolescents, another, important, action, fight, against, pandemic, #, nifty, #, sipgrab"
14,"i, saw, yt, video, when, pregnant, doctor, died, because, covid, 19, ., she, must, obviously, be, double, vaccinated, ., i, have, always, been, strong, proponent, efficacy, vaccines, ,, but, my, mind, blows, out, if, some, vaccinated, person, dies, due, this"
15,"just, want, ask, ji, did, bjp, take, corona, vaccine, or, not, #, covidvaccine"
16,"madam, ,, government, had, no, business, be, business, ., get, lost, this, useless, business, selling, covid, vaccine, other, countries, letting, our, own, indian, die, ., govt, is, well, prepared, distribution, vaccine, once, it, is, approved, .., r, u, ready, r, people, r, ready"
17,"some, very, interesting, data, this, dashboard, ., hope, we, can, somehow, increase, vaccine, availability, as, that, seems, be, most, crucial, thing, prevent, future, covid, waves, -, lockdown, though, needed, at, times, is, only, stop, gap, solution, but, we, need, vaccinate, vaccinate, vaccinate"
18,"sir, appreciated, folded_hands, allow, all, international, covid, 19, vaccine, manufacturing, companies, produce, vaccines, india, at, moment, crisis, ."
19,"To, protect, against, the, second, wave, of, #, CoronaPandemic, ,, get, the, corona, vaccine, done, ,, do, not, go, out, of, the, house, without, reason, ., Follow, the, Corona, Health, Protocol, issued, by, the, state, government, and, stay, safe, ., #, rajasthan, #, sosiyc, #, covidvaccine, #, epidemic_red_alert_public_diskipline_lockdown, #, stayhome, #, vaccinated"
20,"our, pm, &, amp, ;, india, has, been, lucky, have, our, own, three, different, vaccines, own, covid, medicines, ,, oxygen, &, amp, ;, medical, systems, too, -&, amp, ;, alongwith, other, countries, help, we, should, get, over, present, tight, position, ., moreover, ℅, age, wise, as, compared, world, average, we, are, not, lagging"
21,"gujarat, can, be, model, state, at, covid, 19and, it, will, praised, ,, only, need, oxygen, injection, vaccine, gmdc, ground, civil, lg, hospital, unmehata, ., see, changes, please, listen, carefully, ."
22,"bmc, has, issued, global, bid, today, acquire, 1, crore, corona, vaccines, vaccinate, citizens, mumbai, at, earliest, massive, scale, it, is, decisive, fight, against, covid, virus, says, bmc, commissioner, is, chahal, ."
23,"what, are, bbmp, officers, bjp, mla, yelahanka, doing, ., The, queue, line, to, get, the, covid, vaccine, near, the, vaccine, center, of, the, 4am, yelahanka, pu, college, ., #, covid19vaccination, #, covid19, #, yelahanka"
24,"this, is, different, level, #, atmanirbharbharata, #, atmanirbhar, tamil, nadu, float, global, tenders, covid, -, 19, vaccines, inoculate, all, 18, -, 44, age, group, -, coronavirus, outbreak, news"
25,"covid, 19, vaccines, registration"
26,"India, fastest, administer, 17, cr, covid, vaccine, doses, ., And, now, the, vaccine, is, over, disappointed_face, we, have, the, highest, population, and, resources, ., what, audacity, even, compare, it, with, rest, world, person_shruggingdark_skin_tone"
27,"what, happens, those, age, group, 18, -, 44, who, have, taken, their, first, dose, vaccine, march, their, second, dose, is, due, now, &, amp, ;, they, are, medical, front, line, workers, #, pune, are, they, not, eligible, #, covid, #, covishield"
28,"cost, #, centralvista, 20, ,, 000, crore, cost, 1, vaccine, #, seruminstituteofindia, 150, rs, this, money, total, vaccines, :, 133, crore, 1, dose, vaccine, whole, india, #, covidindia, #, modikavaccinedisaster, it, ’, s, not, #, covid, that, killing, people, ., it, ’, s, center, vista, project, ."
29,"#, covid, vaccine, astra, zaneca, Remove, the, misconception, The, possibility, of, clotting, is, one, in, two, and, a, half, million, ., equates, 1, /, 250000, 0, ., 0004, %, Therefore, vaccines, cannot, be, diskontinued, due, to, unnecessary, news, ., Vaccinate, until, Allah, Almighty, comes, up, with, a, better, solution"
30,"sir, petition, has, tobe, filed, supreme, court, immediately, asking, them, stop, any, false, public, statements, against, prime, minister, india, by, any, individual, or, media, with, regards, covid, 19, situations, oxygen, shortage, vaccine, shortage, india"
31,"when, will, covid, -, 19, vaccine, be, given, 18, +, youths, pachpakari, panchayat"
32,"Sir, ,, the, Department, of, Health, has, received, a, new, vaccine, ., health, department, boll, raya, haa, kee, app, frontline, maa, naye, hoo, .."
33,"when, will, covid, -, 19, vaccine, be, given, 18, plus, youths, pachpakari, panchayat"
34,"observed, few, banks, financial, institution, contributing, at, around, npr, 10, million, per, co, ., towards, covid, fight, nepal, kudos, great, raising_hands, -, can, that, be, redirected, /, pooled, aim, vaccine, import, rather, thinking_face, #, timetostandtogether, #, thinkbig, #, thinktogether, #, desperatetimes"
35,"i, got, my, covid, -, 19, vaccine, syringecheck_mark_button"
36,"indeed, it, can, be, game, changer, ., #, covidvaccine"
37,"time, delivered, #, covid, vaccine"
38,"he, departed, london, by, indira, gandhi, airportface_with_tears_of_joy, if, congress, was, power, 1, ., vaccine, -, rajivgandhi, covidshield, 2, ., oxygen, -, indiragandhi, oxygen, cylinder, scheme, 3, ., covid, center, -, nehru, isolation, center, bed, 4, ., ppe, kit, -, soniagandhi, kit, mask, scheme"
39,"today, i, got, covid, 19, vaccine, covishield, ., thanks"
40,"sard, field, unit, nuh, ,, mewat, ,, haryana, continuously, sending, their, photographs, creating, awareness, motivating, people, with, local, health, service, providers, covid, vaccine, routine, immunization, ., god, blessed, team, ., #, csnuh, ,, #, nhmharyana, #, corecgpp, #, core, #, covid19"
41,"kya, faayda, iit, engineer, hone, ka, jab, ek, covid, vaccine, hi, nhi, bna, paa, raha, hu, lagta, hai, vaccine, vi, asmani, kitab, se, aaye, ga, #, kejrudin, delhi, waale, #, bjp, #, kejriwalfailsdelhi"
42,"we, play, fastest, finger, first, every, evening, 6pm, 9, pm, ,, kidar, milaye, covid, vaccine, mumbai, all, centers, website, ., no, luck, till, date"
43,"This, is, what, we, used, to, do, for, train, booking, ,, now, for, covid, vaccine, ..."
44,"#, pakistan, :, may, 16, ,, those, 30, years, older, will, be, able, register, themselves, receive, covid, -, 19, vaccine, dose, by, sending, their, cnic, 1166, ,, shared, #, covid19vaccination, #, covid19pakistan, #, fb"
45,"finally, ,, got, slot, 1st, dose, #, covidvaccine, ., thanks, information, ., #, vaccinationdrive, #, cowinapp"
