,0
0,"selangor, journal, |, astrazeneca, couid, -, nineteen, vaccine, safe, use, malaysia, i, minister"
1,"couid, -, nineteen, vaccine, form, pill, is, set, enter, first, clinical, trials, #, covid19"
2,"good, vaccinate, ., better, vaccine, all, front, line, workers, ., best, vaccinate, all, ., thebest, is, insist, safety, measures, &, amp, ;, cleanliness, for, ever, ., permanent, method, is, improving, immunity, by, yoga, ,, pranayama, &, amp, ;, serene, mind, loving, all, keeps, even, couid, away, ., best, health, for, ap, &, amp, ;, people"
3,"sir, please, grant, permission, couid, vaccine, all, age, groups, ,, issue, strict, rules, so, that, hospitals, should, not, collect, unreasonable, amounts, like, consultation, ,, slot, bookings, etc, ,, please, sir, many, are, waiting, take, vaccine, ., sir, life, every, indian, is, important, ., jai, hind"
4,"health, authorities, have, been, urged, increase, number, per, tests, conducted, per, day, across, sri, lanka, ., read, full, story, here, via, #, srilanka, #, la, #, coronavirus, #, covid19, #, per, #, covid19lk, #, covid19sl, #, covidvaccine"
5,"took, my, first, dose, couid, -, nineteen, vaccine, at, pic, rakaswada, ., #, covieshield, #, serum, #, covidvacccine, #, covid_19, #, free, #, india, @, nandurbar"
6,"trump, mistaken, unmask, ,, hope, &, amp, ;, pray, american, deaths, could, stop, at, 556k, ., him, had, died, black, death, ,, 500m, spanish, flu, century, ago, ., since, then, viruses, there, we, are, ninth, ,, sars, ,, merscov, ,, ebola, ,, avian, flu, ,, now, couid, -, nineteen, needs, noah, arc, &, it, ;, vaccines, &, it, i, i, i"
7,"finally, day, as, come, so, so, relieved, that, my, precious, mum, got, her, first, dose, couid, -, nineteen, ., she, got, sinopharm, thank, you, people, china, vaccine, thanks, million, #, ncos, this, folded_handsfolded_hands, thank, you, thank, you, thank, you, ., thank, you"
8,"why, you, cannot, compare, couid, -, nineteen, vaccines, #, covidー19, #, covidvaccine, #, know"
9,"The, world, ', i, fastest, vaccination, campaign, syringe, so, far, more, than, fifty, million, people, have, been, vaccinated, against, corona, #, vaccine, #, largestvaccinedrive, #, covidvaccine, #, covid19india"
10,"we, are, frontline, workers, ., we, stand, by, couid, vaccines, ., #, largestvaccinationdrive, #, indiafightscorona"
11,"couid, vaccine, check_mark_button"
12,":, eu, set, curb, exports, couid, -, nineteen, vaccines, :, report, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
