,feature_name,idf_weights
7369,zygon,8.313553664880422
2753,governor,8.313553664880422
2739,gop,8.313553664880422
2741,gorgon,8.313553664880422
5283,ramesh,8.313553664880422
2743,gota,8.313553664880422
2744,gothatuwa,8.313553664880422
5282,ramdesivir,8.313553664880422
2746,gotvaccinatedsyringe,8.313553664880422
5281,ramdankareem,8.313553664880422
5280,raman,8.313553664880422
5279,ramadankareem,8.313553664880422
5278,rama,8.313553664880422
2751,governmentfailure,8.313553664880422
2752,governmentofindia,8.313553664880422
5275,rakkaatherivey,8.313553664880422
5267,rajesh,8.313553664880422
2755,govthospital,8.313553664880422
2757,gracious,8.313553664880422
5273,rakesh,8.313553664880422
2759,gradually,8.313553664880422
2760,grandfathering,8.313553664880422
5272,rake,8.313553664880422
5271,rajusinghraju,8.313553664880422
2763,granted,8.313553664880422
2764,grape,8.313553664880422
2765,graph,8.313553664880422
5270,rajmangaltimes,8.313553664880422
5269,rajkundra,8.313553664880422
2768,gratefully,8.313553664880422
2738,goona,8.313553664880422
2737,googleplay,8.313553664880422
2736,googled,8.313553664880422
5286,rampant,8.313553664880422
5309,rationale,8.313553664880422
5308,ration,8.313553664880422
2706,globalcitizen,8.313553664880422
2709,gloom,8.313553664880422
2710,glucose,8.313553664880422
2711,glued,8.313553664880422
2712,glutathione,8.313553664880422
5299,rant,8.313553664880422
5298,rank,8.313553664880422
2716,goal,8.313553664880422
5297,rani,8.313553664880422
2718,goblin,8.313553664880422
5296,ranging,8.313553664880422
2720,godblessus,8.313553664880422
2721,goddam,8.313553664880422
2722,godkabir,8.313553664880422
2723,godmorningfriday,8.313553664880422
2724,godmorningsunday,8.313553664880422
5294,rangalhah,8.313553664880422
5290,ran,8.313553664880422
2728,goli,8.313553664880422
5289,ramzanmonthofhappiness,8.313553664880422
5288,ramprastha,8.313553664880422
5287,ramping,8.313553664880422
2732,goodmorningtwitterworld,8.313553664880422
2733,goodness,8.313553664880422
2734,goodwill,8.313553664880422
5268,rajivgandhi,8.313553664880422
2771,greater,8.313553664880422
5228,quthbullapur,8.313553664880422
2819,hacked,8.313553664880422
2806,gulf,8.313553664880422
2807,gulfcountry,8.313553664880422
2808,gully,8.313553664880422
2809,gun,8.313553664880422
2810,gurmukh,8.313553664880422
5246,ragalhah,8.313553664880422
5245,raga,8.313553664880422
2813,gut,8.313553664880422
5244,rag,8.313553664880422
2815,guwahaticity,8.313553664880422
5243,raffle,8.313553664880422
5242,raees,8.313553664880422
5241,radius,8.313553664880422
5240,radio,8.313553664880422
2772,greatest,8.313553664880422
2821,hada,8.313553664880422
2822,hadan,8.313553664880422
2823,haha,8.313553664880422
2824,hahahaha,8.313553664880422
2825,hahahahaha,8.313553664880422
5239,radha,8.313553664880422
5235,racing,8.313553664880422
5233,rabindranathtagorejayanti,8.313553664880422
2829,hairy,8.313553664880422
2830,hal,8.313553664880422
2831,halal,8.313553664880422
2832,halanayakana,8.313553664880422
5231,rabbi,8.313553664880422
2805,gulab,8.313553664880422
5247,rage,8.313553664880422
2803,gujaratcovidsupport,8.313553664880422
2802,guitar,8.313553664880422
5266,rajawadi,8.313553664880422
5265,rajasthanupdates,8.313553664880422
5264,rajasthannews,8.313553664880422
5262,rajajipuaram,8.313553664880422
2777,greta,8.313553664880422
2778,grieving,8.313553664880422
5261,rajahmundry,8.313553664880422
2780,grip,8.313553664880422
2781,grocery,8.313553664880422
2782,groping,8.313553664880422
5260,raja,8.313553664880422
5257,rainbow,8.313553664880422
2787,growing,8.313553664880422
5255,rain,8.313553664880422
2789,growth,8.313553664880422
2790,gstfreecorona,8.313553664880422
2791,guac,8.313553664880422
5254,railly,8.313553664880422
2793,guaranteed,8.313553664880422
5253,rail,8.313553664880422
2795,gud,8.313553664880422
5252,raided,8.313553664880422
2797,guest,8.313553664880422
5251,rahulgandhi,8.313553664880422
5249,rahengi,8.313553664880422
5248,raghavendra,8.313553664880422
2801,guilty,8.313553664880422
5310,rationdistribution,8.313553664880422
5311,ravachu,8.313553664880422
5312,raven,8.313553664880422
2613,fulfilled,8.313553664880422
2600,frontlinehealthworkers,8.313553664880422
5408,rejoice,8.313553664880422
5407,rejected,8.313553664880422
2603,frost,8.313553664880422
2604,frozen,8.313553664880422
2605,fru,8.313553664880422
5406,reject,8.313553664880422
5405,reiden,8.313553664880422
5404,regulatory,8.313553664880422
5402,regulation,8.313553664880422
2610,fudge,8.313553664880422
5401,regulating,8.313553664880422
2612,fulfill,8.313553664880422
5400,regularly,8.313553664880422
5313,ravening,8.313553664880422
2616,fullyvaccinated,8.313553664880422
5398,regret,8.313553664880422
5393,regional,8.313553664880422
2619,functioning,8.313553664880422
5392,regime,8.313553664880422
5391,regi,8.313553664880422
5388,regalia,8.313553664880422
5387,reg,8.313553664880422
2625,furathama,8.313553664880422
2626,furniture,8.313553664880422
2628,fyi,8.313553664880422
5380,reference,8.313553664880422
5379,refer,8.313553664880422
5409,rela,8.313553664880422
2596,frightened,8.313553664880422
2595,frig,8.313553664880422
2594,friendship,8.313553664880422
2564,fraction,8.313553664880422
2565,fraida,8.313553664880422
2567,francis,8.313553664880422
2568,franklin,8.313553664880422
2569,frankly,8.313553664880422
2570,frantically,8.313553664880422
2571,fraternity,8.313553664880422
2572,freak,8.313553664880422
2573,freaking,8.313553664880422
2575,freebie,8.313553664880422
2576,freedom,8.313553664880422
5428,remaining,8.313553664880422
2578,freevaccination,8.313553664880422
5426,relying,8.313553664880422
2580,freevaccineforall,8.313553664880422
2581,freevaccinefrompatent,8.313553664880422
2582,freeze,8.313553664880422
2583,french,8.313553664880422
2584,frequent,8.313553664880422
2586,fresh,8.313553664880422
2587,freshly,8.313553664880422
5423,relies,8.313553664880422
5421,reliant,8.313553664880422
2590,fridaythoughts,8.313553664880422
2591,fried,8.313553664880422
5419,reliability,8.313553664880422
5418,relevant,8.313553664880422
2632,galaxy,8.313553664880422
2633,gale,8.313553664880422
2634,gallery,8.313553664880422
2669,generous,8.313553664880422
2671,genetic,8.313553664880422
2672,genetically,8.313553664880422
2673,genius,8.313553664880422
2674,geno,8.313553664880422
2675,gente,8.313553664880422
5338,reassured,8.313553664880422
2677,geographical,8.313553664880422
5337,reasonable,8.313553664880422
2679,gerne,8.313553664880422
5334,realized,8.313553664880422
5333,realize,8.313553664880422
2682,gettg,8.313553664880422
5330,readyforvaccination,8.313553664880422
2684,getvaccienated,8.313553664880422
5325,reacted,8.313553664880422
2687,gey,8.313553664880422
5322,reachable,8.313553664880422
2689,ghat,8.313553664880422
2690,ghatkopar,8.313553664880422
5320,rea,8.313553664880422
2692,ghazipur,8.313553664880422
2693,ghost,8.313553664880422
2694,giant,8.313553664880422
5319,raya,8.313553664880422
2697,gina,8.313553664880422
5315,ravine,8.313553664880422
5314,ravi,8.313553664880422
2670,generously,8.313553664880422
5339,rebel,8.313553664880422
5372,redirected,8.313553664880422
5340,rebound,8.313553664880422
2637,gamechanger,8.313553664880422
2638,gaming,8.313553664880422
5371,redevelopment,8.313553664880422
2641,gangly,8.313553664880422
2642,gannavaram,8.313553664880422
5368,recoveryposse,8.313553664880422
5366,recovers,8.313553664880422
2645,garb,8.313553664880422
2646,garden,8.313553664880422
2647,gary,8.313553664880422
5362,recording,8.313553664880422
5356,recognition,8.313553664880422
2652,gator,8.313553664880422
2653,gaumakah,8.313553664880422
2654,gaurav,8.313553664880422
2655,gautam,8.313553664880422
5355,reckless,8.313553664880422
5354,recipient,8.313553664880422
5348,receiver,8.313553664880422
5345,receivable,8.313553664880422
2660,gear,8.313553664880422
2661,geared,8.313553664880422
5344,receipt,8.313553664880422
5343,receded,8.313553664880422
5342,recalling,8.313553664880422
5341,rebut,8.313553664880422
2666,generating,8.313553664880422
5229,ra,8.313553664880422
5227,quoting,8.313553664880422
5852,sentenced,8.313553664880422
3037,hotpot,8.313553664880422
3020,hopeless,8.313553664880422
5082,proceeding,8.313553664880422
3022,hora,8.313553664880422
3023,horrendous,8.313553664880422
5079,probiotic,8.313553664880422
3025,horse,8.313553664880422
3026,horseracing,8.313553664880422
5076,priyanka,8.313553664880422
5075,privy,8.313553664880422
3030,hospitality,8.313553664880422
5068,pritam,8.313553664880422
5066,prioritize,8.313553664880422
5062,print,8.313553664880422
3039,hounded,8.313553664880422
3058,humanrightsindia,8.313553664880422
5056,primarily,8.313553664880422
5055,prick,8.313553664880422
3043,howa,8.313553664880422
3045,howmuch,8.313553664880422
3046,hsptls,8.313553664880422
3047,hue,8.313553664880422
5051,prez,8.313553664880422
3049,hula,8.313553664880422
5049,previous,8.313553664880422
5044,prevented,8.313553664880422
5043,preventable,8.313553664880422
5041,prevalent,8.313553664880422
3056,humanly,8.313553664880422
5087,procuring,8.313553664880422
3017,hoped,8.313553664880422
5088,prod,8.313553664880422
3015,hoovering,8.313553664880422
5116,promoting,8.313553664880422
5115,promoted,8.313553664880422
2987,hllbiotechlimited,8.313553664880422
5111,prolonging,8.313553664880422
5110,projection,8.313553664880422
2990,hobble,8.313553664880422
2991,hobe,8.313553664880422
2992,hoc,8.313553664880422
2993,hoi,8.313553664880422
5108,progression,8.313553664880422
5107,progressing,8.313553664880422
5105,programe,8.313553664880422
2998,holier,8.313553664880422
2999,hollywood,8.313553664880422
5103,profoundly,8.313553664880422
5102,profound,8.313553664880422
3002,homegrown,8.313553664880422
3003,hometown,8.313553664880422
5100,profiteer,8.313553664880422
5098,professor,8.313553664880422
3007,honest,8.313553664880422
3008,honestly,8.313553664880422
3009,honk,8.313553664880422
3010,honolulu,8.313553664880422
5097,professionally,8.313553664880422
3013,hoo,8.313553664880422
3014,hoopla,8.313553664880422
3057,humanrights,8.313553664880422
3060,humbly,8.313553664880422
2839,hamdilah,8.313553664880422
3109,illegally,8.313553664880422
3096,idle,8.313553664880422
3097,ie,8.313553664880422
5014,predict,8.313553664880422
5013,predator,8.313553664880422
3100,iga,8.313553664880422
5012,preclinical,8.313553664880422
5010,precedence,8.313553664880422
5009,precautious,8.313553664880422
5007,precarious,8.313553664880422
3105,igotmyshot,8.313553664880422
3106,igotvaccinated,8.313553664880422
5006,preach,8.313553664880422
3108,illegal,8.313553664880422
3110,illiterate,8.313553664880422
3061,hume,8.313553664880422
5004,prayforindia,8.313553664880422
3112,illusion,8.313553664880422
3113,illustrate,8.313553664880422
3114,ilovekuwait,8.313553664880422
5003,prayforfarmersvictory,8.313553664880422
3116,imaginary,8.313553664880422
3118,imagined,8.313553664880422
3119,imaging,8.313553664880422
3120,imaindiaorg,8.313553664880422
3121,imajharkhand,8.313553664880422
4999,praveen,8.313553664880422
3123,imbroglio,8.313553664880422
3124,immature,8.313553664880422
3095,idiotic,8.313553664880422
5015,prediction,8.313553664880422
3093,identity,8.313553664880422
5016,predicts,8.313553664880422
5039,pressured,8.313553664880422
3063,hungary,8.313553664880422
5037,pressing,8.313553664880422
3065,hunt,8.313553664880422
5035,presidential,8.313553664880422
5033,presented,8.313553664880422
5031,presence,8.313553664880422
5030,prescribed,8.313553664880422
3070,husband,8.313553664880422
3071,hve,8.313553664880422
5029,pres,8.313553664880422
3073,hyderabadcovidhelp,8.313553664880422
5028,prerequisite,8.313553664880422
3075,hydroxycloroquin,8.313553664880422
3076,hygienic,8.313553664880422
5027,preranapunj,8.313553664880422
5025,prepare,8.313553664880422
3079,ia,8.313553664880422
3081,ibi,8.313553664880422
3082,icanpay,8.313553664880422
3083,ice,8.313553664880422
3085,ich,8.313553664880422
5021,premature,8.313553664880422
3087,id,8.313553664880422
3089,ideal,8.313553664880422
3090,identical,8.313553664880422
5017,prefer,8.313553664880422
5117,pronto,8.313553664880422
2982,historical,8.313553664880422
2981,historic,8.313553664880422
5191,pushpin,8.313553664880422
2874,harmful,8.313553664880422
2875,harping,8.313553664880422
5195,pushpinsmoking,8.313553664880422
2878,hasa,8.313553664880422
2879,hashi,8.313553664880422
2880,hassle,8.313553664880422
2881,haste,8.313553664880422
5194,pushpincovid,8.313553664880422
2883,hatak,8.313553664880422
5193,pushpinbirth,8.313553664880422
2885,hath,8.313553664880422
2886,haul,8.313553664880422
5192,pushpinastrazeneca,8.313553664880422
2889,havea,8.313553664880422
2980,hire,8.313553664880422
2890,havoc,8.313553664880422
5190,pushing,8.313553664880422
5189,pushed,8.313553664880422
5187,purposeful,8.313553664880422
2894,headed,8.313553664880422
2895,heading,8.313553664880422
2897,healer,8.313553664880422
2898,healing,8.313553664880422
5185,puri,8.313553664880422
2902,healthcaresystemofindia,8.313553664880422
5180,pura,8.313553664880422
2904,healthier,8.313553664880422
2905,healthiest,8.313553664880422
5198,puti,8.313553664880422
2872,hariya,8.313553664880422
