feature_name,idf_weights
aapsafetohindiasafe,8.313553665
mics,8.313553665
militay,8.313553665
mila,8.313553665
migrantworkers,8.313553665
midway,8.313553665
midst,8.313553665
midnight,8.313553665
middleman,8.313553665
midair,8.313553665
microscopewoman,8.313553665
methi,8.313553665
microscoperobotbiohazard,8.313553665
microbesyringe,8.313553665
micro,8.313553665
micr,8.313553665
michael,8.313553665
mhlawcet,8.313553665
mexico,8.313553665
mewhen,8.313553665
milkhasingh,8.313553665
millionaire,8.313553665
millionmoney,8.313553665
millionth,8.313553665
miserably,8.313553665
miscellaneous,8.313553665
misbehaving,8.313553665
mirzapur,8.313553665
mirror,8.313553665
miracle,8.313553665
minutesobservation,8.313553665
minting,8.313553665
minority,8.313553665
minor,8.313553665
ministryofhealthandfamilywelfare,8.313553665
ministerial,8.313553665
minimal,8.313553665
minha,8.313553665
mingy,8.313553665
ming,8.313553665
minalkhan,8.313553665
metro,8.313553665
meter,8.313553665
mat,8.313553665
meaningless,8.313553665
meehan,8.313553665
medtwitter,8.313553665
medparkhospital,8.313553665
meditating,8.313553665
medico,8.313553665
medically,8.313553665
mechanism,8.313553665
measles,8.313553665
meal,8.313553665
meteorite,8.313553665
mccullough,8.313553665
mayan,8.313553665
maya,8.313553665
maury,8.313553665
maureen,8.313553665
mau,8.313553665
matron,8.313553665
matrimony,8.313553665
meena,8.313553665
meghalaya,8.313553665
membrane,8.313553665
memecontest,8.313553665
meta,8.313553665
messenger,8.313553665
mesmerizing,8.313553665
merriment,8.313553665
merrily,8.313553665
merely,8.313553665
mere,8.313553665
mera,8.313553665
mentioning,8.313553665
mentality,8.313553665
mentalhealthmatters,8.313553665
mental,8.313553665
meningitis,8.313553665
menace,8.313553665
memorial,8.313553665
memorandum,8.313553665
memesdaily,8.313553665
misguided,8.313553665
misinform,8.313553665
misled,8.313553665
muff,8.313553665
mumbailocal,8.313553665
mumbaikars,8.313553665
mumbaiairport,8.313553665
multilateralism,8.313553665
multilateral,8.313553665
