,0
0,"if, one, has, received, moderna, or, pfizer, vaccines, ,, can, they, still, transmit, covid19, people, who, haven, ’, t, been, vaccinated, #, cnntownhall"
1,"i, was, just, unblinded, astra, zeneca, vaccine, trial, -, as, pfizer, vaccine, is, available, me, next, week, -, but, happy, report, i, ’, m, fully, vaccinated, after, they, confirmed, i, got, vaccine, trial, ., it, was, really, well, tolerated, ,, mild, fatigue, muscle, ache, only, ."
2,"so, how, long, do, you, think, pfizer, gonna, put, up, with, this, shit, before, they, bump, us, down, waiting, list"
3,"fuck, moderna, vaccine, ,, trump, invested, moderna, stock, is, profiting, off, it, ., i, ’, m, getting, pfizer"
4,"no, that, ’, s, moderna, vaccine, ., pfizer, has, gates, /, soros, microchip"
5,"terms, pfizer, vaccine, :, immigrants, ., they, get, job, done, ., lol"
6,"moderna, ’, s, vaccine, is, approved, asks, healthcare, workers, if, they, ’, ve, had, any, side, effects, pfizer, vaccine, ., explains, why, bugle, players, play, taps, martinsville, every, friday, ., looks, ahead, very, cold, christmas, ., join, us, 11pm, ., #, wthr"
7,"i, watched, your, show, yesterday, ., this, is, my, this, is, my, interpretation, as, why, donald, trump, is, holding, up, pfizer, pharmaceuticals, shipping, there, cove, at, 19, virus, vaccine, ., moderna, part, warp, speed, ., trump, must, have, stock, company, ., please, investigate, tks"
8,ha
9,"trump, ', s, family, has, stock, moderna, ., with, most, administrations, you, might, give, them, benefit, doubt, about, screw, -, up, getting, pfizer, vaccine, out, but, with, this, one, it, ', s, all, about, grift, ."
10,"he, is, also, pissed, that, pfizer, didn, ’, t, announce, success, before, election, ."
11,"moderna, vaccine, is, its, way, ny, ., combined, with, pfizer, vaccine, southern, tier, is, expected, receive, 16, ,, 600, doses, ."
12,"between, pfizer, moderna, 5g, vaccines, ,, which, one, has, best, homekit, support"
13,"pfizer, pharmaceutical, has, not, shipped, another, batch, vaccine, ., united, states, federal, government, hasn, ’, t, told, him, where, ship, vaccine, ., moderna, vaccine, was, approved, today, by, fda, ., trump, has, stock, company, ., fuck, pfizer, go, moderna, ., crooked, trump, ."
14,"#, cnntownhall, why, does, pfizer, vaccine, require, lower, temperature, storage, versus, moderna, vaccine"
15,"so, ,, how, long, after, getting, vaccine, can, i, stop, wiping, down, my, groceries, was, this, secondary, outcome, pfizer, /, moderna, /, fda, asking, myself"
16,"The, most, frequently, asked, question, is, ;, what, percentage, of, Africans, used, Latin, and, white, in, their, experiments, Pfizer, :, African, and, Latino, 9, ., 1, %, 3416, white, 83, %, 31, ., 230, moderna, :, African, and, Latino, 9, ., 7, %, 2, ,, 707, White, 79, ., 4, %, 22, ,, 083"
17,"literally, not, one, dose, #, covid19vaccine, went, into, any, front, line, nurses, where, literally, stores, half, countries, supply, ., will, explain, nothing"
18,"why, not, single, dose, #, covid19vaccine, where, literally, stores, it, ."
19,"i, am, not, really, sure, how, express, my, gratitude, message, moderna, &, amp, ;, pfizer, ,, but, i, want, take, advantage, this, opportunity, thanks, them, both, their, hardworking, effortsfolded_hands"
20,"you, ', ll, be, mutant, then, ., plus, then, you, ', ll, need, four, shots, ., lol, are, you, sure, you, don, ', t, want, take, it, ass, rolling_on_the_floor_laughing"
21,"trump, ’, s, leadership, there, are, millions, doses, pfizer, vaccine, sitting, warehouses, because, pfizer, hasn, ’, t, been, told, where, deliver, them, ., there, is, no, leadership, our, federal, govt, ., never, has, been, any, leadership, covid"
22,"yeah, but, you, fucked, up, pfizer, deal, now, we, have, less, vaccinated, people, great, job, jail, awaits, you"
23,"so, my, 17, yo, can, get, pfizer, one, but, not, this, one, confusing, ."
24,"covid, -, 19, vaccine, secured, check_mark_button, big, thanks, early, christmas, gift, ."
25,"with, all, due, respect, ., i, am, big, fan, dr, gupta, ., i, just, feel, his, privilege, being, celebrity, pushed, him, front, line, covid, vaccine, ., he, is, not, front, line, health, professional, regarding, covid, ., icu, er, health, professionals, should, get, preference"
26,"yeah, can, you, stop, blocking, distribution, pfizer, vaccine, now, i, don, ', t, want, new, companies, experiment, ., i, prefer, vaccine, company, with, 174yr, track, record"
27,"health, worker, alaska, suffered, severe, allergic, reaction, after, receiving, pfizer, covid, -, 19, vaccine, ., doctors, already, knew, be, lookout, after, britain, reported, two, similar, cases, last, week, vaccine, made, by, pfizer, germany, ’, s, biontech"
28,"also, ,, pfizer, can, ead"
29,"hopefully, make, enough, dieses, available, make, up, cheeto, ’, s, refusal, get, enough, pfizer, one"
30,"we, hear, pfizer, vaccine, is, being, held, -, up, ,, now, trump, is, halting, dept, defense, talks, with, biden, ., dod, said, it, was, rescheduling, with, transition, team, planned, today, til, after, 1, /, 1, /, 21, ,, insisted, change, was, “, mutually, agreed, ”, pause, holiday, season, ,, biden, team, says, not, true"
31,"i, get, first, vaccine, tomorrow, ., does, this, mean, there, won, ', t, be, 2nd, pfizer, vaccine, available, i, hate, donald, trump, ."
32,"this, is, list, what, eu, is, paying, :, oxford, /, astrazeneca, :, €, 1, ., 78, £, 1, ., 61, ., johnson, &, amp, ;, johnson, :, $, 8, ., 50, £, 6, ., 30, ., sanofi, /, gsk, :, €, 7, ., 56, ., pfizer, /, biontech, :, €, 12, ., curevac, :, €, 10, ., moderna, :, $, 18, ."
33,"my, friend, who, ', s, doctor, got, hers, other, day, ., she, said, she, almost, cried, tears, joy, her, way, get, it, also, ."
34,"if, you, don, ', t, follow, already, ig, ,, you, should, ., she, got, pfizer, vax, few, hours, ago, she, ', s, sharing, her, experience, answering, questions, ., she, ', s, crown, ., that, ', s, it"
35,"#, lawyers, united, states, ., how, can, we, get, together, sue, with, delay, ,, scam, vaccine, doses, not, getting, states, ., #, covidvaccine, #, covid19"
36,"why, pfizer, is, held, up, somewhere, storage"
37,"desantis, says, florida, shipments, vaccines, are, ‘, on, hold, .’, pfizer, disagrees, ., $, pfe"
38,"why, hasn, ', t, rest, pfizer, vaccine, received, shipping, instructions"
39,"i, ’, m, so, grateful, have, received, my, first, dose, pfizer, #, covidvaccine, today, ,, as, #, pedsicu, doc, ., i, ’, m, elated, at, this, step, towards, pandemic, ending, ,, but, we, have, so, far, go, ., so, ,, #, wearamask, ,, wash, your, hands, ,, limit, indoor, gatherings, ,, so, we, can, be, together, next, year"
40,"#, vaccine, #, pfizer, #, willsmith"
41,"trump, is, angry, because, pfizer, didn, ', t, take, federal, money, &, amp, ;, he, can, ', t, take, credit, its, successful, roll, out, ., who, really, gets, punished, we, people, ."
42,"why, can, ’, t, you, call, pfizer, give, them, them, addresses, where, send, vaccine, michigan, if, trump, won, ’, t, do, it, ,, do, you, know, where, they, were, scheduled, go"
43,"it, ’, s, unacceptable, that, there, are, still, thousands, pfizer, vaccine, doses, sitting, without, destination, ,, but, i, ’, ve, been, told, top, men, are, investigating, ., top, men"
44,"i, find, it, interesting, that, trump, owns, stock, moderna, but, not, pfizer, ."
