,0
0,"lol, which, did, you, get, ,, modern, or, pfizer"
1,"got, first, dose, pfizer, five, hours, ago, ., arm, soreness, started, kick, after, about, ninety, minutes, ., as, now, ,, arm, soreness, side, injection, general, fatigue, are, main, side, effects, ., very, normal, so, far, ."
2,"got, my, first, dose, pfizer, vaccine, at, risk, sounding, flippant, it, feels, pretty, ,, pretty, ,, pretty, good, ."
3,"that, is, positive, news, but, compare, other, country, is, disappointment, ., eu, receives, additional, him, just, only, pfizer, vaccine, by, end, june, ., you, do, math, ."
4,"i, just, realized, i, didn, i, i, tweet, my, i, faci, ouchie, i, pic, dose, #, one, pfizer, wednesday, ,, thank, you, #, covidvaccine, #, getvaccinated"
5,"oh, israel, has, been, proving, that, pfizer, i, i, vaccine, is, reducing, /, stopping, transmission, ., woman_dancingmedium, -, light_skin_tone"
6,"est, couid, vaccine, done, woot, #, pfizer, @, keep"
7,"mario, ,, one, mount, rainier, veterans, &, amp, ;, frontline, volunteer, who, has, helped, distributed, thousands, boomboxes, community, receiving, first, dose, covid19, pfizer, vaccine, today, ., thank, you, donation, facemask, our, frontline, team"
8,"got, my, first, dose, pfizer, vaccine, today, ., syringe, today, i, received, my, first, dose, of, the, pfizer, vaccine, ., syringe"
9,"i, had, pfizer, ind, was, ill, three, days, ., different, people, have, different, reactions, ., reaction, is, good"
10,"i, ', i, in, ...., except, i, had, pfizer"
11,"canada, still, will, be, behind, vaccination, process, compare, eu, ., the, eu, will, receive, additional, him, doses, pfizer, vaccine, by, end, june, ., so, canada, i, i, additional, pfizer, doses, is, almost, nothing, compare, #, extra, doses, delivered, eu, #, cannoli, ."
12,"taught, my, back, back, psychology, classes, at, central, texas, college, drove, temple, take, my, couid, vaccine, :, pfizer, est, dose, praise, god, ,, i, i, i, feeling, finefolded_handsmedium_skin_tone, ., lord, i, i, will, i, will, take, my, second, dose, couid, vaccine, after, spring, break, very, well, organized, here, raising_handsmedium_skin_tone"
13,"pfizer, ...., and, shot, is, three, weeks, ."
14,"one, down, one, go, ,, another, town, one, more, show, ...., pfizer"
15,"i, just, saw, something, that, said, i, have, faith, pfizer, vaccine, ., don, i, i, forget, they, make, viagra, ., if, they, can, raise, dead, ,, they, can, save, living, i, i, cannot, stop, laughing"
16,"did, you, get, choose, i, &, amp, ;, i, vaccine, over, pfizer, one, ,, or, was, that, decided, by, fema, site"
17,"thank, you, everyone, that, made, today, possible, ., #, science, #, modern, #, johnsonandjohnson, #, pfizer, #, vaccinates, #, sciencewillwin"
18,"got, shot, yesterday, ., beer, &, amp, ;, pizza, tonight, ., beer, &, amp, ;, pizza, last, night, ., #, shotcelebration"
