,0
25000,coronavirus news live updates: kerala tourist destinations be complete #39;vaccinated zones#39; by july 15 #nifty #sipgrab #unitingpeoplewiththepossibilities
25001,"#rewards #vaccinated #pmoindia First dose of vaccine covishild was administered in Gram Panchayat Devgaon Kala. Dear countrymen, inspire your family and people above the age of 18 years to get corona vaccine, so that we can be victorious in the country's fight against corona virus."
25002,vaccinated syringevictory_hand
25003,other words we already vaccinateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry new zealand 51 times singapore 40 times switzerland 30 times israel 30 times australia 10 times japan 2 times germany 3 times italy 4 times canada 4 times about vaccinate entire u.s. #modihaitomumkinhai
25004,fully vaccinated syringesyringesyringesyringe
25005,finally got vaccinated.
25006,#second _ dose #oxford #vaccinated
25007,92 year old female syringe
25008,85 percent vaccinated.
25009,I have got #covid19vaccine syringe I also appeal to all of you that if you are above 18 years of age then register yourself soon and get vaccinated. Make humanity victorious in this fight against Corona. #vaccinated #vaccinefor18plus #coronavaccine #staysafestayhealthy
25010,finally fully vaccinated rolling_on_the_floor_laughingclapping_handslight_skin_toneclapping_handslight_skin_toneclapping_handslight_skin_toneflexed_bicepslight_skin_toneflexed_bicepslight_skin_tone
25011,got half vaccinated
25012,vaccinated against #covid19 #coronavaccination #vaccinated #peshawar #khyberteachinghospital
25013,finally #vaccinated #1stdose #covaxin love_letter #vaccine #vaccinateindia #vaccinefor18plus
25014,"Late come akhilesh yadav ji has decided to get vaccinated.former defense minister mulayam singh ji has already taken first dose gurugram hospital vaccine always belonged to India,not any party we vaccinate all our 18+ citizens by dec 2021."
25015,fully vaccinated syringevictory_handlight_skin_tone
25016,"finally i got vaccinated, thank you very much , . , , #saathiinitiative', #theyashchoprafoundation #iftda #fwice #mybmc #vaccinated #adityachopra #yashrajfilms #mygovernment #maharashtragovernment"
25017,"The vicious propaganda of vaccination is being carried out on the same ""non-Muslim"" mobile phone in which most of the ""Muslims"" do not even know who is silent. #heatwave #vaccinated # vaccinationfor18plus #ncoc # covid19"
25018,fully vaccinated syringecheck_mark_buttonface_with_medical_mask got my 2nd jab today..keycap_2 don't forget take yours..syringefolded_hands #vaccineforallvictory_hand #2ndshot red_heart
25019,"vaccine ke liye karna padega via spreading hate against indian vaccine not getting vaccinated , roaming mumbai waiting pfizer vaccine #bycottmumbaikarnikhil #mumbaikarnikhil"
25020,i'm fully vaccinatedheart_suit️ #fullyvaccinated #mumbai done with 2 doses #covaxin #covid19 #cowin
25021,#vaccinationdonecheck_mark️ #vaccinated @ bhagabanpur
25022,1st dose completed #vaccine #covid19vic #covid19 #vaccinated thank u ji folded_hands
25023,got vaccinated victory_handmedium_skin_tonesyringe #togetherwecan #getvaccinated #covid19 #phdvoice
25024,vaccinated الحمدُلِلّہ
25025,allahdilllhllah . got vaccinated .;
25026,Blessed Mother's Blessings folded_handslight_skin_tonefolded_handslight_skin_tonefolded_handslight_skin_toneIndiaIndiaIndiaIndiaIndiaIndia #vaccinated
25027,vaccinated people are far less likely get severe covid-19. let's be resposible get vaccinatedsyringe #stayhomestaysafe #covid19 #getvaccinated #covid #indiafightscorona #togetherwecan #andhrapradesh #vijayawada
25028,"turn ibu pulak #vaccinated @ pusat vaksinasi covid-19 wtckl kuala lumpur, wilayah persekutuan kuala lumpur"
25029,"first dose done #dinanathmangeshkarhospital hoping #covid19free #pune #gypsyprincessdiaries #gypsyprincess #jabbed #vaccinationdonecheck_mark️ #ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs #gocoronago #vaccinated @ pune, maharashtra"
25030,kindly follow covid appropriate behaviour get yourself vaccinated -jk #jkfightscorona #indiafightscorona #coronaharegadeshjeetega
25031,#vaccinated post vaccination syringe company sponsored hyderabadi biryani star-struck #getvaccinated #vaccinedrive
25032,#vaccinated 1st dose complete
25033,"Today Shri Gujrati Modh Vanik Samaj reached the vaccination center and took the first dose of the vaccine. Vaccine is safe and there is a protective shield to protect against corona, so get the vaccine and participate in the interest of yourself, your family, society and country #burhanpur #vaccinationfor18plus #vaccination #vaccinated"
25034,"#indiafightscorona: round_pushpin𝑰𝒏𝒅𝒊𝒂'𝒔 #𝑽𝒂𝒄𝒄𝒊𝒏𝒂𝒕𝒊𝒐𝒏𝑫𝒓𝒊𝒗𝒆 𝒄𝒓𝒐𝒔𝒔𝒆𝒔 23.9 𝒄𝒓𝒐𝒓𝒆 𝒎𝒂𝒓𝒌 𝒐𝒇 𝒂𝒅𝒎𝒊𝒏𝒊𝒔𝒕𝒆𝒓𝒆𝒅 𝒅𝒐𝒔𝒆𝒔. check_box_with_check️#staysafe, follow #covidappropriatebehaviour get yourself vaccinatedsyringe #largestvaccinationdrive"
25035,Aaj Vaccine
25036,"now that most students b vaccinated by end june, it doesn't make sense not allow pakistani students into china.. #takeusbacktochina plz read this #یہ_ھیں_پاکستان_کےزوال_کےاسباب"
25037,"This is the slogan of life, be security filled 130cr family our i got vaccinated"
25038,"haha tak perlu nervous2, tenang2 je bro n get vaccinated relieved_face"
25039,"With the current influx of #vaccinated, today the first dose of vaccine....crying_facecrying_face"
25040,let’s get vaccinated #vaccinateindia #vaccinationdrive
25041,vaccinated against covid-19 alhamdolillah
25042,"4,30,616 vaccinated yesterday. 2,11,50,258 vaccinated till date. jai bjp fixed bjp victory bjp triangular_flag"
25043,vaccinated successfully
25044,"#covaxin #firstdosedonesyringecheck_mark️ #vaccinated @ thiruvananthapuram, kerala, india"
25045,"If we don't remove #article370, would anyone pay attention to these villages, thank you very much folded_handsbouquet #vaccination #vaccinated #vaccinationdrive #vaccination4all"
25046,ඒ අපිටත් ඕනෙ. star-struck 'joints jabs': washington state turns marijuana giveaways encourage residents get vaccinated
25047,#vaccinated thank you #delltechnologies #covaxin #covid19 #iwork4dell #stayhomestaysafe #getvaccinated #letsfightcovid
25048,"About two and a half months after his grandfather's death, he received a certificate for both doses of the vaccine. If there is any other reason ... curiosity to know"
25049,I was also vaccinated today due to your inspiration.
25050,"done with both my doses #covid19vaccine. no serious problems after 1st dose, but seems like fever it’s way this time. please get vaccinated asap. नख़रे मत करो, जो मिले वो ले लो #vaccinated #getvaccinated #letsjab"
25051,yesterday i got my 2nd dose covaxin shk sbv lajpat nagar. very nice arrangement by govt. 1st dose : 07-05-2021 2nd dose : 07-06-2021. #vaccinated
25052,#vaccinated with #2nddose #covaxin get vaccinated as soon as you are able thank you #secondcovidwave #bhubaneswar #2nddosedonesyringecheck_mark️ #vaccinefor18plus #odishafightscorona #cowin
25053,fully vaccinated .. get your vaccine asap . #vaccinated #getvaccinatedasap #getvaccinatedsoonindia
25054,face_with_hand_over_mouthface_with_hand_over_mouthface_with_hand_over_mouth #covid19 #covid19 vaccine #covid19 #vaccinated
25055,#vaccinated #vampirediaries #vaccinationdonecheck_mark️ #vaccinatedtest_tubepetri_dishsyringe @ bhawanipatna
25056,#vaccinated #covishielded1stdose #mysurufightscorona #mysuru #appolohospitals #covidindia
25057,fully vaccinated syringe #bachnaaehaseeno
25058,half eligible traveling again #vaccinated
25059,what about vaccinated indians
25060,double vaccinated &amp; double masked : i am proud #vaccinatedwarrior.. ..what about you -- how did i get vaccination slot covaxin backhand_index_pointing_down #seconddose #doublevaccinated
25061,#vaccinationcentralised Akhilesh Bhaiya has now come to know that the vaccine belongs to Modi ji and he has full faith in Modi vaccine. #vaccine is safe. don't be trapped. get #vaccinated defeat #coronavaccine
25062,Today we've visited our community health center dhanapur as per schedule but not get vaccinated please it's our humble request you please take some appropriate decision.
25063,day-3 vaccine drive at lotus valley school noida. let everyone should be vaccinated. सेवा ही संगठन।
25064,#vaccinated thank you
25065,#vaccinated #stayhomestaysafe #covid
25066,got vaccinated #vaccinationdrive #vaccinationfor18plus #vaccinate #maskupodisha #maskupindia #gottheshot #stopthespread
25067,today i got vaccinated syringe
25068,"1st dose #covisheild done well organized by lifeline hospital, #adoor. #mycovid19shot #vaccination #vaccinationdrive #keralamodel #vaccinated #kerala"
25069,vaccinated dose 1 @ oberoi mall drive
25070,i 'm vaccinated. red_heartyellow_heartpurple_heartThailand az -1st dose
25071,alhamdulillah second dose vaccinated today.syringe
25072,#vaccinated #my_page_my_responsibility
25073,delhite are reaching uttar pradesh get vaccinated &amp; as always uttar pradesh is helping them be vaccinated once kejriwal has taunt up &amp; biharis about how they get free treatment delhi &amp; now this be reply kejriwal by yogi ji. #बेमिसाल_योगीजी
25074,#covidindia get vaccinated today my 1st dose. #covishieldvaccine
25075,today i got vaccinated... covid-19.....#covishieldvaccine
25076,i vaccinated #1stdosevaccinedone #covidshield #haveyou #coronaindia #covid19
25077,im vaccinated against covid-19 #vaccinationdonecheck_mark️ #vaccinated #ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs #vaccinatedandhappy #vaccin smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyes @ rajendra college balangir
25078,"Still ready for #vaccination…. Welcoming the decision of #vaccineforall, said that we were against the vaccine, we will also get the vaccine of the Government of India. Appealed to the people that they should be #vaccinated. backhand_index_pointing_down"
25079,"india lo 1st dose for almost 20crore people but 2nd dose 4crs for fully vaccinated ayyevaraku risk untadani, 2nd dose now 84 days petty dobbaru person_facepalminglight_skin_tone‍male_sign️person_facepalminglight_skin_tone‍male_sign️sk_face_signment"
25080,"Vaccine is not the BJP's but the recognition of the hard work of the country's scientists, do not fall in any illusion, get the vaccine done. If you are safe then your family and society will all be safe. first dose done check_box_with_check️ please don't hesitate to get yourself vaccinated as soon as possible.folded_hands .#vaccination"
25081,yey mom is vaccinated #cucukmyaz
25082,"P 1. Liquor stores and shops are also allowed to operate from 9am to 5pm .. could have postponed it one more week, atleast please close borders. liquors be sold only by vaccinated person. #lieutantgovernorofpondicherry #lockdown #vaccineforall"
25083,A good message… I hope that SP workers and their national president will also take inspiration from the founder of their party. Don't get into the talk of donkeys and all of you must also vaccinate folded_hands.. #vaccinationfor18plus #vaccineforall #vaccinationdrive #vaccinated
25084,#vaccinated #1stjabdonesyringe
25085,jinko jaldi hai woh hospital mei paise deke lagwa le. waise punjab mei kyun diya tha vaccine hospital ko india ki population ko vaccine lag jaye toh world ki 17% population vaccinated ho jaiegi. sabka number aayega but jinko jaldi hai woh hospital mei lagwa le..
