Unnamed: 0,0
0,soniya mummy hoti toh covid me magic stick ghuma ke death kam kar deti... aur rahul baba apne hanto se taiyar karke sabko vaccination deta
1,covid vaccination centre list 11.02.22 2/2 #vaccinationdrive #covidvaccine #kmcfightsagainstcorona
2,covid vaccination centre list 11.02.22 1/2 #vaccinationdrive #covidvaccine #kmcfightsagainstcorona
3,Vaccinate to protect yourself and your loved ones from coronavirus #uranus #covidvaccination
4,is covid ki waja se buht saray logon ne apne pyaron ko khoya hai buht sare log apni jan se hath kho bethe agr ap is nuqsan se bachna chahte hain plz vaccination lagvaey.... #jeelodobara #jeelophirse #covidvaccine
5,guv inspects covid vaccination centres
6,covid vaccination centers 11/02/2022
7,tonga’s first covid outbreak erupts; vaccination surges 98%
8,deaths due covid what is vaccination rate what it's free what we are safe sirf galtiyan nikalna ata he tumko bhai congress mubarak kasmir jnha se kasmiri panditon ko bhaga diya mar diya gaya dharm parivartan krne bola gaya wo mubarak duniya ke samne mubarak nai koi mubarak kasmir jnha se kasmiri panditon ko bhaga diya mar diya gaya dharm
9,"Information was given to the general public through cultural programs in Chimani, Bhakrod, Kharnal and Khinvsar villages of Nagaur district today by a mobile exhibition vehicle being run to make the general public aware about #Corona vaccination. #covid19 #covidvaccination"
10,state covid-19 vaccination update as 10th february 2022
11,Covid vaccination has been started today in various schools in the district for children between the ages of 15 and 14 under the direction of the Department of Health Odisha. A total of 572 students were vaccinated on the first day by the district chief hospital Buddhist. #covidvaccination #coronaupdate
12,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur smt ravibala social welfare officer icds project director addressing
13,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur shri seenivasan addressing
14,The number of corona vaccines injected in India has crossed 171 crore .. #india #covidvaccination
15,india covid-19 vaccination update: 10-feb-2022 09:15 pm view more: #largestvaccinedrive #largestvaccinationdrive #unite2fightcorona #indiafightscorona
16,#covid19update | India's #covidvaccination coverage reached about 172 crores. More than 43 lakh doses have been administered till 7 pm today: Health Ministry
17,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur shri k devi padmanabhan field publicity officer tiruchirapalli addressing
18,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur asst project officer shri geetharatnam addressing
19,India's COVID vaccination coverage has reached around 172 crores. More than 43 lakh doses have been administered till 7 pm today: Ministry of Health #covidvaccination
20,India's Kovid vaccination coverage has reached about 172 crores. More than 43 lakh doses have been administered till 7 pm today: Ministry of Health #covidvaccination
21,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur block medical officer dr suryakumar addressing
22,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur abhinaya kalai kuzhu performing
23,mini icop covid vaccination swachh bharat abhiyaan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur sbm coordinator shri rajabhoopathy addressing
24,mini icop covid vaccination swachh bharat abhiyan voters day soil health card akam by fob tiruchirapalli at sengeri alambadi panchayat perambalur
