,0
0,just pointed out yesterday 😃 today many centres near nagpur opened up 18-44 yrs 1st dose vaccination✅✅ #vaccine #covidvaccination #largestfreevaccinationdrive
1,"#covidvaccination #covid19 free vaccination drive at navodaya colony community hall, gudimalkapur, only women both 18+, 45+ vaccines are available, but only 1st dose is been given, carry adhar card d along with u"
2,2nd dose completed #sinovac #covidvaccination #vaccinated
3,"#modihaitohmumkinhai #vaccineforall #covidvaccination In a single day on June 21, 80 lakh citizens across the country got the anti-covid vaccine 🙏🏼💐👍 Triwar greetings and thanks to respected Prime Minister Shri ji 🙏🏼💐🙏🏼💐 ji"
4,#covidvaccination #covidfreekarnataka #covidfreeindia
5,"got my first dose covid vaccine today at bukit jalil national stadium. very smooth process, helpful friendly staff. kudos #vaccine #covid19 #lindungdirilindungsemua #ppv_stadiumnasional #covidvaccination #vaccinated #coronavac #sinovac"
6,"Believe that it is difficult, traveler, you go, don't stop, don't stop under the shade….. Believe that it is difficult, traveler, you go away Ashu #shayariquotes #shayritwitter #poetrycommunity #poetrylovers #word #world #lyrics #alfaaz #lafz # struggle #covidvaccination"
7,"Today my father fulfilled his responsibility towards the nation and took the first dose of vaccine to protect against covid, I also appeal to all of you that everyone must get the vaccine. And make India #covid free. #covidvaccination #covid19india"
8,1st day covid vaccination mahaabhiyan. #mpvaccinationmahaabhiyan #mpfightscorona
9,"We are also the third world, third class citizen or the #firstdose of #vaccine was lucky and finaly, i got my first dose💉 #covidvaccination #assam"
10,Neighboring India spends Rs 8 million daily and China imposes more than Rs 1 billion #covidvaccination on its citizens but our useless government and political parties are busy squandering power till now. Confusion
11,"Crying that in 1 day only 80 lakh people got #covidvaccine whereas in 2012 17 crore people got polio vaccine. So chaman tuchiye that was the scam regime of #congress where everything was possible whereas at present #covidvaccination is linked to Aadhaar, there cannot be scam in it."
12,ray hope amidst darkness pandemic -vaani #gogetjab #covid_19_vaccination_drive #isupportvaccine #tuesdaymotivation #getwellsoonindia #covidappropriatebehaviour #lets_nip_thirdwave_in_bud #letskickthemonsterout #indiafightscorona #omshanticorona #ilovemyindia🇮🇳
13,#covid19 #covidvaccination #coronavirus
14,girl got vaccinated 🎈my first dose sinovac vaccine at ppv bukit jalil. so smooth steady 💉🦠 #covidvaccination #sinovac #bukitjalil #kitamestimenang
15,#covaxin #largestvaccinedrive #covidvaccination
16,covid peak - 412262 per day vaccination peak - 30000 per sec. #largestvaccinedrive
17,#covid19 #covidvaccination #karachiexpo #ncoc
18,The government should also present the data that how many people have got their vaccines by paying money and how much was the total vaccine cost #covidvaccination
19,The people of Madhya Pradesh also gave their full cooperation to make this great campaign worthwhile. As a result of which today MP created a record by vaccinating 16.70 lakh people.
20,"over 8 million vaccine doses administered single day - highest world. this is first day open all adults, direct site registration covid-19 vaccination india 🇮🇳 #covid19 #covid19india #vaccineforall #indiafightscorona #largestvaccinedrive"
21,#covidvaccination #fightagainstcorona #pune
22,Walk in Vaccination #coronavaccine #coronavirusupdates #covidvaccination
23,Bhiya #indore has done it. #Indore becomes the first city to vaccinate 2 lakhs in a day #bharatthanksmodiji #vaccinationdrive #covidvaccination #yoga #cowin #yogaforall #vaccinated #vaccinationdrive #mondaymotivaton #tuesday #mpvaccinationmahaabhiyan #Jai_Shriram #tuesdayvibe
24,"hon'ble mp, rajyasabha sri kamakhya prasad tasa presence hon'ble dc,jorhat sri ashok kr. barman inaugurating model vaccination center covid-19 mega vaccination campaign at dhalarsatra higher secondary school,titabar,jorhat"
25,#modihaitomumkinhai new #world #record oneday higest #vaccinationdrive 82 लाख 8270191 #covidvaccination
26,"1st dose done, please get yourself vaccinated everyone. #covidvaccination #vaccinated #coronavaccine #covid19 #sinovac"
27,anugrah welfare foundation has contributed their time volunteering covid vaccination mahaabhiyan at kshipra health sub-center. #mpvaccinationmahaabhiyan #mpfightscorona
28,"Heartfelt thanks to the Hon'ble Prime Minister of India Shri ji and respected Chief Minister Shri ji 🙏 Today we have created a new #record of #covidvaccination in the world, our #madhyapradesh has come on top #recordvaccinationinmp #mahavaccinationabhiyan"
29,"Chief Minister Yogi Adityanath, stunned by the work of Mahoba administration to prevent corona infection, praised the open throat. Encouraged by best wishes. #covidvaccination #covid19 #corona"
30,"sir, please fixed covid-19 vaccination center at ichhapur area interest locality maliarua anganwadi centre/ nachhipur nodal up school/ bhagabansuni up school, bhagabanpur/ carmel school, ichhapur/ brahmapur high school, ichhapur"
31,First vaccination vaccine at Nulvie Primary Health Center today.
32,This nation will sit 3 feet apart in the congregation #covidvaccination #cancel_allboard_exams
33,#covidvaccination #indiafightscorona #vaccineforall
34,"More than 78.75 lakh vaccine doses were given in the country till 7:55 am today, PM Modi sends greetings #pmnarendramodi #covidvaccination thanks you ji. not only me #bharatthanksmodiji"
35,incredible another feather cap india’s vaccination drive. 80 lakh+ covid vaccine doses administered today. such record-breaking accomplishment. congratulations visionary leadership pm shri ji. . . 🙏❤👍✌👏
36,o teefa kaka mana suaoo ni lagano oye .. #covidvaccination
37,"itna vaccine lagayenge ki dhuwa dhuwa ho jaygega😀😂💉 #madhyapradesh administrated 15+ lakh doses single day. ""a big slap opposition's"" #covidvaccination #covid19"
38,fci divisional office ranchi urges all #vaccination under free vaccination drive protect #covid19 spread awareness regarding largest covid vaccination drive stop spread virus. #unite2fightcorona
39,news update vaccination #covidvaccination #covishieldvaccine
40,"Today, India has vaccinated 40000 people in a second, 80 lakhs. In the world's largest vaccination drive, equal population of many countries got vaccinated in a single day #covidvaccination is the boss, today there was no sound of crying from anywhere, trust the country Keep it, politics will continue"
41,Right and necessary work 🙏 Good work . #purnea #bihar #india #covid19 #covid19vaccine #covidvaccination
42,Today elder father got first dose vaccination after illness he got ready today god bless him #yogaday2021 #tikalagayakya #vaccination #mahaabhiyaan #madhyapradesh #covidvaccination
43,meeting was held at district bjd office presence health minister naba kishore das brajrajnagar mla kishore kumar mohanty regarding covid vaccination. #jharsuguda #viraljharsuguda
44,𝙽𝚎𝚟𝚎𝚛 𝚆𝚊𝚕𝚔 𝙰𝚕𝚘𝚗𝚎 𝙸𝚝𝚞 𝚢 𝚙𝚊𝚜𝚝𝚒 𝚍𝚛 𝚔𝚊𝚖𝚒 𝚓𝚒𝚔𝚊 𝚊𝚗𝚍𝚊 𝚙𝚎𝚗𝚎𝚛𝚒𝚖𝚊 𝚟𝚊𝚔𝚜𝚒𝚗 𝚍𝚒 𝙿𝙿𝚅𝙺𝙻𝙲𝙲 .. #𝙿𝙿𝚅 #𝙺𝙻𝙲𝙲 #𝙿𝙿𝚅𝙺𝙻𝙲𝚘𝚗𝚟𝚎𝚡 #kitajagakita #kitamestimenang #covidvaccination #lindungdirilindungsemua
45,big work by 👍👍👍🔥🔥🔥 #covidvaccination #covid19
46,We will not be afraid this time because the vaccine is the only corona helmet. #myshotmp #jansamparkmp #covidvaccination
47,"all covid pts 97 x-ray's #covid #covidvaccination #covidvaccine. . . , , , , ,"
48,get #vaccinated #covidvaccination
49,"From today onwards, free vaccine will be available to all people above the age of 18 years from the Government of India. Put it on yourself and tell everyone. #vaccinated #covidvaccine #covidvaccination"
50,tripura toward 100% #covidvaccination
51,Violence at F-9 Mass Vaccination Center in Islamabad has been stopped. DHO Islamabad reached the spot. People from all over Pakistan are coming to Islamabad for vaccination. Every effort is being made to vaccinate everyone. DHO # covid19 #covidvaccination
52,"𝐂𝐎𝐕𝐈𝐃𝟏𝟗 𝐕𝐚𝐜𝐜𝐢𝐧𝐚𝐭𝐢𝐨𝐧 𝐅𝐋𝐀𝐒𝐇 more than 75 lakh doses administered so far, day one implementation ""revised guidelines covid vaccination"". all drama global tendering , ordering , support usa all are nothing but #தேதிபோட்டாங்களா"
53,#vaccinationdrive #covidvaccination #covid19 #largestvaccinedrive come india
