,0
0,"want, find, way, end, racism, try, force, people, inject, themselves, ., that, ’, s, what, i, see, bunch, people, all, races, standing, up, against, forced, vaccination, ., not, against, vaxx, ., some, people, need, these, vaxx, &, amp, ;, i, support, those, people, getting, their, shot, ., i, draw, line, at, force"
1,"this, child, almost, died, tetanus, ,, spent, months, hospital, at, cost, around, $, 1m, ,, his, parents, still, refused, vaccination, after, ., this, was, pre, -, pandemic, ."
2,"just, remember, mr, ., leblanc, the, pressure, that, the, provincial, pm, and, the, business, world, asked, for, it, to, be, able, to, re, -, open, the, borders, winking_face, air, traffic, ., +, will, the, provincial, govt, ,, qc, included, ,, block, tourists, who, will, not, have, a, pass, -, vaccination, at, the, hotel, at, the, restaurant"
3,"you, would, expect, cases, rise, significantly, ,, course, ,, vaccination, rates, come, into, play, as, does, space, ., we, as, adults, are, not, usually, confined, single, space, with, as, many, people, as, school, age, students, ., data, states, that, have, lifted, vs, those, that, have, not, bears, this, out, ."
4,"depends, whether, vaccination, status, is, embedded, qr, code, itself, ,, or, if, code, is, just, link, that, connects, back, end, ., i, read, about, it, when, it, was, released, but, can, ', t, remember, ., will, see, it, i, can, find, it, again, ."
5,"it, could, have, ripped, …, harder, or, do, you, think, masking, ,, isolation, ,, etc, ultimately, had, no, impact, honest, question, ,, i, look, at, those, spikes, think, maybe, they, would, have, looked, same, no, matter, what, ,, with, vaccination, only, thing, that, definitively, ‘, worked, ’"
6,"they, do, this, at, vaccination, centers, as, well, ., they, refused, let, me, &, amp, ;, my, elderly, parent, wear, it, over, our, n95, masks, ., lady, was, very, rude, &, amp, ;, said, i, could, i, have, covid, -, 19, &, amp, ;, it, could, be, mask, ., i, refused, &, amp, ;, did, not, take, no, answer, ., she, said, ok, begrudgingly, ., it, was, absurd, ."
7,"part, vanguard, vaccination, awareness, project, -, series, free, tools, help, c, -, suite, leaders, combat, vaccine, hesitancy, resistance, -, podcasts, ,, videos, articles, -, available, at, #, covidvaccineconfidence, #, vanguardvaccinationproject"
8,"correct, ., it, ’, s, not, about, vaccines, ., nor, is, their, stated, goal, about, vaccination, ., breaking, :, cnn, blogger, reports, factual, news, accident, ., this, is, not, about, vaccines, ., at, least, we, know, she, can, read, ;, positive, steps, towards, competence"
9,"does, it, hurt, your, head, actually, use, your, brain, you, seem, be, incredibly, brainwashed, ., places, with, highest, vaccination, rates, world, have, some, highest, case, counts, ., everyone, that, disagrees, with, your, compliance, totaltiarin, dictatorships, must, be, called, names"
10,"world, -, wide, mass, vaccination, leading, world, -, wide, digital, passport, is, their, goal, ., #, populationcontrol"
11,"as, vaccinations, ..., you, ', ll, still, need, proof, vaccination, restaurants, ,, movie, theaters, ,, museums, ,, large, arenas, ,, gyms, fitness, centers, ., btw, nyc, vaccination, rate, is, now, at, 75, %., more, at, 11pm, 3, /, 3"
12,"following, tweet, didn, ', t, even, age, 12, hours, before, prince, charles, announced, his, reinfection, ,, even, after, vaccination, &, amp, ;, booster, ., so, ,, yes, ,, clearly, previous, infection, protects, you, at, this, point, ., does, boris, johnson, exude, some, sort, hypnotoad, -, like, pheromone, or, something"
13,vaccination
14,"private, businesses, can, enforce, vaccination, mandates, if, they, choose, do, so, ."
15,"1, -, I, understand, exactly, what, needs, to, be, understood, ., lame, link, 2, -, even, if, it, remains, lame, ,, when, vaccination, is, compulsory, ,, you, will, come, back, to, bawl, ., bye, there"
16,"story, with, martha, mccallum, ,, am, llc, senior, medical, advisor, dr, ., robert, redfield, comments, confusing, messaging, ,, spread, #, omicron, importance, maintaining, your, #, vaccination, status, ., watch, full, interview, below, backhand_index_pointing_down"
17,"world, ', s, top, virologist, ,, luc, montagnier, ,, winner, nobel, prize, his, diskovery, hiv, ,, died, today, ., he, warned, us, beginning, that, covid, -, 19, was, lab, -, made, ,, that, mass, vaccination, with, leaky, vaccines, would, generate, endless, new, variants, ., right, both, counts, ., rip, ."
18,"obvious, ,, common, sense, solution, was, always, take, free, safe, vaccination, against, deadly, virus, then, carry, about, your, business, like, non, -, lunatic"
19,"sure, tootin, ', i, do, ., remember, ,, i, grew, up, jackson, ,, mi, ,, at, least, place, long, associated, with, republican, party, ., i, am, familiar, with, conservative, mien, /, mindset, ,, &, amp, ;, i, can, speak, that, ,, i, think, ,, plain, language, ., i, think, covid, should, be, mandatory, vaccination, ."
20,"which, variants, were, involved, what, was, %, vaccination, /, masking, /, ventilation, around, kids, at, time, it, ', s, meaningless, say, "", kids, aren, ', t, danger, "",, unless, you, mean, say, "", kids, have, not, nor, will, not, ever, be, danger, ,, no, matter, what, ""."
21,"it, has, last, i, looked, we, hadn, ', t, actually, hit, county, vaccination, threshold, because, difference, between, mdh, cdc, data, ., i, bet, most, secondary, schools, have, ,, though, ."
22,"oh, i, see, ., so, what, your, saying, is, that, alberta, businesses, that, are, required, ask, proof, vaccination, can, ’, t, rely, alberta, government, they, have, rely, other, provinces"
