,0
0,"i, think, vaccinated, are, scared, truth, it, ’, s, ok, we, are, all, this, togetherred_heart, ️"
1,"i, ', m, wondering, which, nominee, is, refusing, get, vaccinated, ."
2,"also, unacceptable, that, they, have, let, this, protest, go, this, long, but, humanity, has, been, lost, hundred_points"
3,"yes, ., until, they, are, 24, ., but, don, ’, t, let, them, speak, rudely, you, ., children, need, be, reminded, that, you, are, provider, boss"
4,"only, people, misinterpreting, anything, was, cdc, ., it, wasn, ', t, anti, -, mandate, people, who, were, locking, people, out, stores, "", placing, everyone, at, risk, by, not, being, vaccinated, """
5,"i, think, mandating, that, work, -, from, -, home, federal, employees, get, vaccinated, or, lose, their, jobs, is, overreach, trudeau, government, ., but, i, ’, m, not, going, terrorize, city, full, federal, employees, claim, i, ’, m, “, representing, them, .”"
6,"yeah, as, much, as, we, believe, he, got, 81, million, votes"
7,"i, think, other, important, part, here, is, those, us, who, don, ', t, think, covid, will, ever, completely, go, away, ,, we, are, very, disinterested, masking, up, forever, ,, especially, given, much, more, effective, alternative, getting, vaccinated, ."
8,"hahahahahahahahahahahahhh, imagine, great, fraud, getting, vaccinated, be, safe, ., now, being, scared, people, that, "", potentialy, "", have, flu, you, got, vaccinated, against, holy, shit, you, can, ', t, make, this, up, hahahahahahaha"
9,"facts, but, bro, if, kyrie, was, vaccinated, they, traded, harden, ben, had, kyrie, kd, healthy, could, play, every, game, they, ’, d, be, insane, together, ., you, know, how, much, i, don, ’, t, like, ben, ’, s, game, lol"
10,"fdfa, joins, calling, federal, govt, ., remove, travel, restrictions, ,, including, unnecessary, non, -, science, -, based, pcr, tests, fully, vaccinated, travelers, ."
11,"nobody, :, what, ', s, bear, minimum, me, :, one, one, ., that, ', s, bear, minimum, ."
12,"you, didn, ’, t, need, show, his, statement, make, your, point, ., he, ’, s, permanently, banned, twitter, -, let, ’, s, keep, it, that, way, ."
13,"are, we, supposed, be, immortal, now, i, don, ', t, get, medical, advice, truckers, ., ha, ha, how, ubsurd, ..., i, have, family, doctor, who, knows, i, ', m, un, vaccinated, he, also, thinks, all, mandates, should, be, lifted, immediately, ., he, also, supports, freedom, choice, ."
14,"yes, my, dad, brother, died, covid, january, 2021, before, they, could, be, vaccinated, folded_handsbroken_heartsleepy_face"
15,"it, ', s, called, omicron, ,, it, infects, vaccinated, those, with, natural, immunity, ."
16,"i, know, ,, but, my, understanding, is, canadian, truckers, are, 85, %, 90, %, vaccinated, which, is, significantly, higher, than, us, adult, population, general, ."
17,"are, they, upset, about, being, vaccinated, or, upset, about, having, prove, it, latter, involves, suggestions, lack, trust, ,, which, may, have, been, unintended, ."
18,"build, back, better, ’, s, component, parts, are, very, popular, ., most, corporate, democrats, are, pretending, be, bbb, ."
19,"i, ', m, going, kinda, feral, suburban, mom, cooking, ., it, feels, like, peak, little, space, ., like, i, never, actually, had, this, stuff, ,, it, ', s, what, i, wish, i, had, as, kid, ., my, favorite, thing, about, being, little, is, that, i, can, make, up, lost, time, i, feel, zero, shame, about, wanting, to, ."
20,"is, awesome, ., that, is, all, ."
21,"i, ', ve, only, played, like, maybe, half, kirby, 64, if, even, that, ,, but, man, ,, i, still, feel, very, confident, saying, that, game, has, some, best, esthetics, i, ', ve, ever, seen, any, video, game, ., it, ', s, one, those, games, i, didn, ', t, even, grow, up, with, it, somehow, still, made, me, feel, instant, nostalgia, ."
22,"#, repost, we, ’, re, joining, this, april, debunk, misinformation, encourage, our, communities, get, fully, vaccinated, this, national, minority, health, month, ., learn, more, about, this, year, ', s, theme, :, #, minorityhealth"
23,"at, least, you, ', re, getting, choice, ., not, wearing, mask, not, getting, vaccinated, is, murdering, innocent, people, ., you, only, care, about, this, because, it, affects, you, ."
