,0
0,"', reporters, '..., you, mean, uncritical, govt, /, pfizer, stenographers, ..."
1,"unmask, our, kids, ..., it, ', s, child, abuse, ., covid, is, over, ., survival, rate, is, 99, ., 9, percent, they, do, not, need, fake, vaccine, that, could, kill, them, ., how, many, have, died, vax, where, is, pi, pfizer, let, us, see, it, now, ., release, data, now, ."
2,"byron, allen, will, be, filling, slot, with, his, ‘, comics, unvaccinateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, live, pfizer, studio, ’."
3,"genocide, much"
4,"caitlin, kennedy, -, pfizer, death, -, no, more, silence, -, telling, our, stories"
5,"can, answer, you"
6,"ok, more, detail, .., i, cut, my, post, short, ., so, .., pfizer, got, deal, with, many, countries, but, not, br, ., see, below, ., what, this, means, is, ..., you, gotta, pay, regular, price, not, diskounted, you, can, ', t, manufacture, it, locally, ., wait, United_Statescontract, ., unless, this, changed"
7,"this, guy, has, something, else, say, about, jews"
8,"doctor, cited, that, "", exploding, hearts, not, via, vax, "", article, wrote, this, 2007, article, has, listed, under, conflict, interest, :, "", dr, bisognano, is, pfizer, speaker, ’, s, bureau, received, consultancy, fees, pfizer, ."", just, coincidental, course, ."
9,"bella, reiher, ,, aged, 18, -, pfizer, severe, adverse, reaction, -, no, more, silence, -, telling, our, stories"
10,"covid, -, 19, boosters, are, now, available, anyone, 12, +., 12, -, 17, year, old, are, eligible, pfizer, booster, five, months, after, their, second, dose, ., more, info, or, make, appointment, #, losangeles, county, visit, :"
11,"pfizer, $, pfe, reports, earnings, tuesday, before, markets, open, ,, wall, st, is, expecting, numbers, eps, $, 0, ., 87, up, 107, ., 1, %, yoy, rev, $, 24, ., 2b, up, 107, ., 2, %, yoy"
12,"i, went, hospital, right, after, my, second, dose, day, 5, ., was, told, it, was, nothing, doctors, ,, but, they, were, worried, it, may, have, been, reaction, vaccine, first, thought, was, blood, clot, ., i, had, pfizer"
13,"is, that, graph, covid, infections, or, pfizer, stock, graph"
14,"pfizer, ,, fda, ask, court, further, delay, release, covid, vaccine, safety, data, days, prior, today, ’, s, scheduled, release, docs, related, pfizer, covid, vaccine, ,"
15,"oh, really, you, would, give, this, crap, child, ,, they, cannot, hide, truth, though, rare, ,, moderna, covid, vaccine, recipients, have, higher, risk, heart, inflammation, than, pfizer"
16,"at, 4, :, 20, fda, admits, pfizer, vax, related, heart, attacks, are, 71, %, higher, than, other, vaccines, and, ..., pfizer, vax, deaths, :, lives, saved, is, 5, :, 1, i, ', m, just, going, keep, my, tinfoil, hat, save, lives, thanks, ."
17,"same, here, :, two, couples, double, vaxxed, with, pfizer, who, say, "", no, more, me, "", one, got, blood, clots, right, after, first, shot, other, couple, now, down, with, covid"
18,"disklaimer, :, board, pfizer"
19,"senior, scientist, ,, process, chemistry, -, groton, ,, connecticut, -, pfizer, #, sciencejobs"
20,"there, is, clearly, nothing, worry, about, because, we, are, not, aware, any, risk, ., we, don, ', t, look, ,, we, just, rushed, this, out, door, cash, in, ., so, don, ', t, worry, ,, just, get, jabbed, ,, everything, will, be, fine, ..., we, think, ..., but, we, don, ', t, care, because, we, have, no, liability, ., with, love, ., pfizer"
21,"release, all, pfizer, data, now, unredacted, ., it, ', s, past, time, put, stop, this, ."
22,"i, believe, pfizer, won, ', t, contract, paxlovid, with, br, ., based, last, agreement, i, saw"
23,"my, jaw, literally, dropped, at, end, ."
24,"how, effective, safe, those, jabs, are, ., rolling_on_the_floor_laughing, get, your, booster, #, pfizer, #, honkhonk, #, honkhonk2022, #, freedomconvoy, #, mrna, #, booster, #, convoyforfreedom2022"
25,"fda, used, ‘, critically, flawed, ’, risk, -, benefit, analysis, 2, ‘, justify, ’, covid, vaccines, children, u, ., s, ., food, drug, administration, relied, critically, flawed, risk, -, benefit, assessment, 2, authorize, emergency, use, pfizer, ’, s, covid, -, 19, vax, 4, children, 5, -, 11, yrs, old, ., soruce, defender"
26,"trustworthy, cdc, claims, there, ', s, no, correlation, pfizer, vaccine, this, child, ', s, death, ., autopsy, revealed, child, had, fluid, enlarged, heart, ,, passed, away, 2, days, after, vaccine, ......."
27,"next, dose, of, pfizer, klaxxxon, -, 22"
28,"pfizer, thanks, you, your, service"
29,"just, listen, pfizer, whistleblower, who, shows, you, patents, that, were, taken, out, vax, therapies, long, before, covid, was, released, ."
30,"i, think, most, ppl, agree, rogan, isn, ', t, backed, by, somone, else, ', s, money, ., instigators, this, are, backed, by, pfizer, ., one, side, ,, man, telling, truth, about, his, own, health, ., other, ,, big, pharma, ."
31,"1, :, 2650, males, got, myocarditis, 2, doses, pfizer, ."
32,"we, collectively, decided, decades, ago, after, nazi, abomination, that, forced, experiments, are, abhorant, any, society, ., i, worry, that, ', phds, ', dont, know, /, understand, this, ..., are, you, being, remunerated, by, pfizer, et, al, these, atrocious, assaults, bodily, autonomy"
33,"I, consult, you, :, several, months, after, your, tweet, ,, they, continued, with, cystitis, ,, my, sister, is, with, that, ,, after, the, Pfizer, vaccine, a, month, ago, ..."
34,"it, ’, s, same, shit, pfizer, pulled, ., spikevax, is, approved, ..., moderna, covid, -, 19, vaccine, isn, ’, t, ., it, ’, s, still, under, eua, ..., just, like, pfizer, ’, s, biontech, is, under, eua, ,, comirnaty, was, approved, manufacture, sale, ., you, ’, re, still, injected, with, original, ."
35,"are, pfizer, ', s, covid, pills, going, highest, -, risk, patients, inside, u, ., s, ., rollout, via"
36,"none, ., i, got, pfizer, first, two, no, side, effects, moderna, my, booster, ., i, was, fine, after, all, three, aside, tiny, bit, soreness, at, injection, spot, ."
37,"your, body, is, not, yours, ., your, freedom, is, selfish, ., big, pharma, will, save, you, ., jt, is, expert, your, body, ., he, knows, what, ’, s, best, ., boosted, sick, with, covid, ;, get, vaccinated, ., protect, everyone, ., save, world, ., all, hail, pfizer, knocked, -, out_face, ‍, dizzywoozy_face"
38,"recipients, are, like, covid, magnets, ."
39,"they, may, have, taken, your, link, you, posted, down, ., maybe, they, don, ', t, choose, end, up, court, having, pay, judgments, have, retract, snowjob, unobervable, trial, results, fairytale, conclusions, ;, no, 3rd, party, access, data, nor, patients, as, predicted, expected"
40,"new, job, posting, :, principal, scientist, -, pfizer, -, andover, ,, ma, #, asbmbcareers"
41,"new, job, posting, :, senior, scientist, ,, purification, process, development, ,, bioprocess, r, &, amp, ;, d, -, pfizer, -, andover, ,, ma, #, asbmbcareers"
42,"moderna, --, fever, almost, 102, ,, painful, covid, rash, ,, extremely, tired, over, 2wks, ., i, will, never, get, moderna, booster, again, ., little, no, affects, original, pfizer, vaccines, ., friend, had, bad, reaction, 2nd, shingles, vax, ., anything, can, happen, with, vaccine, ."
43,"how, effective, are, astrazeneca, and, pfizer, booster, doses, if, there, is, a, winner"
44,"brought, you, #, pfizer"
45,"nailed, it, that, definitely, covers, "", big, pharma, "", ben, norton, ,, walker, "", pfizer, ranger, "", bragman, ,, eeyore, higgins, rest, lockdown, left, ...., also, sam, seder, ,, emma, vigeland, that, creepy, weirdo, matt, binder, majority, report"
46,"were, any, those, vaccines, mrna, vaccines, answer, is, no, -, because, first, mrna, vaccine, was, pfizer, ', s, poison, authorized, emergency, use, dec, 2020, ."
47,"she, works, ., but, he, ’, s, posting, this, pile, bullsh, lies"
48,"pfizer, ,, fda, ask, court, further, delay, release, covid, vaccine, safety, data, •, children, ', s, health, defense, ., they, ’, re, kicking, can, down, road, …, very, suspicious, ., they, know, it, won, ’, t, be, 75yrs, ."
49,"pfizer, still, got, permission, mass, produce, during, trials, ,, liability, protection, guaranteed, purchases, ."
50,"new, zealand, scientists, find, nanotech, pfizer, covid, shots, |, principia, scientific, intl, ."
51,"me, too, i, worked, through, it, ."
52,"newspaper, "", the, week, ahead, biotech, feb, ., 6, -, 12, :, pfizer, ,, astrazeneca, earnings, ,, conference, presentations, ,, ipos, more, "", #, ipo, #, invest, #, stocks, #, money, #, investment, #, finance, #, trading"
53,"stop, licking, pfizer, ', s, asshole, ., my, god, ., put, your, science, pants, look, at, fucking, data, ."
54,"those, "", musicians, "", don, ', t, own, their, catalog, or, their, literal, image, ., black, stone, is, owner, is, part, pfizer, if, i, remember, right, it, ', s, just, #, bigpharma, holding, up, hand, puppet, ,, puppet, who, agrees, have, mr, ., globo, ', s, hand, up, their, rear, their, guts, paper, fun, tickets, ."
55,"Pharmaceutical, companies, have, paid, billions, in, fines, for, secrecy, and, bribes, of, drug, safety, information, ,, among, other, things, ., Pfizer, in, the, lead, ., in, the, treatment, of, trauma, and, the, associated, pain, relief, with, medicine, ,, but, otherwise, I, take, care, of, myself, ."
56,"bull, shit, ., they, first, said, take, shot, you, won, ’, t, get, it, ., then, they, changed, narrative, you, won, ’, t, get, it, as, bad, ., then, they, changed, again, you, won, ’, t, die, ., lies, lies, lies, ."
57,"except, ,, this, vax, is, not, those, vaccines, ., they, are, very, different, ., these, do, not, prevent, transmission, per, ceo, pfizer, veterinarian, as, well, as, cdc, who, ., so, it, would, not, make, sense, vaccinate, healthy, children, ., just, ones, who, are, at, great, risk, death, ., no"
58,"pfizer, will, complete, the, shipment, of, 200, million, doses, of, its, covid, vaccine, in, September, 2021"
59,"pfizer, contract, past, 2024, doesn, ', t, help, ."
60,"pfizer, moderna, literally, got, fda, approved, months, ago, face_with_tears_of_joy, they, ’, re, just, looking, make, excuses, at, this, point, ., these, people, will, be, their, own, downfall, ."
61,"here, ', s, guy, that, doesn, ', t, see, conflict, interest, when, pfizer, is, sponsoring, every, news, channel, it, can, america, ,, silences, any, negative, publicity, it, might, have, had, if, it, hadn, ', t, paid, them, off, ."
62,"so, much, so, that, he, wanted, to, denigrate, a, "", conspirator, "", who, said, he, had, received, a, pfizer, scholarship, ,, saying, that, indeed, he, had, already, received, scholarships, partly, funded, by, pfizer, but, that, he, had, not, paid, attention, to, this, because, the, list, of, financiers, is, long, ."
63,"ummm, hello, hr, department, ."
64,"pfizer, /, fda, wanted, 75, years, produce, documents, covid, vax, ;, we, are, supposed, trust, pfizer, /, fda, vax"
65,"tens, housands, mds, ignoring, nhs, including, similar, usa, who, got, it, wrong, ., it, ', s, settled, science, ., just, one, group, helped, over, 120, ,, 000, patients, get, better, ,, lost, only, 4, ., personally, know, people, who, saved, their, lives, by, using, it, ., it, saved, one, my, family, members, ."
66,"davos, .., mc, kinsey, ..., schwab, ...., pfizer, ...., the, puppeteers, ..., leyen, ..., macron, ..., defraissy, .., the, puppets, ., europe, put, under, glass, europe, put, under, qrcode"
67,"i, know, doctor, that, has, done, same, some, people, are, loony"
68,"zero, shots, haven, ', t, got, covid, ., what, hell, i, ', m, miracle, ."
69,"United_Statesearnings, this, week, :, -, walt, disney, -, coca, cola, -, pepsico, -, chipotle, -, yum, brands, -, pfizer, -, amgen, -, cvs, health, -, twitter, -, peloton, -, uber, ..."
70,"of, course, the, who, authorizes, but, pfizer, ,, the, manufacturer, admits, that, its, vaccine, is, experimental, and, is, only, authorized, ,, that, it, can, go, wrong, right"
71,"cnbc, :, though, rare, ,, moderna, covid, vaccine, recipients, have, higher, risk, heart, inflammation, than, pfizer, ., via"
72,"did, you, know, pfizer, ran, trial, march, 2020, using, hcq, found, very, positive, results, ., did, you, know, pfizer, owns, company, specialized, analogs, hcq, ., did, you, know, hcq, modulates, toll, like, receptors, big, thinking_face"
73,"annex, of, germany, becomes, there, sub, -, annex, of, pfizer"
74,"pfizer, and, biontech, test, a, specific, vaccine, against, omicron"
75,"fda, won, ’, t, say, it, because, pharmaceutical, companies, would, take, hit, ., just, last, month, pfizer, invested, $, 6, ., 7b, into, cannabis, now, nfl, announced, cannabis, studies, studies, ., this, is, not, coincidence, ."
76,"17, /, 18, #, covid19, deaths, reported, new, south, wales, ,, australia, ,, are, vaccinated, ., 16, these, deaths, were, #, fullyvaccinated, ., is, any, public, health, official, going, acknowledge, this, tragic, trend, ,, or, are, contracts, w, /, too, profitable, care, about, collateral, damage, ."
77,"**, pfizer, fire, this, asinine, employee, ....., or, we, will, fire, you, -, and, ask, our, doctors, hospital, switch, plenty, drug, peddling, cos, choose, from, ."
78,"my, condolences, to, your, children, ., it, falls, hard, when, anyone, close, is, lost, ,, let, alone, a, father, or, ,, God, forbid, ,, a, mother, ., I, ', m, sorry, to, be, intrusive, ,, but, whether, he, was, vaccinated, normally, ,, if, you, think, it, ', s, too, private, a, question, ,, you, don, ', t, have, to, answer, ., and, if, so, is, pfizer, just, ask, ."
79,"good, ., i, ’, d, love, see, pfizer, moderna, his, show, too, ."
80,"hey, -, does, this, woman, represent, your, values, well, i, think, you, know, what, do, ."
81,"pfizer, did, run, trial, with, hcq, found, good, positive, results, ."
82,"check, out, how, #, pfizer, job, -, mandated, #, jab, killed, 26, year, old, imark, atlas, today, backhand_index_pointing_down, #, covid19, #, covid19vic, #, truckersforfreedom2022, #, saveamerica, #, crimesagainsthumanity"
83,"care, comment, pfizer"
84,"cover, -, up, :, 17, -, year, -, old, dead, pfizer, shot"
85,"anyone, high, risk, who, gets, covid, needs, call, their, doctor, immediately, ask, early, treatment, ., they, have, approved, remdesivir, early, treatment, which, is, only, time, it, might, work, new, pfizer, drug, if, available, fluvoxemine, has, been, shown, decrease, bad, outcomes, ."
86,"you, are, done, here, ., your, extreme, corruption, is, about, be, exposed, ., personal, kickbacks, u, have, recieved, pfizer, moderna, have, come, light, ., ethics, commissioner, governor, general, have, been, alerted, ."
87,"shoutout, &, amp, ;, anyone, who, profited, off, pandemic, &, amp, ;, other, travesties, #, workingclass, :, you, can, win, battles, &, amp, ;, reap, worldly, excess, carnage, you, will, end, up, like, us, end, #, endallmandates"
88,"though, rare, ,, moderna, covid, vaccine, recipients, have, higher, risk, heart, inflammation, than, pfizer, every, 1, million, second, doses, administered, ,, moderna, vaccine, recipients, had, 10, ., 7, additional, cases, myocarditis, pericarditis, over, people, who, got, pfizer, ."
89,"so, why, do, you, think, w, /, out, trump, we, wouldn, ’, t, have, had, vaccine, so, soon, that, defies, logic, because, pfizer, was, able, do, it, germany, without, any, help, trump, ., majority, people, who, will, not, take, vaccine, are, his, base, though, so, why, who, is, responsible, that"
90,"that, is, insane, ., not, sure, how, he, is, still, alive, -, i, would, have, been, afraid, drive, with, him"
91,"it, ’, s, all, narrative, news, is, brought, you, by, pfizer, that, ’, s, why, they, are, attacking, rogan, right, now, they, are, paid, attack, dogs, pharma, time, earn, your, keep, $, 60, billion, year, profit, syringe, affords, you, some, good, coverage, your, enemies, negative, coverage"
92,"the, fda, and, cdc, will, lose, what, little, credibility, they, have, left, if, they, approve, pfizer, ', s, 6mo, -, 4, yrs, "", vaccine, ""."
93,"did, you, seriously, push, remove, his, music, protest, joe, rogan, we, know, you, ', re, ceo, company, that, owns, his, music"
94,"listen, end, video, i, posted, ,, that, doctor, explains, how, vaccine, may, effect, process, that, ensures, dna, is, properly, transcribed, before, replication, i, sure, hope, not, ., facts, is, we, don, ’, t, know, ,, pfizer, haven, ’, t, released, data"
95,"but, i, think, that, ’, s, what, will, have, happen, moderna, 12, -, 17, be, authorized, ., denmark, study, is, pretty, alarming, boys, ,, considering, that, there, is, valid, alternative, pfizer, 2, /, 2"
96,"snark, actually, ,, i, think, it, is, true, that, many, more, people, can, be, persuaded, mask, vax, if, there, is, national, will, -, and, budget, ., it, will, whittle, away, at, that, core, ., if, we, had, $, 1, /, shot, vaccine, rather, than, pay, pfizer, ransom, ,, money, goes, further, ."
97,"brought, you, by, pfizer, beaming_face_with_smiling_eyes"
98,"traditional, vaccines, yes, ,, mrna, vaccines, have, only, been, used, human, starting, about, two, years, ago, ., pfizer, trails, were, scheduled, end, 2023, ., fda, wanted, control, group, ,, but, pfizer, quickly, jabbed, control, group, i, have, taken, that, role, humanity"
99,"f, f, #, fauci, f"
100,"for, the, uninitiated, ,, this, gentleman, is, dr, ., bourla, ,, managing, director, of, pfizer, ,, or, the, head, of, the, company, ."
101,yikesgrimacing_face
102,"kirstie, ,, pfizer, killed, my, daughter, ., push, ssri, medication, teens, young, people, was, /, is, very, real, thing, ., this, day, zoloft, was, never, approved, kids, under, 18, ., next, we, can, diskuss, gardasil, vaccine, they, pushed, children, ., or, opioids, pushed, by, sacklers, ., $$"
103,"former, pfizer, vp, :, excessive, deaths, soar, countries, when, "", vaccine, "", uptake, is, high"
104,"looking, at, your, tweets, ,, mostly, retweets, are, not, based, any, peer, -, reviewed, ,, science, -, based, facts, surgical, masks, homemade, ones, don, ', t, stop, viruses, ., nor, does, 6, feet, apart, ., there, is, no, data, ., stop, being, stupid, sheep, ., why, won, ', t, pfizer, release, what, ', s, vaccine, ., all, lies"
105,"dr, ., shiva, live, :, what, ', s, pfizer, -, biontech, jabbine, cytosolve, open, sci, ..., via"
106,"oh, my, god, sky, is, falling, ..., you, hypochondriac, ., its, been, almost, 2, years, overwhelming, vast, majority, us, are, still, here, ., no, bad, no, mask, ., but, mask, harder, bro, go, get, your, 8th, booster, ., make, sure, wear, you, double, mask, bed, while, you, are, car, ,, weakling, ."
107,"you, are, so, wrong, ., true, ,, we, had, 2, quarantines, ., but, there, after, ,, find, me, another, country, world, where, public, doesn, ', t, give, sh, *, t, about, government, covid, laws, ., we, israel, do, not, need, anti, -, covid, movement, ,, as, we, do, not, recognize, government, ', s, covid, laws, begin, with, ."
108,"pfizer, admits, confidential, document, that, covid, -, 19, vaccine, causes, vaccine, -, associated, enhanced, disease, same, thing, as, antibody, dependent, enhancement, -, dc, clothesline"
109,"reuters, big, pharma, share, similar, board, members, ., thomson, reuters, big, shareholder, is, blackrock, vanguard, /, pfizer, moderna, et, al, biggest, shareholder, blackrock, /, vanguard, ., reuters, biggest, shareholder, is, probably, blackrock, /, vanguard, ., you, are, posting, information, biased, source, ."
110,"but, how, much, did, you, make, pfizer, while, your, colleague, ', s, were, prescribed, ivermectin, hcq, #, draintheswamp"
111,"fda, ,, doctors, ’, group, reach, agreement, production, pfizer, vaccine, documents, via"
112,"arr, vs, rrr, :, pfizer, says, 43, ,, 548, participants, underwent, randomization, ,, whom, 43, ,, 448, received, injections, :, 21, ,, 720, with, bnt162b2, 21, ,, 728, with, placebo, ., there, were, 8, cases, covid, -, 19, with, onset, at, least, 7, days, after, second, dose, bnt162b2, 162, cases, placebo, ., 1, /"
113,"tom, ', s, is, owned, by, crest, -, palmolive, which, is, owned, by, vanguard, group, who, also, fund, moderna, ,, pfizer, &, amp, ;, jj, disappointed_face"
114,"this, is, the, term, used, in, the, official, European, definitions, concerning, the, famous, text, messages, between, von, derrlayen, and, the, boss, of, pfizer, ...:"
115,"mass, funeral, protest, children, who, died, pfizer, shot, ,, geneva, ,, switzerland, january, 29, 2022, via"
116,"exactly, wow, talking, about, "", common, denominator, "", follow, money, sure, "", pfizer, -, you, will, never, find, more, wretched, hive, scum, villainy, "", youtube, ..."
117,"2, /, 2, so, if, you, refuse, your, vaccine, because, of, big, pharma, ,, forget, the, drugs, by, the, way, the, profit, margins, are, enormous, or, even, exaggerated, for, the, drugs, unlike, the, vaccine, ., $, 20, syringe, pfizer, vs, $, 500, pill, in, usd, dollars"
118,"includes, frontline, vaccinators, tired, pfizer, ', s, moderna, ', s, bullshit"
119,"#, astrazeneca, 2, doses, ,, we, no, longer, talk, about, it, nor, do, we, have, it, in, panama, Panama, #, pfizer, we, are, going, for, the, 3rd, dose, no, one, explains, why, if, pfizer, is, the, best, it, needs, 3, doses, and, astrazeneca, 2"
120,"why, do, these, jesus, obsessed, freaks, always, have, no, morals, or, values, 6, years, old, this, is, beyond, ., he, ’, s, “, stay, at, home, dad, ”, so, they, have, children, someone, send, cps, this, household, asap, ."
121,"parents, you, can, now, make, appointment, your, children, ages, 5, -, 11, receive, pfizer, vaccine, at, any, our, hospital, locations, ., this, is, best, way, protect, your, children, at, school, ,, around, friends, or, at, home, ., more, info, :"
122,""", as, hospitalizations, children, under, 5, due, #, covid19, have, soared, ,, our, mutual, goal, with, is, prepare, future, variant, surges, provide, parents, with, option, help, protect, their, children, ."", -, albert, bourla, ,, chairman, ceo, ."
123,"how, did, develop, #, covid19, vaccine, dose, young, kids, tune, learn, more, about, their, research, development, our, dr, ., kristi, moffitt, ."
124,"they, definitely, could, 100, %., problem, w, /, pfizer, especially, ,, but, also, moderna, &, amp, ;, novavax, is, that, i, have, site, originals, ., and, ,, they, keep, firing, people, not, complying, w, /, their, misconduct, ., right, now, there, are, 5, us, total, ., problem, govt, they, are, culpable, ."
125,"pfizer, moderna, covid, vaccines, are, fda, approved, ."
126,"nothing, will, stop, death"
127,"why, would, anyone, take, all, vaccines, we, aren, ’, t, vaccinated, catching, covid, was, nothing, ., why, can, ’, t, we, all, acknowledge, that, covid, is, cold, ,, at, most, ,, millions, ., we, won, ’, t, ever, take, vaccine, covid, ."
128,"candace, owens, interview, dr, robert, malone, ,, md, ., she, reveals, 1950s, before, measles, vax, ,, there, were, approx, 500, cases, total, per, yr, measles, ., many, could, have, been, high, risk, individuals, ., yet, today, every, dr, ., tells, mothers, get, measles, vax, ,, your, kids, need, it, ., #, rethinkallvax"
129,"ok, ,, you, are, total, pfizer, shill, -, why, are, you, pumping, phase, 2, lyme, vaccine, supposedly, middle, covid, pandemic, along, with, flu, /, covid, boosters, soon, hiv, vaccine, vax, pass, is, going, get, really, big, eh"
130,"as, pennsylvanian, i, can, say, that, i, am, getting, little, tired, negative, notoriety, that, pennsylvania, is, getting, these, damn, morons, upstate, ., you, all, need, get, it, together, because, you, are, really, making, pennsylvania, look, bad"
131,"so, much, christianity"
132,"vaxx, is, negative, effective, ., you, are, few, steps, behind, or, pfizer, cult"
133,"please, confirm, if, this, person, works, your, company, ., does, she, reflect, values, pfizer"
134,"i, would, check, with, your, gp, but, if, it, ’, s, moderna, i, think, it, might, be, booster, dose, ., pfizer, ’, s, dose, stays, same, ., smiling_face, ️"
135,"sr, ., associate, scientist, ,, antibody, diskovery, ,, high, -, throughput, screening, -, cambridge, ,, massachusetts, -, pfizer"
136,"I, think, pfizer, ,, modern, and, j, &, amp, ;, j, work, for, trump, …"
137,"another, friend, triple, vaccinated, with, pfizer, with, covid, ..., telematic, treatment, see, if, he, gets, the, medicines, in, usa"
138,"argumentum, ad, cnn, :-, look, ,, if, ventavia, ,, fda, or, pfizer, messed, up, ,, they, should, be, held, accountable, ., but, bmj, article, was, sub, -, standard, journalism, that, mislead, lot, people, ., both, can, be, true, at, same, time, ."
139,"is, this, question, brought, us, by"
140,"bet, driver, was, bragging, about, all, jabs, they, took"
141,"how, does, he, manage, get, full, set, ..., still, be, alive, he, is, supper, man, ."
142,"eaxactly, wow, talking, about, "", common, denominator, "", follow, money, sure, "", pfizer, -, you, will, never, find, more, wretched, hive, scum, villainy, "", youtube, ..."
143,"so, interesting, thing, is, ..., pfizer, have, been, sleeping, with, drs, canada, .., funding, them, since, 2009, .., so, this, is, definitely, well, before, so, called, covid, came, .., the, whole, wuhan, thing, also, started, with, drs, canada, usa, who, took, vials, there, .., they, were, arrested, .., it, was, news"
144,"he, should, have, also, had, sputnik"
145,"my, unvaxxed, family, is, still, living, ., -, 11, year, old, had, sniffle, 2, days, ., -, slept, next, my, wife, every, night, when, she, had, it, i, never, got, sick, -, wife, takes, all, sick, vaxxed, co, -, worker, ', s, shifts, ,, works, 80, -, 100hrs, /, wk, rolling_on_the_floor_laughing, -, i, ', ve, never, taken, covid, test, zany_face"
146,"if, you, missed, last, night, ’, s, story, :, pfizer, made, veterinary, vaccine, that, killed, thousands, calves, ., as, german, gov, ’, t, investigated, ,, pfizer, denied, responsibility, kept, selling, vaccine, ."
147,"twitter, pfizer, earnings, focus, after, faang, deliver, divergent, results, |, #, forex"
148,"i, started, give, my, horse, some, horse, dewormer, but, he, told, me, that, he, ', d, been, doing, his, own, research, didn, ', t, want, bad, side, effects, so, he, asked, me, if, i, could, give, him, give, him, pfizer, vaccine, instead, ."
149,"there, has, been, other, reporting, based, whistleblower, story, that, said, ventavia, tried, *, hide, *, problems, *, from, *, pfizer, ., do, you, think, that, is, at, all, relevant, story, here"
150,"wow, really"
151,"treaty, is, serious, breach, crowns, behalf, which, can, make, it, nullified, ,, this, puts, us, position, necessity, cede, maori, nation, as, was, alternative, treaty, when, it, was, written, ., jacinda, needs, help, see, that, she, works, nz, not, pfizer"
152,"people, are, starting, wake, up, see, what, ', s, going, on, ., per, pfizer, employee, ,, these, "", vaccines, "", would, have, been, pulled, if, not, pandemic, ., if, you, choose, take, time, research, you, will, see, ., they, are, silencing, truth, ., truth, will, be, revealed"
153,"fda, ,, doctors, ’, group, reach, agreement, production, pfizer, vaccine, documents, other, -, words, we, are, agreeing, with, ourselves, protect, you, —, #, criminals, via"
154,"i, have, link, my, page, very, possible, theory, how, this, all, happened, ,, basically, senior, advisor, pfizer, now, owns, music, rights, neil, young, possibly, others, is, using, him, as, pawn, blackball, rogan"
155,"people, who, think, like, you, are, terrifying, ., you, ’, re, brainwashed, ., you, equate, freedom, racism, let, your, tv, tell, you, what, believe, ., you, ’, d, see, us, branded, like, cattle, ,, showing, papers, ,, being, pin, cushions, pfizer, our, gov, ’, t, ., we, ’, ll, keep, standing, you, too, ., don, ’, t, worry, ."
156,"does, he, think, he, ', s, playing, pokemon"
157,"is, he, associated, with, a, pfizer, research, chair, too"
158,"that, ', s, not, definition, vaccine, ..."
159,"inflammation, heart, muscle, ,, which, has, mostly, affected, young, men, who, got, pfizer, ’, s, covid, -, 19, vaccine, myocarditis, exacly, what, happens"
