,0
0,"selangor, journal, |, astrazeneca, covid, -, 19, vaccine, safe, use, malaysia, —, minister"
1,"covid, -, 19, vaccine, form, pill, is, set, enter, first, clinical, trials, #, covid19"
2,"good, vaccinate, ., better, vaccine, all, front, line, workers, ., best, vaccinate, all, ., thebest, is, insist, safety, measures, &, amp, ;, cleanlinesss, fr, ever, ., permanent, method, is, improving, immunity, by, yoga, ,, pranayama, &, amp, ;, serene, mind, loving, all, keeps, even, covid, away, ., best, health, fr, ap, &, amp, ;, people"
3,"sir, please, grant, permission, covid, vaccine, all, age, groups, ,, issue, strict, rules, so, that, hospitals, should, not, collect, unreasonable, amounts, like, consultation, ,, slot, bookings, etc, ,, please, sir, many, are, waiting, take, vaccine, ., sir, life, every, indian, is, important, ., jai, hind"
4,"health, authorities, have, been, urged, increase, number, pcr, tests, conducted, per, day, across, sri, lanka, ., read, full, story, here, via, #, srilanka, #, lka, #, coronavirus, #, covid19, #, pcr, #, covid19lk, #, covid19sl, #, covidvaccine"
5,"took, my, first, dose, covid, -, 19, vaccine, at, phc, rakaswada, ., #, covieshield, #, syrum, #, covidvacccine, #, covid_19, #, free, #, india, @, nandurbar"
6,"trump, mistaken, unmask, ,, hope, &, amp, ;, pray, american, deaths, could, stop, at, 556k, ., 50m, had, died, black, death, ,, 500m, spanish, flu, century, ago, ., since, then, viruses, there, we, are, nipah, ,, sars, ,, merscov, ,, ebola, ,, avian, flu, ,, now, covid, -, 19, needs, noah, arc, &, lt, ;, vaccines, &, gt, ;., 邦写, 。"
7,"finally, day, as, come, so, so, relieved, that, my, precious, mum, got, her, first, dose, covid, -, 19, ., she, got, sinopharm, thank, you, people, china, vaccine, thanks, million, #, ncoc, this, folded_handsfolded_hands, thank, you, thank, you, thank, you, ., thank, you"
8,"why, you, cannot, compare, covid, -, 19, vaccines, #, covidー19, #, covidvaccine, #, know"
9,"The, world, ', s, fastest, vaccination, campaign, syringe, so, far, more, than, 50, million, people, have, been, vaccinated, against, corona, #, vaccine, #, largestvaccinedrive, #, covidvaccine, #, covid19india"
10,"we, are, frontline, workers, ., we, stand, by, covid, vaccines, ., #, largestvaccinationdrive, #, indiafightscorona"
11,"covid, vaccine, check_mark_button"
